ablation_id,axis,status,run_mode,checkpoint_path,train_budget_reference,eval_case_count,reason
m3_trained,reference trained SRR-v3 pilot,RUN,checkpoint_inference,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/checkpoints/fold_0/propref_config/checkpoint_best.pt,steps=6000;seconds=2126.2185006489744,12,
closed_gate_identity,closed-gate identity fallback,RUN,nnunet_anchor_prediction,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/checkpoints/fold_0/propref_config/checkpoint_best.pt,steps=6000;seconds=2126.2185006489744,12,
residual_zero_gate_measured,gate enabled but residual frozen,RUN,checkpoint_forward_anchor_logits_output,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/checkpoints/fold_0/propref_config/checkpoint_best.pt,steps=6000;seconds=2126.2185006489744,12,
no_nnunet_anchor,no nnU-Net anchor,RUN,checkpoint_inference_anchor_context_removed,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/checkpoints/fold_0/propref_config/checkpoint_best.pt,steps=6000;seconds=2126.2185006489744,12,
deterministic_prototypes,real prototypes versus deterministic bootstrap,RUN,checkpoint_inference_prototype_buffers_reset,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/checkpoints/fold_0/propref_config/checkpoint_best.pt,steps=6000;seconds=2126.2185006489744,12,
no_proto_dictionary,residual enabled but dictionary/prototypes disabled,RUN,checkpoint_weights_loaded_into_no_proto_variant,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/checkpoints/fold_0/propref_config/checkpoint_best.pt,steps=6000;seconds=2126.2185006489744,12,
no_anatomy_roi_prior,anatomy distance/ROI prior off,RUN,checkpoint_inference_neutral_anatomy_context,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/checkpoints/fold_0/propref_config/checkpoint_best.pt,steps=6000;seconds=2126.2185006489744,12,
no_local_refinement,local refinement off,RUN,checkpoint_inference_bypass_local_refiner,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/checkpoints/fold_0/propref_config/checkpoint_best.pt,steps=6000;seconds=2126.2185006489744,12,
semantic_retrieval_off,semantic retrieval objective on/off,NOT_RUN_WITH_REASON,requires_new_training_checkpoint,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/checkpoints/fold_0/propref_config/checkpoint_best.pt,steps=6000;seconds=2126.2185006489744,12,semantic retrieval is a training loss/objective; no inference-only toggle exists for the M3 checkpoint
component_proposal_ranking_off,component proposal ranking objective on/off,NOT_RUN_WITH_REASON,requires_new_training_checkpoint,/users/a/e/aereinh/CARE/results/20260705_srr_v3_m3_myops_min_effective_pilot_training/variants/srr_v3_m3_shared_dual_dict_pilot/checkpoints/fold_0/propref_config/checkpoint_best.pt,steps=6000;seconds=2126.2185006489744,12,component ranking is a training objective; no separate M3 checkpoint without it exists
