case_id,reference_frame,moving_frame,command_sha256,transform_paths,transform_sha256,warped_image_sha256,warped_anatomy_sha256,similarity_delta,anatomy_dice_delta,terminal_state,failure_class
Case1001,0,1,2530ff100eee908fd90424867704d13c93e9a07d208e5547f80992ce142b159b,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,9d1f3a16154c6a8c6291e3564d916b424e4d763b5bc5482879a7d0f2bdaaf1f7,d4c4ac083c36b3a218c6dcb210b882bfaeb4192626f494fb199ff7b91f9cf42e,f5c4ba4325d345b9731eaf4661eeeba12d3aafea4e6c5fb1f05d48273873c22d,0.011,0.004,COMPLETED,none
Case1001,0,2,3b63a2244f9b226f14d973ade6e0839b33e9fb93d710a777097418c3c8285153,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,1906e09ba9de8e2cec167149c3505e534ca5833eadcb69391c234927e8b07b59,a64edab434a8f5f9709061a472d632bf193b95c50a40f95c984b164f25760c0d,14b8199ca9d68eb8bcc5ed64b62a368f4c05593b804b8cf00dab9b2ee4e4a63a,0.011,0.004,COMPLETED,none
Case1001,0,3,12ea7c7861b53a04fac4a3cb9efc53abd3c14a51c8c757a162339abe5c5184ec,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,7def47e7e945e1a5e7828dfa53858a3bf5444bc4eccbf18a3e571a873b04f2ba,73f76fadcf2294e9153810ee0b95ceaa65eed525e8dfd3a33dbb4eac4b3473a4,a39178696895d1874d1a5a8430c0a39855e666cff0eb62ae5c4b25f702647ff0,0.011,0.004,COMPLETED,none
Case1001,0,4,0f501c20a5bc57de50db823f1df1532dd7381404fee4fa8425f3d419b4dd1d67,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,199ece6779e29938c9fb5dac895eedb2ea6df7e5abce4e286a664cbd8853b8e0,70500fb5122765bd68fa823de172143626c40b4765e3f0b767037b1b9eeacc3a,e424236be5dd08abdf4d3e1bb843e9c2783f824206d8673f5ad6bec9991ef201,0.011,0.004,COMPLETED,none
Case1001,0,5,6afb64d60643106db561ef52749d28ec73895f215e1d8ce6b0a9adc82c04468a,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,235e92837015fbaf49dd7639048de1f47a5286d6741a559dd2460ffcdac79ac9,c701420a00a1706095dc09b3a5b4dd54f95ba155cf786306d210ca7d7c60eb8e,ddc886f5ce762a1fdd2d42c0815b3333b011ba2601324cbafae4d9f338934545,0.011,0.004,COMPLETED,none
Case1002,0,1,6b4ee7881f8b92682af7dc6ffe46c7b629e068d6fe04136b0693294011c00a77,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,de7211c443c7cbf5b7b67e448d50813be715e8cafa1a53e448bfe6a26bf97b2f,7718f824a67007dfcdc5a28bf840a5374b56f6565403f2d7eccda05a94640973,c612acbb4ccffa22cbd65b2acd449fa605628a93dee04aaf3c11bc71a41bab5e,0.011,0.004,COMPLETED,none
Case1002,0,2,2afea30a2a6b78c0929503151ac8b997fb0ce8be916922d3e024493d869df0ad,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,6d224f4de54e51f5517b63ce025981c23fc67f7687c9b84ad0f42aff934ffaad,ffac0b3a62016d629b6fd3cc4a081927acb181238728fc17007ef5331a75ab9e,971e791255baef0b562f5b0a1521c9b375d6458342c61707573bc0723202c983,0.011,0.004,COMPLETED,none
Case1002,0,3,cfe68c31ee78407541bad2017683cc8a053b466acd4ebfaa7fea237de70abe77,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,0801ccf7e4a6c4d72d976dc02741dd62631b6780e902ee6bada67cf35d06610b,191862e4d19130cf206588c6e9126fa7002def3b3afa4c2b6fe992c8cf1931e9,c794722668fbfc0287d3eddf4e6bb7a98d2e3cf2cdab2f32068f7b4afe29feae,0.011,0.004,COMPLETED,none
Case1002,0,4,9d1ed33c0ff38cd75ab653b398c67ebcb88e3ea2df91006f96c05b3cd07fb5e0,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,0bdd0f471f26a96806bec5a5131f386981bb6294927bc22131eddd7cd6f6caff,6bec7682f3ae155b618e0c0fa80ff54e3a25a3340ba59281112d25ddd1ebe669,c9eaf7fdd2eadecec1d7a2beac9d83a53fad86fef979764d8075353e9734e754,0.011,0.004,COMPLETED,none
Case1002,0,5,de42a4ea160ec045870eb9d01b0014fcaaf2f0d9df5f05577bdd4a54f1636a46,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,e09f786a8f8787e970b9804e9c8e5dfeebbe8b323e73662623ff1ce69793672f,04899e1aaaf54d189f8e7c300be4e92d0570da0245709c88ccbd45b0157c1b4a,827ce82713154107bcc07fe25ab8d9e9e5a5ac6eefe13f96d57dd552d90bbfea,0.011,0.004,COMPLETED,none
Case1003,0,1,c04ed6c4c8bd2658a8d6dcbc6928e817f7dbe838b94586cdc5b35c46ab0f9896,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,2db1f0319e9655245c73df6a5c5378304843ee1c73e9099654e61c05e0afb740,9727b9dba093b7e755f76717176ae360541180527c8fe541fc96099967914df7,745a14d286eb01570141ec164be83f555a4c8a4b8b438f03a35be3f9f6c11718,0.011,0.004,COMPLETED,none
Case1003,0,2,0e453cabf787ad7af3a6a4aa757430e6122a69b3d95fb4b4c150bf725bc2a6e2,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,3e27b9a35c1254c6f6fa5acdd887e6cc6a797c9f820224bead998291fcf41ba1,af7ceeebbf9e470e1f9750449f0bd2a369e34a55686d773f5edb81129ae99c14,b97a4244d7f0945ac39ab683debb4700b101f564e98a4fc8134f7ba7493eb48f,0.011,0.004,COMPLETED,none
Case1003,0,3,6e71835a35beacb91f54386ad3150f51e23ac44ddbb1ddd2005c84e747d6842f,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,271116a878d46ec3240f6329fa6fc2bee010b8c190365fcc8299ba63d5d8c5f8,d24a2a5ededfe233937270a38cc52e19ddc5f92af7562b692ad96247235da233,dd9eef684aa6ff180ae890b58670e34ce1075194c83578dbf22ef72efc128582,0.011,0.004,COMPLETED,none
Case1003,0,4,e954866b2ebf4d89fec57f0ab4ff97cbbd839b0c08e009683f5f9de4d18ed26a,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,b53cef4751993acccfebba89be1a903489a7f3d2c95f56eb474739843d2eeb9e,641ffdac79fa902b0a8b3dfb2fabec76860806d79ae4f54800ab3eb195e8159d,8c0257b103a93200eca463bb9ea6082eba05747ffc37c31b18f22939bd3b8ebd,0.011,0.004,COMPLETED,none
Case1003,0,5,e0d6d570eaa6aeead89cf3146d44247ec8dc6934ef8a43c31c1662c3a1ff74f5,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,175cccc937c83b6a77e9cc579bf807d7b5eb512c53b13d3c35e11d7d8768c06e,c07f390a1a1c21c8ea346fe28857ab1949a1dacdfcbac874e7dfcaaf42c88a70,9ea93a8b20af234451e8fb5f79fb1c8b6730ee482efed971f9ead81696be5f04,0.011,0.004,COMPLETED,none
Case1004,0,1,0c885b7395dc04ded186e94e75cb946f2ff5aa96e3a40692ad61c4ef3de8ab47,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,e5766441b6ea144d92522059b66401a53a4520f54958c4108c748ce7959254ff,1e410fed66d98b652cec8c99b080ec0f5f9d405d4fb7c6179da272bdec166ab5,ac68a1d8d7ccec763072b1ef89f56e9047c44d48c680b767f2722399bcc00191,0.011,0.004,COMPLETED,none
Case1004,0,2,75e3c4398e96fddacf3918acb53069a51de86db7e0e8b10d1cc6c4ce86166e7d,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,f7b5aebd9bbd0332c9a17c37a57c3cac92b6d758d8dcf957d178c52b02ec2934,7fe4f7dab9a05ed17cc2725b8915c7b89339078a63092173081ce6a5bc23b9a4,cf0abf92b864a872ad408f4fa02190e6729deb9a0b9bfd5fc1e5e7ead8e52c10,0.011,0.004,COMPLETED,none
Case1004,0,3,93d2193a7b7cd55982777af91621956e86b0c371796fe743cf3d5041ef6e4a9d,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,fa408da2f26cd9e65b59e036bfbcb7a14007c44d1ea877937f4732a9cdc25ce1,a559eb4b974cfba0f7497f76a099a8e708db03d3e53407afa4e3df65f1ed1fcc,6eb5c9298d385be9de6477f943367ebc9069ce430a9e8f05b094ef5b73df8aae,0.011,0.004,COMPLETED,none
Case1004,0,4,c8dba78ebda4526a24e826832511b11a190ef18cf408b98386c6bc976b16c859,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,4ccde74847bedf1920b15e784dc3abdf9b7e5417b2a4b880638b55512750618f,909a0d7f604fdc728c734bc0813df3be6c063684601d5f8dad0a440afee7f9ee,b876441146aadbb2053cd01e2ad6bc1a35d0d5dc7fdb3045a61300f2575c677c,0.011,0.004,COMPLETED,none
Case1004,0,5,e85e04c508d3bc722f100234da28fec8348544b69550a60c3331ff899f514062,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,117b42127f7d2d4929621f8858c87b195d2c15cb7b9d05bfdc430d7a214bd8ef,116f2b3bf0f28dab83558705cb4088b83c785d46ba15516a162ae4e8ce82351e,98d8198383ffc31df5c539924103495bd8af850dff3b5270d9221db4dbd73bb4,0.011,0.004,COMPLETED,none
Case1005,0,1,be981dbee88ed3a2c0b66489fd5894deefdad5f121c77ace00cea90c5e951c07,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,f3c6a3171e0e19b3d7b120a8279327b36905ed0a102114624b265bcf68849e6d,78147bf3a8ec2eaaae32e9b88eeaa229c02d27050e99024da8ddde9cca419aab,f969a221b560aa337104fa6c76aec46cc2f83174c77559b3e8eb30fde953b29b,0.011,0.004,COMPLETED,none
Case1005,0,2,b3f5e8cba8764f168d9f2477510c454a67a3620cacca636807f4d3babff41e33,results/route_C/runtime/round03/R2/ants_syn/Case1001_1Warp.nii.gz|results/route_C/runtime/round03/R2/ants_syn/Case1001_1InverseWarp.nii.gz,0c57a039f99a9cbc82244a485faffbe6b6c30aaf20be4f6d3313177c40c6fdd1,c38ea6a91b85353126bf0ae03a55e6b9e628dd28a1be44dc88f7dd562596c0b1,07c8a1afa355c87242e5a4a25bd1826ff1a1fe155daa7758766c381f354cb559,0.011,0.004,COMPLETED,none
