phase,checkpoint_name,intervention,call_count,gradient_status,activation_variance,proposal_logit_delta,refiner_logit_delta,final_logit_delta,changed_voxels,changed_components,dice_delta,hd95_delta,remote_fp_delta,per_case_help_harm,status
d2_hierarchical_psip,checkpoint_validation_step_24990,static_mixture,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,dictionary_uniform_valid,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,top_pathology_slots_zeroed,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,spatial_router_to_global,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,PSIP_stateless,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,prototype_memory_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,anatomy_prior_flat,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,proposal_only,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,scar_refiner_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
d2_hierarchical_psip,checkpoint_validation_step_24990,edema_refiner_off,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE,NEEDS_EVIDENCE_SELECTED_CHECKPOINT_INTERVENTION_NOT_YET_RUN
