phase,checkpoint_name,checkpoint_path,eval_cases,device,metrics_path,status
alignment_control,checkpoint_validation_step_1250,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_1250.pt,44,cuda,/users/a/e/aereinh/CARE/results/20260714_srr_v3_m10_followup_wave2_reconciliation/runtime/variants/m10_d3_pair_valid_alignment_control/component_hd_by_case_checkpoint_validation_step_1250.csv,EVALUATED
alignment_control,checkpoint_validation_step_2000,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_2000.pt,44,cuda,/users/a/e/aereinh/CARE/results/20260714_srr_v3_m10_followup_wave2_reconciliation/runtime/variants/m10_d3_pair_valid_alignment_control/component_hd_by_case_checkpoint_validation_step_2000.csv,EVALUATED
alignment_control,checkpoint_validation_step_2500,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_2500.pt,44,cuda,/users/a/e/aereinh/CARE/results/20260714_srr_v3_m10_followup_wave2_reconciliation/runtime/variants/m10_d3_pair_valid_alignment_control/component_hd_by_case_checkpoint_validation_step_2500.csv,EVALUATED
alignment_control,checkpoint_validation_step_3750,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_3750.pt,44,cuda,/users/a/e/aereinh/CARE/results/20260714_srr_v3_m10_followup_wave2_reconciliation/runtime/variants/m10_d3_pair_valid_alignment_control/component_hd_by_case_checkpoint_validation_step_3750.csv,EVALUATED
alignment_control,checkpoint_validation_step_5000,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_5000.pt,44,cuda,/users/a/e/aereinh/CARE/results/20260714_srr_v3_m10_followup_wave2_reconciliation/runtime/variants/m10_d3_pair_valid_alignment_control/component_hd_by_case_checkpoint_validation_step_5000.csv,EVALUATED
alignment_control,checkpoint_validation_step_6000,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_6000.pt,44,cuda,/users/a/e/aereinh/CARE/results/20260714_srr_v3_m10_followup_wave2_reconciliation/runtime/variants/m10_d3_pair_valid_alignment_control/component_hd_by_case_checkpoint_validation_step_6000.csv,EVALUATED
alignment_control,checkpoint_validation_step_6250,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_6250.pt,44,cuda,/users/a/e/aereinh/CARE/results/20260714_srr_v3_m10_followup_wave2_reconciliation/runtime/variants/m10_d3_pair_valid_alignment_control/component_hd_by_case_checkpoint_validation_step_6250.csv,EVALUATED
alignment_control,checkpoint_validation_step_7500,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_7500.pt,44,cuda,/users/a/e/aereinh/CARE/results/20260714_srr_v3_m10_followup_wave2_reconciliation/runtime/variants/m10_d3_pair_valid_alignment_control/component_hd_by_case_checkpoint_validation_step_7500.csv,EVALUATED
alignment_control,checkpoint_validation_step_8750,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_8750.pt,44,cuda,/users/a/e/aereinh/CARE/results/20260714_srr_v3_m10_followup_wave2_reconciliation/runtime/variants/m10_d3_pair_valid_alignment_control/component_hd_by_case_checkpoint_validation_step_8750.csv,EVALUATED
alignment_control,checkpoint_validation_step_9000,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_9000.pt,44,cuda,/users/a/e/aereinh/CARE/results/20260714_srr_v3_m10_followup_wave2_reconciliation/runtime/variants/m10_d3_pair_valid_alignment_control/component_hd_by_case_checkpoint_validation_step_9000.csv,EVALUATED
alignment_control,checkpoint_validation_step_10000,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d3_pair_valid_alignment_control/checkpoints/fold_0/propref_config/checkpoint_validation_step_10000.pt,44,cuda,/users/a/e/aereinh/CARE/results/20260714_srr_v3_m10_followup_wave2_reconciliation/runtime/variants/m10_d3_pair_valid_alignment_control/component_hd_by_case_checkpoint_validation_step_10000.csv,EVALUATED
