clause_id,contract_clause,expected,observed,oracle_status,evidence,severity
MODEL_STOCK_INHERITANCE,stock encoder/bottleneck/low-mid decoder and cloned pathology highest two stages,"source shows stock encoder, anatomy decoder, low/mid stages, scar/edema branch deepcopies decoder stages 4/5 and seg layers",src/care_myocardium/models/care_ase.py lines 365-383 and 310-314,PASS,source inspection,high
DYNAMIC_INTROSPECTION,"dynamic decoder introspection, no guessed channels",actual stock decoder modules introspected for channels/kernel/stride,introspect_stock_decoder lines 107-126,PASS,source inspection,high
ZERO_INIT_EVIDENCE,zero-init projections/adapters preserve step0,projection and modality adapter final convs zero-initialized,ZeroInitEvidenceProjection lines 163-174; ModalityAdapter lines 197-218,PASS,source inspection,high
NO_STOCK_PATHOLOGY_FALLBACK,normal forward must not read/add/fallback stock class4/5 logits,stock decoder computes anatomy logits only; final logits use branch z_edema/z_scar,"anatomy uses [:4], branch logits used in final concat",PASS,source inspection with decode oracle,high
PHYSICAL_TARGETS,"physical targets use spacing, edema boundary positive inside negative outside, valid mask abs<=10mm or positive",numeric oracle status PASS,"{""edema_boundary_negative_outside_value"": -0.6726812124252319, ""edema_boundary_positive_inside_value"": 0.20000000298023224, ""edema_boundary_valid_inside"": 1}",PASS,physical_target_oracle.json,high
LOSS_NO_T2,no-T2 edema-exclusive losses and gradients exact zero,synthetic no-T2 z_edema grad == 0 and exclusive loss == 0,"{""five_class_loss_keys_present"": {""five_class_ce_without_class4"": true, ""five_class_dice_without_class4"": true}, ""pure_no_t2_edema_exclusive_total_loss"": -0.0, ""pure_no_t2_total_loss"": 6.3069305419921875, ""pure_no_t2_z_pure_edema_grad_max"": 0.0, ""status"": ""PASS"", ""t2_present_total_loss"": 8.292241096496582, ""t2_present_z_pure_edema_grad_max"": 0.003927667159587145}",PASS,loss_formula_oracle.json,high
SAMPLER_AB_400,Stage A/B 400-step 10/5/5 composition,"complete=200,lge_only=100,lge_c0=100 plus center/pathology balance",status PASS,PASS,sampler_composition_oracle.json,high
SAMPLER_STAGE_C,Stage C complete-only CenterB/CenterC,400 Stage C steps should have no partial groups and 200/200 center balance,status PASS,PASS,sampler_composition_oracle.json,high
CANONICAL_OOF,"canonical stock OOF provenance, no current-model refresh, no min-crop binding",manifest source must be held-out stock OOF and every source fold must not train case,status PASS,PASS,canonical_stock_oof_oracle.json,high
PARAM_GROUP_ID,parameter object-id grouping,"group registry should use id(param), alias collection, and optimizer dedupe",status PASS,PASS,parameter_group_oracle.json,high
EXACT_RESUME_DESCRIPTOR,resume next-batch descriptor hash continuity,saved next descriptor must equal descriptor after loading sampler state,status PASS,PASS,exact_resume_oracle.json,high
GPU_CASE_COVERAGE,independent GPU case coverage evidence,reviewer semantic oracle should independently rerun/check GPU cases or mark unverified,only auxiliary project receipts inspected; no independent GPU rerun was performed by this semantic oracle,UNVERIFIED,gpu_case_coverage_oracle.json,high
FORMAL_WRAPPER_WALLTIME,single training/evaluation job walltime <= 8h,SBATCH --time <= 8:00:00,jobs/care_ase_r2/run_fold_chunk_htzhulab.sh uses 12:00:00,FAIL,jobs/care_ase_r2/run_fold_chunk_htzhulab.sh:8,high
