"模型或实验","评价人群","瘢痕Dice","瘢痕HD95","瘢痕HD","水肿Dice","水肿HD95","水肿HD","距离单位","可比性","一句话结论","证据路径"
"nnU-Net","本地公平留出；220例；水肿为T2存在80例","0.5610","","","0.4308","","","未汇总","本地公平留出内可比","本地最稳的公平基线","results/20260730_care_failure_forensics_deep_research_packet/standardized_model_summary.csv"
"MoSAIC","本地公平留出；220例；水肿为T2存在80例","0.3782","","","0.0528","","","未汇总","本地公平留出内可比","本地公平评估里明显低于nnU-Net","results/20260730_care_failure_forensics_deep_research_packet/standardized_model_summary.csv"
"M0R","fold2+fold3内部选择集；26例","0.8883","1.4804","3.8050","0.7920","2.5917","8.4494","体素","同一目标域训练轮内可比","这一轮最值得复放的源模型","results/20260801_care_target_domain_race_gap_closure/inner_evaluation/all_lane_global_summary_metrics.csv"
"MyoPS-Net-L CARE","fold2+fold3内部选择集；26例","0.4442","14.8626","22.0982","0.2160","18.3903","25.3285","体素","同一目标域训练轮内可比","明显弱，不作为候选","results/20260801_care_target_domain_race_gap_closure/inner_evaluation/all_lane_global_summary_metrics.csv"
"I-MMSeg CARE","fold2+fold3内部选择集；26例","0.7124","6.2783","15.0740","0.4002","10.0807","17.7000","体素","同一目标域训练轮内可比","第二梯队，水肿仍弱","results/20260801_care_target_domain_race_gap_closure/inner_evaluation/all_lane_global_summary_metrics.csv"
"CARE-TDS","fold2+fold3内部选择集；26例","0.0229","136.7500","182.1031","0.0000","","","体素","同一目标域训练轮内可比","基本失效，只作为负结果","results/20260801_care_target_domain_race_gap_closure/inner_evaluation/all_lane_global_summary_metrics.csv"
"M0R外层复放","fold2+fold3外层复放；32例","0.6500","6.8127","14.0076","0.4340","11.8736","20.3097","体素","外层复放内可比","瘢痕有进展，水肿没过关","results/20260801_care_target_domain_race_gap_closure/outer_replay/summary_metrics.csv"
"2026-07-28 DPR本地失败实验","fold0外层44例；最终选择器接受0个候选","0.5602","13.6005","25.9706","0.7798","7.2769","10.7669","毫米","历史诊断；水肿all-case口径需谨慎","新候选没有被真正采用，结果等同朴素基线","results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/gate_b_evaluation/gate_b_outer44_summary.csv"
"SRR Batch7 full learned","fold0诊断44例","0.5552","14.1499","","0.7818","7.1684","","毫米","历史诊断","几乎没有稳定超过anchor，且瘢痕略受伤","results/20260730_care_failure_forensics_deep_research_packet/v4_batch7_casewise_metrics.csv"
"MMRD direct","历史诊断88行","0.2903","63.0961","","0.2431","37.0930","","毫米","历史诊断","直接训练明显低于基线","results/20260730_care_failure_forensics_deep_research_packet/v4_mmrd_casewise_metrics.csv"
"MMRD distillation","历史诊断88行","0.0831","119.9649","","0.0803","24.5539","","毫米","历史诊断","蒸馏失败，并伴随远处假阳性和体积问题","results/20260730_care_failure_forensics_deep_research_packet/v4_mmrd_casewise_metrics.csv"
"PRISM W3","fold0外层一次评估；44例","0.4196","17.2282","35.2094","0.2472","12.6605","21.2087","毫米","历史诊断","低于同折朴素基线，不作为候选","results/20260729_care_prism_v2_backbone_repair_and_resume/evaluation/fold0_w3_outer_once_formal_v2/case_metrics.csv"
