证据分组,模型或路线,训练设置,评价人群,Scar 结果,Edema 结果,Cine 结果,典型病例/帮助伤害,主要结论,仍可保留的思想,可比性等级,证据路径
Block A 官方 hosted validation,historical nnU-Net,2026-05 upload-ready lineage；5-fold/fold0 provenance 已分层,hosted hidden validation,confirmed 0.5969；likely 0.6258,confirmed 0.6496；likely 0.6691,confirmed 0.1748；likely 0.1816,仅作官方目标域背景，不与本地 OOF 直接比较。,历史 nnU-Net hosted 是外部隐藏集参考；最早两次提交的 package lineage 有强弱之分。,保留 upload manifest/tree-hash 追踪，不能用聊天记忆归因。,HOSTED_CONTEXT_ONLY,results/leaderboard/care2026_validation_submission_alignment_20260726.json; results/20260731_care_metric_truth_reconciliation/metric_truth_table.csv
Block A 官方 hosted validation,MoSAIC-attributed best,OrganAgent 2026-06-01 后、排除用户指认为 local 的 2026-07-28 edema row,hosted hidden validation,"Dice 0.6965, HD 13.78, PRE 0.7000, SEN 0.7478","Dice 0.6255, HD 30.30, PRE 0.7557, SEN 0.5760","Dice 0.2069, HD 48.75",仅作官方目标域背景，不与本地 OOF 直接比较。,MoSAIC hosted 优势主要在 scar；edema/Cine 不能写成全面胜出。,保留外部 recipe/weight provenance，但需继续分 scar、edema、Cine 归因。,HOSTED_CONTEXT_ONLY,results/20260801_mosaic_leaderboard_live_snapshot/leaderboard_snapshot.md; /tmp/care2026_leaderboard_refresh_20260801/care2026_myocardium_latest.json
Block A 官方 hosted validation,current visible second-tier context,实时刷新到 /tmp；不归因为本团队,hosted hidden validation,rank2 Monster Dice 0.7323,first different-user after rank1 MaJin Dice 0.7258,rank1/2 NCC1H Dice 0.2645；first different-user需另审,仅作官方目标域背景，不与本地 OOF 直接比较。,当前 leaderboard 背景显示 hidden target 仍高于本地候选，但归因不属于 CARE。,保留为外部目标域难度参考，不进入本团队模型比较。,HOSTED_CONTEXT_ONLY,results/20260801_mosaic_leaderboard_live_snapshot/leaderboard_snapshot.md; /tmp/care2026_leaderboard_refresh_20260801/care2026_myocardium_latest.json
Block A 官方 hosted validation,CineMyoPS hosted result,MoSAIC/OrganAgent closest final recipe；非 MyoPS scar/edema,hosted hidden validation,N/A,N/A,MoSAIC-attributed 0.2058；live visible best 0.2645,仅作官方目标域背景，不与本地 OOF 直接比较。,Cine 目前只有 hosted 背景和较弱 MoSAIC row，不能支持全面模型胜出。,病种独立 fallback 和 Cine 专项校准仍需单独处理。,HOSTED_CONTEXT_ONLY,results/20260801_mosaic_leaderboard_live_snapshot/leaderboard_snapshot.md; results/20260731_care_metric_truth_reconciliation/metric_truth_table.csv
Block B 本地 clean OOF 公平比较,nnU-Net clean OOF,5-fold clean OOF；每例由未训练该例的 fold 预测,clean OOF 220；pure edema 为 T2-present 80,Dice 0.5610,Dice 0.4308,N/A,Case3008/3009 scar 尚可但 edema 弱；Case3027 edema 极低。,当前最成熟、最稳定的本地通用基线。,完整 decoder、同划分 OOF、case-wise help/harm 审计应保留。,DIRECTLY_COMPARABLE,results/20260730_care_failure_forensics_deep_research_packet/standardized_model_summary.csv; results/20260730_care_failure_forensics_deep_research_packet/standardized_casewise_metrics.csv
Block B 本地 clean OOF 公平比较,MoSAIC clean OOF,clean fold0-4 OOF；不使用 full-data submission weights,clean OOF 220；pure edema 为 T2-present 80,Dice 0.3782,Dice 0.0528,N/A,Case2019/2034/2021/3008/3009 clean edema 多为空预测。,本地 clean OOF 明显低于 nnU-Net；hosted scar 不能说明架构普遍更强。,保留 recipe provenance 和部署 recipe 解析；公平评价必须继续 clean split。,DIRECTLY_COMPARABLE,results/20260730_care_failure_forensics_deep_research_packet/standardized_model_summary.csv; results/20260730_care_failure_forensics_deep_research_packet/v4_mosaic_recipe_conclusion.md
Block C 最新完整三模态目标域训练,M0R faithful target-domain nnU-Net control,complete tri-modal fold2+fold3；AdamW warmup-cosine；4000 steps/fold,fold2+fold3 inner source selection；outer 单独只用于 M0R composite,inner best Dice 0.8883 @step3500,inner best Dice 0.7920 @step4000,N/A,Outer Case3008 edema Dice 0.1581；Case3009 0.3173；Case3027 scar precision 0.1385。,inner 冻结源和 outer replay 都指向 scar-only candidate；CenterC edema 否决 full candidate。,faithful source、完整 decoder、outer 冻结复放流程可保留。,SAME_TASK_DIFFERENT_POPULATION,results/20260801_care_target_domain_race_gap_closure/inner_evaluation/all_lane_global_summary_metrics.csv; results/20260801_care_target_domain_race_gap_closure/inner_evaluation/global_source_selection.json
Block C 最新完整三模态目标域训练,M1 MyoPS-Net-L CARE,complete tri-modal fold2+fold3；60 epochs/fold,fold2+fold3 inner source selection；outer 单独只用于 M0R composite,inner best Dice 0.4442 @step3500,inner best Dice 0.2160 @step4500,N/A,inner best scar 0.4442；edema 0.2160。,比 M0R/M2 明显弱，不能作为当前 candidate。,外部架构复现流程和 asset pin 可作参考，模型输出不保留为候选。,SAME_TASK_DIFFERENT_POPULATION,results/20260801_care_target_domain_race_gap_closure/inner_evaluation/all_lane_global_summary_metrics.csv; results/20260801_care_target_domain_race_gap_closure/inner_evaluation/global_source_selection.json
Block C 最新完整三模态目标域训练,M2 I-MMSeg CARE,complete tri-modal fold2+fold3；official source/assets used；60 epochs/fold,fold2+fold3 inner source selection；outer 单独只用于 M0R composite,inner best Dice 0.7124 @step2000,inner best Dice 0.4002 @step2500,N/A,inner best scar 0.7124；edema volume ratio 2.1685 显示过量风险。,第二梯队；scar/edema 均未超过 M0R frozen source。,官方 source/assets pin 和 adapter preflight 可保留。,SAME_TASK_DIFFERENT_POPULATION,results/20260801_care_target_domain_race_gap_closure/inner_evaluation/all_lane_global_summary_metrics.csv; results/20260801_care_target_domain_race_gap_closure/inner_evaluation/global_source_selection.json
Block C 最新完整三模态目标域训练,M3 CARE-TDS,complete tri-modal fold2+fold3；4000 steps/fold,fold2+fold3 inner source selection；outer 单独只用于 M0R composite,inner best Dice 0.0229 @step500,inner best Dice 0.0000 @step500,N/A,inner best scar 0.0229；edema 0.0000。,病灶输出近乎失效，只作为已评估负证据。,仅保留失败诊断，不能作为 active candidate。,SAME_TASK_DIFFERENT_POPULATION,results/20260801_care_target_domain_race_gap_closure/inner_evaluation/all_lane_global_summary_metrics.csv; results/20260801_care_target_domain_race_gap_closure/inner_evaluation/global_source_selection.json
