variant,bank_type,source_split,source_cases,component_count,voxel_count,feature_stage,prototype_count,no_t2_used_as_edema_negative,leakage_check,empty_bank_status,source
m6_full_srr_context_arbitration,scar_positive,synthetic_anchor_derived_runtime_sanity,synthetic_anchor_derived_t2_present,1,32,SRRProposeRefineMyoPS._evidence_features,6,False,same synthetic sanity tensor only; no validation metric claim,NONEMPTY,anchor_derived_runtime_sanity_feature_tensors
m6_full_srr_context_arbitration,scar_safe_negative,synthetic_anchor_derived_runtime_sanity,synthetic_anchor_derived_t2_present,2,,SRRProposeRefineMyoPS._evidence_features,8,False,same synthetic sanity tensor only; no validation metric claim,NONEMPTY,anchor_derived_runtime_sanity_feature_tensors
m6_full_srr_context_arbitration,edema_positive,synthetic_anchor_derived_runtime_sanity,synthetic_anchor_derived_t2_present,1,72,SRRProposeRefineMyoPS._evidence_features,6,False,same synthetic sanity tensor only; no validation metric claim,NONEMPTY,anchor_derived_runtime_sanity_feature_tensors
m6_full_srr_context_arbitration,edema_safe_negative,synthetic_anchor_derived_runtime_sanity,synthetic_anchor_derived_t2_present,2,72,SRRProposeRefineMyoPS._evidence_features,8,False,same synthetic sanity tensor only; no validation metric claim,NONEMPTY,anchor_derived_runtime_sanity_feature_tensors
m6_conservative_component_arbitration,scar_positive,synthetic_anchor_derived_runtime_sanity,synthetic_anchor_derived_t2_present,1,32,SRRProposeRefineMyoPS._evidence_features,6,False,same synthetic sanity tensor only; no validation metric claim,NONEMPTY,anchor_derived_runtime_sanity_feature_tensors
m6_conservative_component_arbitration,scar_safe_negative,synthetic_anchor_derived_runtime_sanity,synthetic_anchor_derived_t2_present,2,,SRRProposeRefineMyoPS._evidence_features,8,False,same synthetic sanity tensor only; no validation metric claim,NONEMPTY,anchor_derived_runtime_sanity_feature_tensors
m6_conservative_component_arbitration,edema_positive,synthetic_anchor_derived_runtime_sanity,synthetic_anchor_derived_t2_present,1,72,SRRProposeRefineMyoPS._evidence_features,6,False,same synthetic sanity tensor only; no validation metric claim,NONEMPTY,anchor_derived_runtime_sanity_feature_tensors
m6_conservative_component_arbitration,edema_safe_negative,synthetic_anchor_derived_runtime_sanity,synthetic_anchor_derived_t2_present,2,72,SRRProposeRefineMyoPS._evidence_features,8,False,same synthetic sanity tensor only; no validation metric claim,NONEMPTY,anchor_derived_runtime_sanity_feature_tensors
m6_scar_precision_edema_safe,scar_positive,synthetic_anchor_derived_runtime_sanity,synthetic_anchor_derived_t2_present,1,32,SRRProposeRefineMyoPS._evidence_features,6,False,same synthetic sanity tensor only; no validation metric claim,NONEMPTY,anchor_derived_runtime_sanity_feature_tensors
m6_scar_precision_edema_safe,scar_safe_negative,synthetic_anchor_derived_runtime_sanity,synthetic_anchor_derived_t2_present,2,,SRRProposeRefineMyoPS._evidence_features,8,False,same synthetic sanity tensor only; no validation metric claim,NONEMPTY,anchor_derived_runtime_sanity_feature_tensors
m6_scar_precision_edema_safe,edema_positive,synthetic_anchor_derived_runtime_sanity,synthetic_anchor_derived_t2_present,1,72,SRRProposeRefineMyoPS._evidence_features,6,False,same synthetic sanity tensor only; no validation metric claim,NONEMPTY,anchor_derived_runtime_sanity_feature_tensors
m6_scar_precision_edema_safe,edema_safe_negative,synthetic_anchor_derived_runtime_sanity,synthetic_anchor_derived_t2_present,2,72,SRRProposeRefineMyoPS._evidence_features,8,False,same synthetic sanity tensor only; no validation metric claim,NONEMPTY,anchor_derived_runtime_sanity_feature_tensors
