variant,component,target_contract,first_party_code_path,fix_status,runtime_evidence,blocker
m6_full_srr_context_arbitration,encoder_profile,M6 concrete SRR-v3 MyoPS runtime,src/care_myocardium/models/srr_v2_unet.py:encoder_profile_scale_channels,IMPLEMENTED_BOUNDED_RUNTIME_VERIFIED,encoder_decoder_capacity_sanity.csv,
m6_full_srr_context_arbitration,pair_specific_dictionary_config,M6 concrete SRR-v3 MyoPS runtime,src/care_myocardium/models/srr_blocks.py:dictionary_slot_config,IMPLEMENTED_BOUNDED_RUNTIME_VERIFIED,retrieval_bank_runtime_sanity.csv,
m6_full_srr_context_arbitration,prototype_loading_source_check,M6 concrete SRR-v3 MyoPS runtime,src/care_myocardium/models/proposal_prototypes.py:build_prototype_bank_from_labeled_features,IMPLEMENTED_BOUNDED_RUNTIME_VERIFIED,prototype_bank_runtime_sanity.csv,
m6_full_srr_context_arbitration,segmentation_context_interface,M6 concrete SRR-v3 MyoPS runtime,src/care_myocardium/models/srr_propref.py:SegmentationContextInterface,IMPLEMENTED_BOUNDED_RUNTIME_VERIFIED,segmentation_context_interface_sanity.csv,
m6_full_srr_context_arbitration,pathology_specific_proposal,M6 concrete SRR-v3 MyoPS runtime,src/care_myocardium/models/srr_propref.py:ProposalDictionary.forward,IMPLEMENTED_BOUNDED_RUNTIME_VERIFIED,anatomy_proposal_sanity.csv,
m6_full_srr_context_arbitration,bounded_soft_roi_refiner,M6 concrete SRR-v3 MyoPS runtime,src/care_myocardium/models/srr_propref.py:CropSoftROIRefinementHead,IMPLEMENTED_BOUNDED_RUNTIME_VERIFIED,refiner_roi_component_sanity.csv,
m6_full_srr_context_arbitration,explicit_arbitration,M6 concrete SRR-v3 MyoPS runtime,src/care_myocardium/models/srr_propref.py:BranchArbitrationGate,IMPLEMENTED_BOUNDED_RUNTIME_VERIFIED,branch_arbitration_sanity.csv,
m6_full_srr_context_arbitration,expanded_total_loss,M6 concrete SRR-v3 MyoPS runtime,src/care_myocardium/losses/srr_losses.py:srr_m6_expanded_total_loss,IMPLEMENTED_BOUNDED_RUNTIME_VERIFIED,loss_refiner_component_sanity.csv,
m6_full_srr_context_arbitration,no_t2_full_chain_safety,M6 concrete SRR-v3 MyoPS runtime,src/care_myocardium/models/srr_propref.py:no_t2 policy,IMPLEMENTED_BOUNDED_RUNTIME_VERIFIED,no_t2_safety_sanity.csv,
m6_conservative_component_arbitration,encoder_profile,M6 concrete SRR-v3 MyoPS runtime,src/care_myocardium/models/srr_v2_unet.py:encoder_profile_scale_channels,IMPLEMENTED_BOUNDED_RUNTIME_VERIFIED,encoder_decoder_capacity_sanity.csv,
