case_count,scar_dice_mean,edema_dice_mean,anatomy_union_overfit_dice,invalid_weight_max,no_t2_edema_delta_abs_max,step
6,0.0,0.0,0.0,0.0,0.0,2000
6,0.0,0.0,0.0,0.0,0.0,4000
6,0.0,0.0,0.0,0.0,0.0,6000
6,0.0,0.0,0.0,0.0,0.0,8000
6,0.0,0.0,0.0,0.0,0.0,10000
6,0.0,0.0,0.0,0.0,0.0,12000
6,0.0,0.0,0.0,0.0,0.0,14000
6,0.0,0.0,0.0,0.0,0.0,16000
6,0.0,0.0,0.0,0.0,0.0,18000
6,0.0,0.0,0.0,0.0,0.0,20000
6,0.0,0.0,0.0,0.0,0.0,22000
6,0.0,0.0,0.0,0.0,0.0,24000
6,0.0,0.0,0.0,0.0,0.0,26000
6,0.0,0.0,0.0,0.0,0.0,28000
6,0.0,0.0,0.0,0.0,0.0,30000
6,0.0,0.0,0.0,0.0,0.0,32000
6,0.0,0.0,0.0,0.0,0.0,34000
6,0.0,0.0,0.0,0.0,0.0,36000
6,0.0,0.0,0.0,0.0,0.0,38000
6,0.0,0.0,0.0,0.0,0.0,40000
6,0.0,0.0,0.0,0.0,0.0,42000
6,0.0,0.0,0.0,0.0,0.0,43003
