case_id,formal_inference_never_calls_whole_volume_shortcut,input_shape,mirror_axes,padded_shape,patch_size,steps,tile_count,tile_step_size,use_gaussian
Case1002,True,"[18, 256, 256]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case1007,True,"[19, 256, 256]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case1009,True,"[16, 256, 256]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case1010,True,"[22, 256, 256]",[],"[22, 256, 256]","[20, 256, 256]","[[0, 2], [0], [0]]",2,0.5,True
Case1021,True,"[22, 256, 256]",[],"[22, 256, 256]","[20, 256, 256]","[[0, 2], [0], [0]]",2,0.5,True
Case1023,True,"[21, 307, 307]",[],"[21, 307, 307]","[20, 256, 256]","[[0, 1], [0, 51], [0, 51]]",8,0.5,True
Case1029,True,"[19, 249, 249]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case1033,True,"[20, 245, 246]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case1040,True,"[20, 256, 256]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case1042,True,"[23, 256, 252]",[],"[23, 256, 256]","[20, 256, 256]","[[0, 3], [0], [0]]",2,0.5,True
Case1045,True,"[22, 278, 278]",[],"[22, 278, 278]","[20, 256, 256]","[[0, 2], [0, 22], [0, 22]]",8,0.5,True
Case1047,True,"[24, 266, 271]",[],"[24, 266, 271]","[20, 256, 256]","[[0, 4], [0, 10], [0, 15]]",8,0.5,True
Case1053,True,"[23, 293, 293]",[],"[23, 293, 293]","[20, 256, 256]","[[0, 3], [0, 37], [0, 37]]",8,0.5,True
Case1062,True,"[20, 245, 249]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case1070,True,"[18, 230, 234]",[],"[20, 256, 256]","[20, 256, 256]","[[0], [0], [0]]",1,0.5,True
Case1073,True,"[21, 256, 256]",[],"[21, 256, 256]","[20, 256, 256]","[[0, 1], [0], [0]]",2,0.5,True
