decision,git_head,job_states,next_action,phase,task_hash,timestamp_unix
W0_AUDIT_WRITTEN,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,PASS,controller inspect W0 receipts,B10_W0_BIND_FREEZE_AND_CLEAN_CHECKOUT,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784854256
NEEDS_REPAIR,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,WAVE3_LOCAL_PROCESS_INTERRUPTED,repair amendment gaps before Wave3 acceptance and rerun affected runtime,B10_AMENDMENT_PAUSE_AND_GAP_REGISTER,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784858914
EXECUTOR_FIXING,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,LOCAL_EDIT,run strict entrypoint audit and update gap status,B10_A07_ENTRYPOINT_AUTHORITY_REPAIR,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784859016
NEEDS_MONITOR,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,SUBMITTED job_id=60342779 partition=htzhulab,monitor screening to terminal accounting then aggregate checkpoint_screening_manifest,B10_A02_CHECKPOINT_SCREENING_SUBMITTED,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784859390
HANDOFF_PREPARED_STOP_CURRENT_SESSION,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,RUNNING screening_job=60342779 nifti=1232 complete_csv=56,Longleaf_Backup_Codex resume from /users/a/e/aereinh/CARE/results/20260724_care_myops_batch10_deadline_rescue/migration_backups/20260723_224553__to_Longleaf_Backup_Codex and monitor job 60342779 to terminal,B10_CONTROLLER_MIGRATION_BACKUP,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784861154
B10_A02_SCREENING_TERMINAL_ACCOUNTING_CONFIRMED,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,60342779 COMPLETED 0:0 elapsed=00:41:48 htzhulab,run checkpoint aggregate and provenance audit,B10_A02_CHECKPOINT_SCREENING_TERMINAL,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784872993
B10_A02_SCREENING_AGGREGATE_VALIDATED,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,1716/1716 NIfTI;78/78 CSV;manifest 78 screened 12 promoted all_hashes,repair and rerun Wave2 full44 with promoted checkpoints and calibration-only TTA selection,B10_A02_CHECKPOINT_SCREENING_AGGREGATE,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784872994
B10_A03_WAVE2_RERUN_REQUIRED,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,local prep exit 0; inventory 16 candidates; old matching outputs incomplete under new prefixes,submit PHASE=all FORCE=1 Wave2 fair reevaluation on htzhulab,B10_WAVE2_RERUN_PREP,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784873060
B10_WAVE2_RERUN_SUBMITTED,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,submitted job_id=60365241 partition=htzhulab PHASE=all FORCE=1 DEVICE=cuda,monitor to terminal accounting; aggregate and audit only after COMPLETED 0:0,B10_WAVE2_FULL44_TTA_RERUN,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784873061
B10_WAVE2_ATTEMPT_CANCELLED_CONTROLLER_CODE_REVIEW,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,60365241 CANCELLED by controller after 00:04:10; zero completion credit,patch Wave2 runtime source_prefix directories and Wave3 source identity before replacement,B10_WAVE2_INVALID_RUNTIME_IDENTITY,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784873062
B10_WAVE2_WAVE3_SOURCE_PREFIX_REPAIR_TESTED,d90628cf7fb7f98cb17838e3d370c34b3ccecd2e,py_compile PASS; wave2 inventory 16 unique source_prefix runtime dirs,submit replacement Wave2 full44/TTA rerun,B10_A03_A04_A09_SOURCE_IDENTITY_REPAIR,89214f046dee2e45f9a05c7237749b3585dbfa1fa07cf9385e78cceb5cd94c9e,1784873063
