affected_files,controller_decision,controller_review_evidence,evidence,issue_id,last_updated_unix,lifecycle_trace,required_fix,required_test,runtime_rerun_required,runtime_revalidation_evidence,scientific_risk,status
controller_amendment_receipt.md;gap_register.csv;selection_provenance.json;controller_ledger.csv,ALL_AMENDMENT_GAPS_CLOSED_AND_TERMINAL_VALIDATOR_PASS,gap_register.csv all A01-A12 closed; strict_validator_report.json PASS; known_bad_report.json PASS,"User amendment requires explicit amendment receipt, gap register lifecycle, provenance, and ledger append for every selection/repair.",B10-A01,1784882808,OPEN -> EXECUTOR_FIXING -> CONTROLLER_CODE_REVIEWED -> TESTED -> RUNTIME_REVALIDATED -> CLOSED,Create/update visible gap register with OPEN->...->CLOSED lifecycle and append ledger for repairs/selections.,Controller validates lifecycle fields and ledger entries exist for amendment events and selections.,yes,Wave2 60366356 COMPLETED 0:0; Wave3 local rerun exit 0; paired fiducial PASS; Docker boundary recorded; near-baseline gate fail closed,Selection leakage and missing visible gap governance,CLOSED
batch10_wave0_audit.py;batch10_wave2_fair_reevaluation.py;checkpoint_screening_manifest.csv,CHECKPOINT_SCREENING_TERMINAL_AGGREGATED_VALIDATED_PROMOTED_TOP2,sacct 60342779 COMPLETED 0:0;checkpoint_screening_manifest.csv 78 screened 12 promoted all hashes;selection_provenance.json calibration-only event,Batch9 direct/teacher selected checkpoints came from old evaluator and cannot be final Batch10 candidates.,B10-A02,1784872993,OPEN -> EXECUTOR_FIXING -> CONTROLLER_CODE_REVIEWED -> TESTED -> RUNTIME_REVALIDATED -> CLOSED,Discover all periodic direct/teacher checkpoints; screen on calibration only with Batch10 sliding-window/inverse export; retain <=2 per seed/variant before 44-case audit.,Screening manifest includes discovered/promoted/rejected hashes; audit cases absent from screening case list; selected checkpoints rerun on 44 cases.,yes,1716/1716 NIfTI;78/78 screen casewise CSV;batch10_checkpoint_screening.py --phase aggregate exit 0;batch10_selection_provenance_audit.py exit 0,Batch9 selected direct/teacher checkpoints inherited from flawed whole-volume/shape-only evaluation,CLOSED
batch10_wave2_fair_reevaluation.py;batch10_wave3_ensemble_postprocess.py;selection_provenance.json,ALL_SELECTION_PROVENANCE_CALIBRATION_ONLY_VALIDATED_WAVE2_WAVE3,selection_provenance.json has checkpoint/TTA/Wave3 events with calibration case IDs and audit_case_ids_used_for_selection=[]; scripts/evaluation/batch10_selection_provenance_audit.py PASS,Existing Wave2 top2 TTA selection used positive_gt summary over full44; Wave3 source selection uses calibration but provenance not explicit.,B10-A03,1784882373,OPEN -> EXECUTOR_FIXING -> CONTROLLER_CODE_REVIEWED -> TESTED -> RUNTIME_REVALIDATED -> CLOSED,Force all checkpoint/TTA/source/temperature/postprocess selection to calibration-only; record actual case IDs read per selection.,selection_provenance.json proves no audit case IDs in selection_read_case_ids; audit runs after frozen selections.,yes,60366356 COMPLETED 0:0; Wave3 local rerun exit 0; selection_provenance_audit.json status PASS event_count=4,Calibration/audit contamination risk across checkpoint/TTA/ensemble/postprocess choices,CLOSED
batch10_wave3_ensemble_postprocess.py,ANATOMY_SOURCE_CALIBRATION_CLASSES_1_3_VALIDATED,"batch10_wave3_ensemble_postprocess.py anatomy_score selects by class_1/class_2/class_3 calibration Dice, min/mean anatomy Dice, myocardium HD95; ensemble_source_selection.json records best_anatomy_source","Current Wave3 anatomy source proxy ranks scar/edema Dice, violating fixed anatomy ordering.",B10-A04,1784882373,OPEN -> EXECUTOR_FIXING -> CONTROLLER_CODE_REVIEWED -> TESTED -> RUNTIME_REVALIDATED -> CLOSED,"Evaluate classes 1-3 on calibration and select anatomy source by min Dice, mean Dice, myocardium HD95, simplicity.",Unit/receipt shows anatomy source criteria and calibration case IDs; no scar/edema subjective source for anatomy.,yes,Wave3 rerun exit 0; ensemble_source_selection.json contains best_anatomy_source and no best_anatomy_proxy_source; selection_provenance_audit PASS,Anatomy source selected from pathology proxy rather than anatomy classes,CLOSED
batch10_wave3_ensemble_postprocess.py,CALIBRATION_ONLY_LOGIT_RESIDUAL_MARGIN_TEMPERATURE_COMPOSITOR_VALIDATED,batch10_wave3_ensemble_postprocess.py compose_pathology_logits uses anatomy logits base plus scar/edema residuals with shared temperature and margins; provenance records pathology_compositor_calibration,Current pathology_specific_compositor concatenates class probabilities from different models and renormalizes.,B10-A05,1784882373,OPEN -> EXECUTOR_FIXING -> CONTROLLER_CODE_REVIEWED -> TESTED -> RUNTIME_REVALIDATED -> CLOSED,Replace compositor with anatomy logits/probability base plus calibrated scar/edema pathology margins/residuals from fixed temperature grid; keep probability mean controls.,"Compositor provenance records temperature grid, margins, no uncalibrated probability splice; audit promotion requires nonworse harm/HD95/remote FP.",yes,pathology_compositor_calibration.json PASS calibration_only; pathology_compositor_calibration_grid.csv 27 rows; selected temp1.25_scar0.25_edema-0.25; Wave3 receipt mode calibration_only_logit_residual_margin_temperature_softmax,Pathology compositor averages/pastes uncalibrated softmax probabilities,CLOSED
batch10_wave3_ensemble_postprocess.py,TWO_STAGE_POSTPROCESS_WITH_RAW_FALLBACK_VALIDATED,"run_grid implements stage1 anatomy support/distance, stage2 pathology component filtering, raw fallback on low gain/harm/empty increase; postprocess_selected.json records raw_comparator/stage1/stage2",Current Wave3 searches full Cartesian postprocess grid jointly.,B10-A06,1784882373,OPEN -> EXECUTOR_FIXING -> CONTROLLER_CODE_REVIEWED -> TESTED -> RUNTIME_REVALIDATED -> CLOSED,"Two-stage calibration-only postprocess: anatomy support/distance first, then scar/edema min components; choose no-postprocess if gain <0.005 or harm/empty increases.",postprocess_calibration_grid.csv records stages; selected JSON records no audit selection and no-postprocess fallback checks.,yes,postprocess_selected.json PASS selection_uses=calibration_only_two_stage; raw fallback reason minimum_pathology_delta_gain_below_0.005; selection_provenance_audit PASS,Postprocess grid overfits by joint search and may select tiny gains with harm,CLOSED
configs/srr_production/entrypoints.yaml;scripts/evaluation/*;jobs/care_mm/*,STRICT_ENTRYPOINT_AND_NO_PARALLEL_EXECUTOR_AUTHORITY_VALIDATED,strict_entrypoint_audit.json PASS; configs/srr_production/entrypoints.yaml is Batch10 authority with parallel_executor=false,Amendment requires configs/srr_production/entrypoints.yaml as Batch10 authority plus strict entrypoint audit.,B10-A07,1784882373,OPEN -> EXECUTOR_FIXING -> CONTROLLER_CODE_REVIEWED -> TESTED -> RUNTIME_REVALIDATED -> CLOSED,Switch entrypoints authority to Batch10; add strict audit; document parallel_executor=false and isolated runtime roots/logs/locks/prefixes.,Strict audit fails if Batch9 is current formal entrypoint; receipts show independent runtime roots and deterministic manifest-driven aggregation.,yes,strict_entrypoint_audit.json status PASS; no Batch11/validation upload/Docker upload/hosted validation invoked,Contract/entrypoint authority still may point to Batch9 and runtime isolation not fully audited,CLOSED
training code;tests/care_mm/*;paired_spatial_fiducial_checks.csv,PAIRED_SPATIAL_FIDUCIAL_COORDINATE_CHECK_VALIDATED,"batch10_paired_spatial_fiducial_check.py records student/natural/teacher patch bounds, local fiducials, original preprocessed voxel zyx and physical xyz coordinates.","Prior semantics could rely on seed/hash, not voxel coordinate proof.",B10-A08,1784882666,OPEN -> EXECUTOR_FIXING -> CONTROLLER_CODE_REVIEWED -> TESTED -> RUNTIME_REVALIDATED -> CLOSED,Add paired sparse fiducial/grid check for student/natural/teacher view after shared spatial transform.,paired_spatial_fiducial_checks.csv shows voxel-exact landmark agreement before short training submission.,conditional,paired_spatial_fiducial_receipt.json PASS; paired_spatial_fiducial_checks.csv 36 rows; max_abs_index_delta_student_natural=0 and teacher_natural=0.,Synchronized spatial augmentation lacks true coordinate/fiducial evidence,CLOSED
batch10_wave3_ensemble_postprocess.py;ensemble_manifest.csv,COMMON_PREPROCESSED_SPACE_FUSION_AND_SINGLE_INVERSE_EXPORT_VALIDATED,fair inference saves *_preprocessed_logits.npz; Wave3 fuses common preprocessed logits and manifests fusion_space/inverse_export_count,Wave3 currently reads saved original-space probabilities after per-model inverse export.,B10-A09,1784882373,OPEN -> EXECUTOR_FIXING -> CONTROLLER_CODE_REVIEWED -> TESTED -> RUNTIME_REVALIDATED -> CLOSED,Prefer common preprocessed-space fusion for same plans fingerprint then single official inverse export; original-space ensemble only with recorded fingerprint mismatch downgrade.,ensemble_manifest.csv records fusion_space and plans fingerprints; no repeated inverse interpolation for same fingerprint.,yes,ensemble_manifest.csv 264 rows all fusion_space=common_preprocessed_logits inverse_export_count=1; runtime/wave3_ensemble_common_space has 264 raw_argmax NIfTI and 264 NPZ; no nnU-Net probability source,Ensemble/inverse export order could average already inverse-resampled probabilities,CLOSED
batch10_wave2_fair_reevaluation.py;baseline_recomputed_summary.csv;baseline_reference_consistency.json,BASELINE_POPULATION_SEPARATION_AND_REFERENCE_CONSISTENCY_VALIDATED,baseline_reference_consistency.json PASS; baseline summaries distinguish full44/positive_gt/calibration/audit/complete_trimodal,Baseline recompute needs agreement with reproduction reference by case count/population/Dice and strict population separation.,B10-A10,1784882373,OPEN -> EXECUTOR_FIXING -> CONTROLLER_CODE_REVIEWED -> TESTED -> RUNTIME_REVALIDATED -> CLOSED,Compare recomputed nnU-Net metrics to reproduction reference; block unexplained differences; keep positive-GT/all-case/complete-trimodal/calibration/audit/full44 separate.,baseline_reference_consistency.json PASS and summaries include required populations without cross-pop comparisons.,yes,baseline_recomputed_casewise.csv and baseline_recomputed_summary.csv present; Wave2/Wave3 rankings compare audit_positive_gt against same split baseline,Baseline/evaluator self-check incomplete,CLOSED
near_baseline_gate.json;full44_candidate_ranking.csv;short_run_*,NEAR_BASELINE_GATE_FAILED_FINAL_STOP_ROUTE_VALIDATED,near_baseline_gate.json status FAIL training_authorized=false; no Wave4 jobs authorized or submitted.,"Ranking must maximize min audit gain, not sacrifice one pathology; training only after gate; distill must be per-seed/per-pathology noninferior.",B10-A11,1784882666,OPEN -> EXECUTOR_FIXING -> CONTROLLER_CODE_REVIEWED -> TESTED -> RUNTIME_REVALIDATED -> CLOSED,Implement fixed audit ranking objective and training gate; later enforce per-seed/per-pathology matched control noninferiority.,near_baseline_gate uses audit-only metrics; any Wave4/Wave5 receipt rejects cross-seed averaging mask.,yes,wave4_training_skip.json / final validator will record STOP_CARE_MMRD_COMPETITION_ROUTE after gate fail.,Final ranking/near-baseline/stopping rules need audit-only objective and per-seed nonmasking,CLOSED
docker_feasibility_probe.json;scripts/evaluation/*,DOCKER_FEASIBILITY_PROBE_NOT_TRIGGERED_BECAUSE_NO_CANDIDATE_ADVANCED,Docker one-case probe requirement is a precondition for advancing a final complex candidate; near-baseline gate failed and no Docker candidate is claimed.,Amendment requires runtime/memory/checkpoint/image/no-network/repeat hash/missing-modality checks before final complex candidate.,B10-A12,1784882666,OPEN -> EXECUTOR_FIXING -> CONTROLLER_CODE_REVIEWED -> TESTED -> RUNTIME_REVALIDATED -> CLOSED,Add representative one-case feasibility probe before final promotion of TTA/multi-model ensemble.,docker_feasibility_probe.json records required resource and determinism fields; infeasible candidates not promoted.,yes,docker_feasibility_probe.json status SKIPPED_NO_ADVANCED_COMPLEX_CANDIDATE; docker_image_built=false; docker_upload_run=false; validation_upload_run=false.,Docker feasibility not checked before complex candidate promotion,CLOSED
