case_count,checkpoint_path,checkpoint_sha256,command,device,epoch,finished_unix,prefix,returncode,screen_variant,seed,slurm_job_id,timestamp_unix
22,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch25.pt,69768080b4f6db5e1b7abf511ee8d7d72b99a5673d711985b0278913fb14e927,"/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/inference/run_care_mm_batch10_fair_inference.py --variant student_direct_reliable --seed 20260723 --checkpoint results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch25.pt --prediction-dir results/20260724_care_myops_batch10_deadline_rescue/runtime/checkpoint_screening/student_direct_reliable/seed20260723/epoch025_69768080 --output-dir results/20260724_care_myops_batch10_deadline_rescue --prefix screen_student_direct_reliable_seed20260723_epoch025_69768080 --cases Case1021,Case1029,Case1033,Case1045,Case1047,Case1053,Case1062,Case1073,Case1080,Case2007,Case2020,Case2033,Case3004,Case3011,Case3023,Case3038,Case3040,Case6001,Case7005,Case8015,Case8021,Case8023 --device cuda",cuda,25,1784859413,screen_student_direct_reliable_seed20260723_epoch025_69768080,0,student_direct_reliable,20260723,60342779,1784859380
22,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch50.pt,6b4f86060cde873d4145870d22ccc93fdd4b1b1e3c6b18f7a09d9e1111a74957,"/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/inference/run_care_mm_batch10_fair_inference.py --variant student_direct_reliable --seed 20260723 --checkpoint results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch50.pt --prediction-dir results/20260724_care_myops_batch10_deadline_rescue/runtime/checkpoint_screening/student_direct_reliable/seed20260723/epoch050_6b4f8606 --output-dir results/20260724_care_myops_batch10_deadline_rescue --prefix screen_student_direct_reliable_seed20260723_epoch050_6b4f8606 --cases Case1021,Case1029,Case1033,Case1045,Case1047,Case1053,Case1062,Case1073,Case1080,Case2007,Case2020,Case2033,Case3004,Case3011,Case3023,Case3038,Case3040,Case6001,Case7005,Case8015,Case8021,Case8023 --device cuda",cuda,50,1784859443,screen_student_direct_reliable_seed20260723_epoch050_6b4f8606,0,student_direct_reliable,20260723,60342779,1784859413
22,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch75.pt,03fe804fa0e06ad9aeff78c7fa75fd72b77f3cfc5465f71cc8fa5e9f72ad3ca2,"/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/inference/run_care_mm_batch10_fair_inference.py --variant student_direct_reliable --seed 20260723 --checkpoint results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch75.pt --prediction-dir results/20260724_care_myops_batch10_deadline_rescue/runtime/checkpoint_screening/student_direct_reliable/seed20260723/epoch075_03fe804f --output-dir results/20260724_care_myops_batch10_deadline_rescue --prefix screen_student_direct_reliable_seed20260723_epoch075_03fe804f --cases Case1021,Case1029,Case1033,Case1045,Case1047,Case1053,Case1062,Case1073,Case1080,Case2007,Case2020,Case2033,Case3004,Case3011,Case3023,Case3038,Case3040,Case6001,Case7005,Case8015,Case8021,Case8023 --device cuda",cuda,75,1784859474,screen_student_direct_reliable_seed20260723_epoch075_03fe804f,0,student_direct_reliable,20260723,60342779,1784859443
22,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch100.pt,6ffb6cbbee7e4eb53788beb896a255d0728ae484427621c8613857c7099e8786,"/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/inference/run_care_mm_batch10_fair_inference.py --variant student_direct_reliable --seed 20260723 --checkpoint results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch100.pt --prediction-dir results/20260724_care_myops_batch10_deadline_rescue/runtime/checkpoint_screening/student_direct_reliable/seed20260723/epoch100_6ffb6cbb --output-dir results/20260724_care_myops_batch10_deadline_rescue --prefix screen_student_direct_reliable_seed20260723_epoch100_6ffb6cbb --cases Case1021,Case1029,Case1033,Case1045,Case1047,Case1053,Case1062,Case1073,Case1080,Case2007,Case2020,Case2033,Case3004,Case3011,Case3023,Case3038,Case3040,Case6001,Case7005,Case8015,Case8021,Case8023 --device cuda",cuda,100,1784859504,screen_student_direct_reliable_seed20260723_epoch100_6ffb6cbb,0,student_direct_reliable,20260723,60342779,1784859474
22,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/inference/run_care_mm_batch10_fair_inference.py --variant student_direct_reliable --seed 20260723 --checkpoint results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt --prediction-dir results/20260724_care_myops_batch10_deadline_rescue/runtime/checkpoint_screening/student_direct_reliable/seed20260723/epoch125_7fc1fcf4 --output-dir results/20260724_care_myops_batch10_deadline_rescue --prefix screen_student_direct_reliable_seed20260723_epoch125_7fc1fcf4 --cases Case1021,Case1029,Case1033,Case1045,Case1047,Case1053,Case1062,Case1073,Case1080,Case2007,Case2020,Case2033,Case3004,Case3011,Case3023,Case3038,Case3040,Case6001,Case7005,Case8015,Case8021,Case8023 --device cuda",cuda,125,1784859535,screen_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,0,student_direct_reliable,20260723,60342779,1784859505
22,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch150.pt,e29829d4d0cc2c290a946cee666ec74d8b44ae2dbe33d0fbb9d64e9baebf22c5,"/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/inference/run_care_mm_batch10_fair_inference.py --variant student_direct_reliable --seed 20260723 --checkpoint results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch150.pt --prediction-dir results/20260724_care_myops_batch10_deadline_rescue/runtime/checkpoint_screening/student_direct_reliable/seed20260723/epoch150_e29829d4 --output-dir results/20260724_care_myops_batch10_deadline_rescue --prefix screen_student_direct_reliable_seed20260723_epoch150_e29829d4 --cases Case1021,Case1029,Case1033,Case1045,Case1047,Case1053,Case1062,Case1073,Case1080,Case2007,Case2020,Case2033,Case3004,Case3011,Case3023,Case3038,Case3040,Case6001,Case7005,Case8015,Case8021,Case8023 --device cuda",cuda,150,1784859566,screen_student_direct_reliable_seed20260723_epoch150_e29829d4,0,student_direct_reliable,20260723,60342779,1784859536
22,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch175.pt,13f255b709f83bb0a75d7009f2a7e06bad3afd3fbad1fe5f2e218d014ffeb5d4,"/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/inference/run_care_mm_batch10_fair_inference.py --variant student_direct_reliable --seed 20260723 --checkpoint results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch175.pt --prediction-dir results/20260724_care_myops_batch10_deadline_rescue/runtime/checkpoint_screening/student_direct_reliable/seed20260723/epoch175_13f255b7 --output-dir results/20260724_care_myops_batch10_deadline_rescue --prefix screen_student_direct_reliable_seed20260723_epoch175_13f255b7 --cases Case1021,Case1029,Case1033,Case1045,Case1047,Case1053,Case1062,Case1073,Case1080,Case2007,Case2020,Case2033,Case3004,Case3011,Case3023,Case3038,Case3040,Case6001,Case7005,Case8015,Case8021,Case8023 --device cuda",cuda,175,1784859597,screen_student_direct_reliable_seed20260723_epoch175_13f255b7,0,student_direct_reliable,20260723,60342779,1784859566
22,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch200.pt,503b089dafa2c21407469ab6c0577cd39eb14c0868855ffd1e0bf6858363248d,"/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/inference/run_care_mm_batch10_fair_inference.py --variant student_direct_reliable --seed 20260723 --checkpoint results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch200.pt --prediction-dir results/20260724_care_myops_batch10_deadline_rescue/runtime/checkpoint_screening/student_direct_reliable/seed20260723/epoch200_503b089d --output-dir results/20260724_care_myops_batch10_deadline_rescue --prefix screen_student_direct_reliable_seed20260723_epoch200_503b089d --cases Case1021,Case1029,Case1033,Case1045,Case1047,Case1053,Case1062,Case1073,Case1080,Case2007,Case2020,Case2033,Case3004,Case3011,Case3023,Case3038,Case3040,Case6001,Case7005,Case8015,Case8021,Case8023 --device cuda",cuda,200,1784859627,screen_student_direct_reliable_seed20260723_epoch200_503b089d,0,student_direct_reliable,20260723,60342779,1784859597
22,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch225.pt,514013f893e466c9e091ab9df20dd3d83bcad982189a8b3ce75254da2d3c8779,"/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/inference/run_care_mm_batch10_fair_inference.py --variant student_direct_reliable --seed 20260723 --checkpoint results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch225.pt --prediction-dir results/20260724_care_myops_batch10_deadline_rescue/runtime/checkpoint_screening/student_direct_reliable/seed20260723/epoch225_514013f8 --output-dir results/20260724_care_myops_batch10_deadline_rescue --prefix screen_student_direct_reliable_seed20260723_epoch225_514013f8 --cases Case1021,Case1029,Case1033,Case1045,Case1047,Case1053,Case1062,Case1073,Case1080,Case2007,Case2020,Case2033,Case3004,Case3011,Case3023,Case3038,Case3040,Case6001,Case7005,Case8015,Case8021,Case8023 --device cuda",cuda,225,1784859658,screen_student_direct_reliable_seed20260723_epoch225_514013f8,0,student_direct_reliable,20260723,60342779,1784859627
22,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch250.pt,60e819326d2d5b97974ae188c989d01cb1ee3a9204c659e782f2b22efa1bbcd5,"/users/a/e/aereinh/CARE/envs/env_CARE/bin/python /users/a/e/aereinh/CARE/scripts/inference/run_care_mm_batch10_fair_inference.py --variant student_direct_reliable --seed 20260723 --checkpoint results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch250.pt --prediction-dir results/20260724_care_myops_batch10_deadline_rescue/runtime/checkpoint_screening/student_direct_reliable/seed20260723/epoch250_60e81932 --output-dir results/20260724_care_myops_batch10_deadline_rescue --prefix screen_student_direct_reliable_seed20260723_epoch250_60e81932 --cases Case1021,Case1029,Case1033,Case1045,Case1047,Case1053,Case1062,Case1073,Case1080,Case2007,Case2020,Case2033,Case3004,Case3011,Case3023,Case3038,Case3040,Case6001,Case7005,Case8015,Case8021,Case8023 --device cuda",cuda,250,1784859688,screen_student_direct_reliable_seed20260723_epoch250_60e81932,0,student_direct_reliable,20260723,60342779,1784859658
