case_id,center,checkpoint_path,checkpoint_sha256,direction,modality_group,origin,prediction_path,prediction_sha256,seed,shape,source_prefix,spacing,variant
Case1002,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1002.nii.gz,2fb8d4d9fee9f2b81ff1925ac608a34df3fb77d68067bff6b7e882a192c2187d,20260723,"[9, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.3672000169754028, 1.3672000169754028, 10.0]",student_direct_reliable
Case1007,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1007.nii.gz,ae3edddc9d7789cf2d7cc8db5114a1d0063b9c746d575573520e86ce8d9eb353,20260723,"[24, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.3672000169754028, 1.3672000169754028, 4.0]",student_direct_reliable
Case1009,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1009.nii.gz,270696ed1a721b345f00952bc7bd1ca140e6182b23a04ec07832bff04bde64f1,20260723,"[16, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.3672000169754028, 1.3672000169754028, 5.0]",student_direct_reliable
Case1010,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1010.nii.gz,39906cca55a42c7abef1e72a8d2f2e1f8d57e047d5d0466a93e7011a455cd5a5,20260723,"[12, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.3672000169754028, 1.3672000169754028, 9.0]",student_direct_reliable
Case1021,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1021.nii.gz,4f20e9cc3a532034e9456afd625aeeec5e31e3aaa0b3962ffe9d530ded53e3f0,20260723,"[12, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.3672000169754028, 1.3672000169754028, 9.0]",student_direct_reliable
Case1023,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1023.nii.gz,6f5ebb7ec699c0d549a471ff57079c8892c921855adb54167420360b165c58a0,20260723,"[21, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.6405999660491943, 1.6405999660491943, 5.0]",student_direct_reliable
Case1029,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1029.nii.gz,47b52287e10d2979b7f40827178edbcf8465d20c352d0eff9ab736f702197515,20260723,"[19, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.3280999660491943, 1.3280999660491943, 5.0]",student_direct_reliable
Case1033,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1033.nii.gz,e14ad948700f310924e0ec7961088204f0465cf6138f7bce0fe5e63a6b898934,20260723,"[20, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.3280999660491943, 1.3280999660491943, 5.0]",student_direct_reliable
Case1040,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1040.nii.gz,b00a0130c882665fc436a4079bbb6df3cdccad0c26ea7637e0067c5ac460464d,20260723,"[12, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.3672000169754028, 1.3672000169754028, 8.5]",student_direct_reliable
Case1042,CenterA,results/20260723_care_myops_batch9_exposed_issues_repair/runtime/seed20260723/student_direct_reliable__official_aug_restart2/checkpoint_epoch125.pt,7fc1fcf4d1b1ee41f6238cc1eb3b2a4d3b8d252e92f374e91547035e85913e79,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",LGE-only,"[0.0, 0.0, 0.0]",results/20260724_care_myops_batch10_deadline_rescue/runtime/phase1/phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4/Case1042.nii.gz,196b742a932df78974ac6faa7f26d4b40568f123e25ef963381d50bd757bdea8,20260723,"[7, 256, 256]",phase1_student_direct_reliable_seed20260723_epoch125_7fc1fcf4,"[1.3672000169754028, 1.3672000169754028, 16.5]",student_direct_reliable
