timestamp_utc,phase,git_head,job_ids,job_states,decision,next_action
2026-07-19T18:52:09.977688+00:00,B1_RACE_SUBMITTED,b9c7664da7cb1f1892fff37a4497722f31a0a96d,"{""a100"": ""59546548"", ""htzhulab"": ""59546347""}",SUBMITTED,NEEDS_MONITOR,watch B1 race; cancel pending loser when a job starts
2026-07-19T18:52:10.185012+00:00,B1_RACE_PENDING,b9c7664da7cb1f1892fff37a4497722f31a0a96d,"{""a100"": ""59546548"", ""htzhulab"": ""59546347""}","{""a100"": {""job_id"": ""59546548"", ""partition"": ""a100-gpu"", ""reason"": ""(Priority)"", ""start_time"": ""2026-07-20T11:55:00"", ""state"": ""PENDING"", ""time"": ""0:00""}, ""htzhulab"": {""job_id"": ""59546347"", ""partition"": ""htzhulab"", ""reason"": ""(Resources)"", ""start_time"": ""2026-07-20T06:10:38"", ""state"": ""PENDING"", ""time"": ""0:00""}}",NEEDS_MONITOR,poll again
2026-07-19T18:55:32.915665+00:00,B1_RACE_SUBMITTED,b9c7664da7cb1f1892fff37a4497722f31a0a96d,"{""a100"": ""59548314"", ""htzhulab"": ""59548190""}",SUBMITTED,NEEDS_MONITOR,watch B1 race; cancel pending loser when a job starts
2026-07-19T18:55:32.952858+00:00,B1_RACE_PENDING,b9c7664da7cb1f1892fff37a4497722f31a0a96d,"{""a100"": ""59548314"", ""htzhulab"": ""59548190""}","{""a100"": {""job_id"": ""59548314"", ""partition"": ""a100-gpu"", ""reason"": ""(None)"", ""start_time"": ""N/A"", ""state"": ""PENDING"", ""time"": ""0:00""}, ""htzhulab"": {""job_id"": ""59548190"", ""partition"": ""htzhulab"", ""reason"": ""(Resources)"", ""start_time"": ""2026-07-20T06:10:38"", ""state"": ""PENDING"", ""time"": ""0:00""}}",NEEDS_MONITOR,poll again
2026-07-19T18:56:14.140607+00:00,B1_RACE_RETRY_AFTER_STARTUP_FAILURE,b9c7664da7cb1f1892fff37a4497722f31a0a96d,"{""cancelled_a100"": ""59546548"", ""failed_htzhulab"": ""59546347"", ""retry_a100"": ""59548314"", ""retry_htzhulab"": ""59548190""}","{""59546347"": ""FAILED ExitCode=2:0 elapsed=00:00:03 zero_credit"", ""59546548"": ""CANCELLED pending loser zero_credit""}",NEEDS_MONITOR,same-scope B1 retry watcher route_B_round04_B1_watch monitors 59548190 and 59548314
2026-07-19T18:58:12.309942+00:00,B1_VOLTA_FALLBACK_CHECK,b9c7664da7cb1f1892fff37a4497722f31a0a96d,"{""a100_retry1"": ""59548314"", ""htzhulab_retry1"": ""59548190"", ""volta_test_only"": ""59549594""}","{""volta_test_only"": ""start=2026-07-26T12:27:47; not submitted; worse than htzhulab/a100""}",NO_VOLTA_SUBMISSION,continue watching htzhulab+a100 B1 retry race
2026-07-19T18:59:32.504886+00:00,B1_RETRY_RACE_PENDING_REFRESH,b9c7664da7cb1f1892fff37a4497722f31a0a96d,"{""a100_retry1"": ""59548314"", ""htzhulab_retry1"": ""59548190""}","{""59546347"": ""FAILED ExitCode=2:0 zero_credit"", ""59546548"": ""CANCELLED pending loser zero_credit"", ""59548190"": ""PENDING htzhulab Resources start=2026-07-20T06:10:38"", ""59548314"": ""PENDING a100-gpu Priority start=2026-07-20T11:55:00""}",NEEDS_MONITOR,watcher remains active; cancel pending loser when a job starts; B2 blocked until B1 completion token
2026-07-19T19:00:32.991902+00:00,B1_RACE_PENDING,b9c7664da7cb1f1892fff37a4497722f31a0a96d,"{""a100"": ""59548314"", ""htzhulab"": ""59548190""}","{""a100"": {""job_id"": ""59548314"", ""partition"": ""a100-gpu"", ""reason"": ""(Priority)"", ""start_time"": ""2026-07-20T11:55:00"", ""state"": ""PENDING"", ""time"": ""0:00""}, ""htzhulab"": {""job_id"": ""59548190"", ""partition"": ""htzhulab"", ""reason"": ""(Resources)"", ""start_time"": ""2026-07-20T06:10:38"", ""state"": ""PENDING"", ""time"": ""0:00""}}",NEEDS_MONITOR,poll again
2026-07-19T19:03:34.847122+00:00,B2_SCAFFOLD_PREPARED_DEPENDENCY_SAFE,b9c7664da7cb1f1892fff37a4497722f31a0a96d,"{""a100_retry1"": ""59548314"", ""htzhulab_retry1"": ""59548190""}",B1 still pending; B2 not executed,NEEDS_MONITOR,run B2 only after B1 completion token; B2 prep/test passed dependency gate
2026-07-19T19:04:32.197583+00:00,B1_RACE_SUBMITTED,b9c7664da7cb1f1892fff37a4497722f31a0a96d,"{""a100"": ""59548314"", ""htzhulab"": ""59548190""}",SUBMITTED,NEEDS_MONITOR,watch B1 race; cancel pending loser when a job starts
