task_name,prompt_exists,result_dir_exists,required_outputs_present,controller_listed,status_claim,evidence_status,issue
20260704_srr_v25_visual_contract_lock,True,True,yes,True,EXECUTED_UNAUDITED,REQUIRED_OUTPUTS_PRESENT,none
20260704_srr_v25_anti_laziness_acceptance_tests,True,True,yes,True,EXECUTED_UNAUDITED,REQUIRED_OUTPUTS_PRESENT,none
20260704_srr_v25_gap_matrix_and_contract,True,True,yes,True,EXECUTED_UNAUDITED,REQUIRED_OUTPUTS_PRESENT,none
20260704_srr_v25_failure_analysis_overlay,True,True,yes,True,EXECUTED_UNAUDITED` / `HARD_SUBGROUP_AND_BOUNDED_MATRIX_OVERLAYS_VERIFIED_NEEDS_FULL_FOLD0_AND_AUDIT,REQUIRED_OUTPUTS_PRESENT,none
20260704_srr_v25_encoder_context_interface,True,True,yes,True,EXECUTED_UNAUDITED` / `BOUNDED_BASE4_OVERFIT_VERIFIED_NEEDS_FORMAL_ABLATION,REQUIRED_OUTPUTS_PRESENT,none
20260704_srr_v25_baseline_preserving_residual_gate,True,True,yes,True,EXECUTED_UNAUDITED,REQUIRED_OUTPUTS_PRESENT,none
20260704_srr_v25_anatomy_distance_roi_prior,True,True,yes,True,EXECUTED_UNAUDITED` / `NEEDS_FORMAL_ABLATION,REQUIRED_OUTPUTS_PRESENT,none
20260704_srr_v25_dictionary_semantic_retrieval,True,True,yes,True,EXECUTED_UNAUDITED` / `SEMANTIC_LOSS_AND_LOGGING_VERIFIED_NEEDS_FORMAL_DICTIONARY_ABLATION,REQUIRED_OUTPUTS_PRESENT,none
20260704_srr_v25_prototype_bank_cache,True,True,yes,True,EXECUTED_UNAUDITED` / `NEEDS_FORMAL_EVAL,REQUIRED_OUTPUTS_PRESENT,none
20260704_srr_v25_pathology_proposal_decoders,True,True,yes,True,EXECUTED_UNAUDITED` / `COMPONENT_PROPOSAL_LOSS_AND_ONE_CASE_PR_VERIFIED_NEEDS_FORMAL_ABLATION,REQUIRED_OUTPUTS_PRESENT,none
20260704_srr_v25_local_refinement_ablation,True,True,yes,True,EXECUTED_UNAUDITED` / `BOUNDED_CROP_VERIFIED_NEEDS_INPUT_ABLATION,REQUIRED_OUTPUTS_PRESENT,none
20260704_srr_v25_training_objectives_ablation,True,True,yes,True,EXECUTED_UNAUDITED` / `ACTIVE_OBJECTIVE_SWITCHES_VERIFIED_NEEDS_FORMAL_METRIC_ABLATION,REQUIRED_OUTPUTS_PRESENT,none
20260704_srr_v25_training_ablation_matrix,True,True,yes,True,EXECUTED_UNAUDITED` / `FULL_FOLD0_MATRIX_COMPLETE_NEEDS_FINAL_READONLY_AUDIT,REQUIRED_OUTPUTS_PRESENT,none
20260704_cine_full_cinema_registration,True,True,yes,True,EXECUTED_UNAUDITED` / `PASS_DIAGNOSTIC_WITH_REGISTRATION_GAP,REQUIRED_OUTPUTS_PRESENT,none
20260704_cine_temporal_dictionary_integration,True,False,no,False,EVIDENCE_NOT_FOUND,NOT_EXECUTED_LOCAL_RESULT_DIR_ABSENT,"result directory absent; if task was required, it was not executed locally and not committed; not listed in controller_report executor table"
20260704_srr_v25_completion_check,True,False,no,False,EVIDENCE_NOT_FOUND,NOT_EXECUTED_LOCAL_RESULT_DIR_ABSENT,"result directory absent; if task was required, it was not executed locally and not committed; not listed in controller_report executor table"
20260704_srr_v25_final_readonly_audit,True,True,yes,True,PROMOTE_DIAGNOSTIC_ONLY,REQUIRED_OUTPUTS_PRESENT,none
