variant,evidence_stage,rows,baseline_gate_mean,baseline_gate_min,baseline_gate_max,baseline_residual_abs_mean,baseline_preserve_gate_mean,baseline_preserve_voxels_mean,bounded_delta_mean,source_path,interpretation
closed_gate_identity_fallback,bounded_source_training_log,1,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/closed_gate_identity_fallback/training_log.csv,identity/control row did not record gate statistics
nnunet_context_identity,bounded_source_training_log,1,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/nnunet_context_identity/training_log.csv,identity/control row did not record gate statistics
srr_propref_no_proto_cascade,bounded_source_training_log_not_full_fold0_eval,5,0.01798621006309986,0.01798621006309986,0.01798621006309986,0.0718708410859108,0.10791725665330887,149674.0,EVIDENCE_NOT_FOUND,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/srr_propref_no_proto_cascade/training_log.csv,"training log records gate/residual for a one-row/short bounded run, not full fold0 eval runtime gate distribution"
srr_propref_scar_precision,bounded_source_training_log_not_full_fold0_eval,5,0.01798621006309986,0.01798621006309986,0.01798621006309986,0.0718705877661705,0.10791725665330887,149674.0,EVIDENCE_NOT_FOUND,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/srr_propref_scar_precision/training_log.csv,"training log records gate/residual for a one-row/short bounded run, not full fold0 eval runtime gate distribution"
srr_propref_shared_dual_dict,bounded_source_training_log_not_full_fold0_eval,5,0.01798621006309986,0.01798621006309986,0.01798621006309986,0.07187064737081528,0.10791725665330887,149674.0,EVIDENCE_NOT_FOUND,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/srr_propref_shared_dual_dict/training_log.csv,"training log records gate/residual for a one-row/short bounded run, not full fold0 eval runtime gate distribution"
srr_v25_no_anatomy_roi,bounded_source_training_log_not_full_fold0_eval,5,0.01798621006309986,0.01798621006309986,0.01798621006309986,0.0718715637922287,0.10791725665330887,149674.0,EVIDENCE_NOT_FOUND,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/srr_v25_no_anatomy_roi/training_log.csv,"training log records gate/residual for a one-row/short bounded run, not full fold0 eval runtime gate distribution"
srr_v25_no_anchor,bounded_source_training_log_not_full_fold0_eval,5,0.0,0.0,0.0,0.0,0.0,0.0,EVIDENCE_NOT_FOUND,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/srr_v25_no_anchor/training_log.csv,"training log records gate/residual for a one-row/short bounded run, not full fold0 eval runtime gate distribution"
srr_v25_no_local_refine,bounded_source_training_log_not_full_fold0_eval,5,0.01798621006309986,0.01798621006309986,0.01798621006309986,0.06514367461204529,0.10791725665330887,149674.0,EVIDENCE_NOT_FOUND,results/20260704_srr_v25_training_ablation_matrix/bounded_matrix/variants/srr_v25_no_local_refine/training_log.csv,"training log records gate/residual for a one-row/short bounded run, not full fold0 eval runtime gate distribution"
srr_propref_no_proto_cascade,full_fold0_eval_roi_coverage_residual_only,176,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,0.09137445834477892,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/variants/srr_propref_no_proto_cascade/roi_coverage_checkpoint_final_full_fold0.csv,"full fold0 has ROI residual_abs_mean proxy, but no gate open-rate or bounded_delta distribution"
srr_propref_scar_precision,full_fold0_eval_roi_coverage_residual_only,176,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,0.06600777313525957,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,results/20260704_srr_v25_training_ablation_matrix/full_fold0_eval/variants/srr_propref_scar_precision/roi_coverage_checkpoint_final_full_fold0.csv,"full fold0 has ROI residual_abs_mean proxy, but no gate open-rate or bounded_delta distribution"
