source_path,source_sha256,source_type,source_context,notes
prompts/tasks/20260731_care_metric_truth_reconciliation.md,944fa429074966117314e72343f50a8098f34ac499a109242a97afe70ebc6c96,task_prompt,frozen GPT Planner task contract,
prompts/tasks/20260731_care_parallel_next_steps.md,38e582dfb8c222c7c0fb6dc3000d938f24b2f60e4ed74130933d65d68df88173,task_prompt,parallel next-step overview,
prompts/AGENT_RULES.md,e1ee450ef26bc4b1cf4a125ea2a0461126f26aab6490dc7c10c41207a0eca097,rules,agent execution rules,
prompts/FINAL_OUTPUT_READABILITY_POLICY.md,1d1dd49a03f2bb9c22b20e17168125abd5c5a78d6c68d675f3052c03526e069b,rules,final readability policy,
prompts/AGENT_FLOW_V2_PROTOCOL.md,29b417ef95e5b54d046e9fafb6cede016d74e74c88426756546b507fb09a22a1,rules,controller-supervised role model,
prompts/routes/handoffs/CURRENT.md,5df001bf95d5b619ac536c274317cded89afe9e081ffc308366b55d3f77d015c,route_state,current PRISM route state,
wiki/README.md,f3d19e2b413d8acb37d380338871755010ee09857735987d1226d94df43f3b89,wiki,root architecture/current-state index,
results/20260729_care_prism_v2_backbone_repair_and_resume/evaluation/fold0_w3_inner_select_formal_v2/summary.json,3fe57b39b9ff0b6511dd603b24151e6dc039cf1bf730cf8a34de3671f00c384b,json,PRISM W3 inner selection summary,
results/20260729_care_prism_v2_backbone_repair_and_resume/evaluation/fold0_w3_outer_once_formal_v2/summary.json,8edf477bf23e468b7c6350a33eed2f13c978ca89358aa141b83e2ccea22b1422,json,PRISM W3 one-time outer summary,
results/20260729_care_prism_v2_backbone_repair_and_resume/evaluation/fold0_w3_outer_once_formal_v2/case_metrics.csv,c68f3ea212484b942aee55e41f5d3f054be475f8fe1006c171aade4109bab684,csv,PRISM W3 outer case metrics with nnU-Net comparator,
results/20260729_care_prism_v2_backbone_repair_and_resume/w3_training_summary.json,cbc03fbde1be76ab5fdae60d1a7cf2cdbd03cd42a27785f3f14325892929d425,json,PRISM W3 training summary,
results/20260729_care_prism_v2_backbone_repair_and_resume/w3_strict_validator_report.json,0ce86c06e0fabf4e2823055fc0955c7ff1c496db23c2ce96a4c8b846d245fa8c,json,PRISM W3 strict validator report,
results/20260729_care_prism_v2_backbone_repair_and_resume/controller_w3_return_packet.json,f74c7be28f6baa4671a67e613bceac6e0e5a08bf85c58b60edb592e6efa325c5,json,PRISM W3 controller return packet,
results/leaderboard/care2026_validation_submission_alignment_20260726.json,2062111eb103e6fbaabe0bfadc5dd8371f87ed306ac5f00826ded3e234595b03,json,local hosted leaderboard alignment ledger,
results/leaderboard/care2026_myocardium_latest.json,862c1e8bd5c940b06017607163f1cefdfb0da82971d0d1e2dffd065450aaaee0,json,latest cached CARE2026 leaderboard snapshot,
results/leaderboard/care2026_myocardium_myops_scar_latest.csv,fe098d0300a642fbf889a683402da06f3990db1a95cf02e7daa5d70edf4ac955,csv,cached hosted myops_scar leaderboard,
results/leaderboard/care2026_myocardium_myops_edema_latest.csv,4f79752df2bf13a27e4190dfbab615e9e42aaab6e38480671080b2f762a86fc7,csv,cached hosted myops_edema leaderboard,
results/leaderboard/care2026_myocardium_myocardium_cinemyops_latest.csv,1e731f43f579201a999bcbc060066bb29cc10ace6244575513b1ba84a6aa9a24,csv,cached hosted myocardium_cinemyops leaderboard,
results/20260726_care_mosaic_validation_gap_forensics_and_final_blueprint/submission_lineage_evidence.json,6ca1ac2594c07501c3472434da6795475914c6d5152e1258297730d170c8c173,json,MoSAIC hosted lineage evidence,
results/20260726_care_mosaic_validation_gap_forensics_and_final_blueprint/submission_lineage_ledger.csv,3ca8dca365387f4459feb366d0497e767edea4007301c967cfd848fd2824d607,csv,MoSAIC hosted lineage ledger,
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v4.pdf,637c82a82f4a76c72517a7a147794557a472a43fcdc93a6a76e5520c9141c9ec,pdf,PDF narrative artifact; not machine truth,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/DEEP_RESEARCH_MODEL_DESIGN_INPUT_20260730_v4.md,85b8b12081c44a2017432fa9f75d5fc69b29018eabf5c3878215b24f256c140a,markdown,Deep Research v4 input summary,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/standardized_casewise_metrics.csv,7a9f320e6cf20bc01bb7c86d24e522193f0ab0e2b788b20487dbf6f8a6a18ac1,csv,clean OOF casewise source,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/standardized_model_summary.csv,ca51896dc99cdefcf389620f149951024a4d23d2eb7297f069ca8d2fe7266672,csv,clean OOF aggregate source,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/v4_mosaic_m0_m10_casewise.csv,8f62b57c1ebb0a39cdec212c5c193cd2a514b6ceaed8d9adcb2de9d3ae44bd80,csv,MoSAIC recipe/probe casewise source,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/v4_mosaic_m0_m10_summary.csv,82e2a7e80c7c2930e2d8621312226e6d1be4f908ab05c1b5319fe2c63c759f17,csv,MoSAIC recipe/probe aggregate source,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/v4_mosaic_t2_present_case_manifest.csv,6e0a5b8bdbffdbf196e2d8943b135f7b3cf2c248cbafaa6a83083882e6ef615e,csv,canonical T2-present denominator source,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/v4_mosaic_recipe_population_audit.json,6c1de1d1e33de86d12f9b66b167180215d380f4d141addc75f2bf6711a34cbeb,json,MoSAIC population audit,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/mosaic_recipe_decomposition_receipt.json,b1a1e1e7b96b5bf72e191303ee5ab1b2ce1a95b9c5bc3aedc457def5f30634b7,json,MoSAIC recipe/weight binding receipt,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/mosaic_repo_weight_recipe_binding.json,47072258e50362e09533f8ad906308861c5eb2c3c1cab4e73293b0ec13360d0c,json,MoSAIC weight recipe binding,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_summary.csv,15abe058c8693eee8620ad533149181990f0403cc6c35404aa1e50c11eb617d2,csv,D0-D3 aggregate source,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_casewise.csv,f7de24e47aac88012b29bed8c05496fb7adcda7bf45269c703d116d874d95d1c,csv,D0-D3 casewise GT Dice source,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_prediction_manifest.csv,a26ad3e9c39baec3aa499c4d6550d10cf9126879961ad86789c5c740dffac083,csv,D0-D3 prediction manifest,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_aggregation_receipt.json,730a0a8d3f417d8132f1ad2909af1898508613771e37b47a6223e10f982b0e60,json,D0-D3 aggregation receipt,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_report.md,36c431f6a4e8d647e5d55af0c69ca50f097be02dce85ff72d975be749ada5c41,markdown,D0-D3 report; secondary narrative,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/decoder_reset_comparison.csv,77f4610e9c0ebf55bf31d9ff25d23f366d1cb0004ad99d1ab8fafa956ef407be,csv,D0 initial comparison source,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/d0_identity_replay_completion_receipt.json,43639f308492dc4361145470a7273356c954256096585c0f3656655cef0724fc,json,D0 replay completion receipt,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/label_semantics_contract.json,ccf8a0a8af7eb6b315bcc02beced26e903cd9cee52eccf3d47e96727323bbd3b,json,label semantics source,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/official_internal_label_mapping.csv,31b24d99ebaeab5b7b73da8e1faaee105165865761923c9279af5c42b4f7bd2a,csv,official/internal label mapping source,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/metric_cross_implementation_report.json,3486d35890d38dec41cb339ed27c69653bd3ef30b5f4bf3cd583cfe4b4d8bd31,json,metric implementation cross-check status,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/metric_semantics_validator_report.json,36aaad89b1744fb615c84a207ca58d2b1aaf4e066dbd04466988fcd60ff1ad2c,json,metric semantics validator status,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/v4_large_gain_bounds.csv,996f254c8594c0c0a4c6cb1c04e75cba6d68191b0f884ea2d1b2768a556e6d74,csv,large-gain bounds source,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/v4_feature_probe_fold_results.csv,b279e1e5638082f3a9c02a7d41baaebb710dbe35a4b27ef721d2ca458301fd2d,csv,feature-probe fold source,source lives in main worktree ignored results packet; read only
/users/a/e/aereinh/CARE/CARE Myocardium 下一代模型深度研究与设计裁决.md,41ab0c185f0fb26398bbcfcec2b0134d51ffdb478d4cf66b8a5334b49dd749ac,user_supplied_markdown,"late user-supplied Deep Research design draft; prose only, not machine truth",read only; not moved because current task write scope is metric reconciliation packet only
