score_contract_id,model_id,model_role,checkpoint_sha256,prediction_sha256,case_set_id,case_count,train_relation,population,pathology,label_semantics,metric,value,ci_if_available,threshold,decode,source_path,evidence_grade,allowed_comparison_group,forbidden_comparison_group
D0_INNER_SELECT_STOCK_GT_SCAR,nnUNet_fold0_decoder_reset_diagnostic,inner-select decoder-reset diagnostic,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,843cb86e970c8eeccf77680e315582bf6764a1ddd944838c575764e552b78190,fold0_inner_select_frozen_12,12,actual_train_count=164; frozen inner_select held out from fold0 checkpoint train split,fold0 frozen inner-select 12 cases; not clean OOF 220 and not hosted validation,scar,official scar; internal label 5,Dice against GT segmentation; nnU-Net v2 trainer/plans validation; classwise official label extraction,0.922379592,,argmax label map from nnU-Net validation,"nnU-Net v2 validation output, labels read directly",/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_summary.csv,SOURCE_BOUND_WITH_PREDICTION_MANIFEST,inner-select decoder-reset diagnostic only,D0 inner-select GT Dice vs clean OOF 220-case Dice; MoSAIC M2-M10 full-data train-on-case probe vs hosted validation; PRISM fold0 outer once vs future fold1 or validation selection; internal edema-zone vs official pure edema leaderboard; D0/D1/D2/D3 inner-select diagnostics vs hosted validation leaderboard; MoSAIC M2-M10 full-data train-on-case probe vs clean OOF held-out Dice; hosted hidden validation rows vs local clean OOF rows as if same denominator; official pure edema label 4 vs internal edema-zone labels 4 or 5
D0_INNER_SELECT_STOCK_GT_PURE_EDEMA,nnUNet_fold0_decoder_reset_diagnostic,inner-select decoder-reset diagnostic,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,843cb86e970c8eeccf77680e315582bf6764a1ddd944838c575764e552b78190,fold0_inner_select_frozen_12,12,actual_train_count=164; frozen inner_select held out from fold0 checkpoint train split,fold0 frozen inner-select 12 cases; not clean OOF 220 and not hosted validation; official pure edema semantics T2-present denominator where locally observable or evaluator-defined,official pure edema,official pure edema; internal label 4,Dice against GT segmentation; nnU-Net v2 trainer/plans validation; classwise official label extraction,0.923082832,,argmax label map from nnU-Net validation,"nnU-Net v2 validation output, labels read directly",/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_summary.csv,SOURCE_BOUND_WITH_PREDICTION_MANIFEST,inner-select decoder-reset diagnostic only,D0 inner-select GT Dice vs clean OOF 220-case Dice; MoSAIC M2-M10 full-data train-on-case probe vs hosted validation; PRISM fold0 outer once vs future fold1 or validation selection; internal edema-zone vs official pure edema leaderboard; D0/D1/D2/D3 inner-select diagnostics vs hosted validation leaderboard; MoSAIC M2-M10 full-data train-on-case probe vs clean OOF held-out Dice; hosted hidden validation rows vs local clean OOF rows as if same denominator; official pure edema label 4 vs internal edema-zone labels 4 or 5
D1_INNER_SELECT_DECODER_RESET_SCAR,nnUNet_fold0_decoder_reset_diagnostic,inner-select decoder-reset diagnostic,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,8f526c1b4d16556d53746433a659775a9ba0f2696f9f5d4bbe51601819a423cd,fold0_inner_select_frozen_12,12,actual_train_count=164; frozen inner_select held out from fold0 checkpoint train split,fold0 frozen inner-select 12 cases; not clean OOF 220 and not hosted validation,scar,official scar; internal label 5,Dice against GT segmentation; nnU-Net v2 trainer/plans validation; classwise official label extraction,0.546972404,,argmax label map from nnU-Net validation,"nnU-Net v2 validation output, labels read directly",/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_summary.csv,SOURCE_BOUND_WITH_PREDICTION_MANIFEST,inner-select decoder-reset diagnostic only,D0 inner-select GT Dice vs clean OOF 220-case Dice; MoSAIC M2-M10 full-data train-on-case probe vs hosted validation; PRISM fold0 outer once vs future fold1 or validation selection; internal edema-zone vs official pure edema leaderboard; D0/D1/D2/D3 inner-select diagnostics vs hosted validation leaderboard; MoSAIC M2-M10 full-data train-on-case probe vs clean OOF held-out Dice; hosted hidden validation rows vs local clean OOF rows as if same denominator; official pure edema label 4 vs internal edema-zone labels 4 or 5
D1_INNER_SELECT_DECODER_RESET_PURE_EDEMA,nnUNet_fold0_decoder_reset_diagnostic,inner-select decoder-reset diagnostic,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,8f526c1b4d16556d53746433a659775a9ba0f2696f9f5d4bbe51601819a423cd,fold0_inner_select_frozen_12,12,actual_train_count=164; frozen inner_select held out from fold0 checkpoint train split,fold0 frozen inner-select 12 cases; not clean OOF 220 and not hosted validation; official pure edema semantics T2-present denominator where locally observable or evaluator-defined,official pure edema,official pure edema; internal label 4,Dice against GT segmentation; nnU-Net v2 trainer/plans validation; classwise official label extraction,0.000000000,,argmax label map from nnU-Net validation,"nnU-Net v2 validation output, labels read directly",/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_summary.csv,SOURCE_BOUND_WITH_PREDICTION_MANIFEST,inner-select decoder-reset diagnostic only,D0 inner-select GT Dice vs clean OOF 220-case Dice; MoSAIC M2-M10 full-data train-on-case probe vs hosted validation; PRISM fold0 outer once vs future fold1 or validation selection; internal edema-zone vs official pure edema leaderboard; D0/D1/D2/D3 inner-select diagnostics vs hosted validation leaderboard; MoSAIC M2-M10 full-data train-on-case probe vs clean OOF held-out Dice; hosted hidden validation rows vs local clean OOF rows as if same denominator; official pure edema label 4 vs internal edema-zone labels 4 or 5
D2_INNER_SELECT_TOP_TRAIN_SCAR,nnUNet_fold0_decoder_reset_diagnostic,inner-select decoder-reset diagnostic,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,4bdc456035aca0d92a624031525ab19cfaedf4619677dc491255a9b194b3afc6,fold0_inner_select_frozen_12,12,actual_train_count=164; frozen inner_select held out from fold0 checkpoint train split,fold0 frozen inner-select 12 cases; not clean OOF 220 and not hosted validation,scar,official scar; internal label 5,Dice against GT segmentation; nnU-Net v2 trainer/plans validation; classwise official label extraction,0.710793253,,argmax label map from nnU-Net validation,"nnU-Net v2 validation output, labels read directly",/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_summary.csv,SOURCE_BOUND_WITH_PREDICTION_MANIFEST,inner-select decoder-reset diagnostic only,D0 inner-select GT Dice vs clean OOF 220-case Dice; MoSAIC M2-M10 full-data train-on-case probe vs hosted validation; PRISM fold0 outer once vs future fold1 or validation selection; internal edema-zone vs official pure edema leaderboard; D0/D1/D2/D3 inner-select diagnostics vs hosted validation leaderboard; MoSAIC M2-M10 full-data train-on-case probe vs clean OOF held-out Dice; hosted hidden validation rows vs local clean OOF rows as if same denominator; official pure edema label 4 vs internal edema-zone labels 4 or 5
D2_INNER_SELECT_TOP_TRAIN_PURE_EDEMA,nnUNet_fold0_decoder_reset_diagnostic,inner-select decoder-reset diagnostic,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,4bdc456035aca0d92a624031525ab19cfaedf4619677dc491255a9b194b3afc6,fold0_inner_select_frozen_12,12,actual_train_count=164; frozen inner_select held out from fold0 checkpoint train split,fold0 frozen inner-select 12 cases; not clean OOF 220 and not hosted validation; official pure edema semantics T2-present denominator where locally observable or evaluator-defined,official pure edema,official pure edema; internal label 4,Dice against GT segmentation; nnU-Net v2 trainer/plans validation; classwise official label extraction,0.266405051,,argmax label map from nnU-Net validation,"nnU-Net v2 validation output, labels read directly",/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_summary.csv,SOURCE_BOUND_WITH_PREDICTION_MANIFEST,inner-select decoder-reset diagnostic only,D0 inner-select GT Dice vs clean OOF 220-case Dice; MoSAIC M2-M10 full-data train-on-case probe vs hosted validation; PRISM fold0 outer once vs future fold1 or validation selection; internal edema-zone vs official pure edema leaderboard; D0/D1/D2/D3 inner-select diagnostics vs hosted validation leaderboard; MoSAIC M2-M10 full-data train-on-case probe vs clean OOF held-out Dice; hosted hidden validation rows vs local clean OOF rows as if same denominator; official pure edema label 4 vs internal edema-zone labels 4 or 5
D3_INNER_SELECT_FULL_SHORT_FT_SCAR,nnUNet_fold0_decoder_reset_diagnostic,inner-select decoder-reset diagnostic,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,7e8b15778ad94b9f119abff73b6df0dc6f93005bc13bb503f494a95a341d675c,fold0_inner_select_frozen_12,12,actual_train_count=164; frozen inner_select held out from fold0 checkpoint train split,fold0 frozen inner-select 12 cases; not clean OOF 220 and not hosted validation,scar,official scar; internal label 5,Dice against GT segmentation; nnU-Net v2 trainer/plans validation; classwise official label extraction,0.922683020,,argmax label map from nnU-Net validation,"nnU-Net v2 validation output, labels read directly",/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_summary.csv,SOURCE_BOUND_WITH_PREDICTION_MANIFEST,inner-select decoder-reset diagnostic only,D0 inner-select GT Dice vs clean OOF 220-case Dice; MoSAIC M2-M10 full-data train-on-case probe vs hosted validation; PRISM fold0 outer once vs future fold1 or validation selection; internal edema-zone vs official pure edema leaderboard; D0/D1/D2/D3 inner-select diagnostics vs hosted validation leaderboard; MoSAIC M2-M10 full-data train-on-case probe vs clean OOF held-out Dice; hosted hidden validation rows vs local clean OOF rows as if same denominator; official pure edema label 4 vs internal edema-zone labels 4 or 5
D3_INNER_SELECT_FULL_SHORT_FT_PURE_EDEMA,nnUNet_fold0_decoder_reset_diagnostic,inner-select decoder-reset diagnostic,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,7e8b15778ad94b9f119abff73b6df0dc6f93005bc13bb503f494a95a341d675c,fold0_inner_select_frozen_12,12,actual_train_count=164; frozen inner_select held out from fold0 checkpoint train split,fold0 frozen inner-select 12 cases; not clean OOF 220 and not hosted validation; official pure edema semantics T2-present denominator where locally observable or evaluator-defined,official pure edema,official pure edema; internal label 4,Dice against GT segmentation; nnU-Net v2 trainer/plans validation; classwise official label extraction,0.922549772,,argmax label map from nnU-Net validation,"nnU-Net v2 validation output, labels read directly",/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_summary.csv,SOURCE_BOUND_WITH_PREDICTION_MANIFEST,inner-select decoder-reset diagnostic only,D0 inner-select GT Dice vs clean OOF 220-case Dice; MoSAIC M2-M10 full-data train-on-case probe vs hosted validation; PRISM fold0 outer once vs future fold1 or validation selection; internal edema-zone vs official pure edema leaderboard; D0/D1/D2/D3 inner-select diagnostics vs hosted validation leaderboard; MoSAIC M2-M10 full-data train-on-case probe vs clean OOF held-out Dice; hosted hidden validation rows vs local clean OOF rows as if same denominator; official pure edema label 4 vs internal edema-zone labels 4 or 5
NNUNET_CLEAN_OOF_SCAR_220,nnUNet_5fold_clean_oof,clean held-out OOF comparator,4368c65065adce9cee2e939abd36f4b85fb0585d8293a3cd82cc6fb78f3b8414,ca51896dc99cdefcf389620f149951024a4d23d2eb7297f069ca8d2fe7266672,clean_oof_5fold_all_cases,220,held-out OOF; evaluated prediction not fitted on that case,clean OOF all 220 MyoPS training cases,scar,official scar; internal label 5,Mean Dice from standardized_casewise_metrics.csv grouped by standardized_model_summary.csv,0.5610470930146593,,fixed per source,fixed per source,/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/standardized_model_summary.csv,SOURCE_BOUND_CASEWISE_AGGREGATE,clean OOF local fair comparison group,D0 inner-select GT Dice vs clean OOF 220-case Dice; MoSAIC M2-M10 full-data train-on-case probe vs hosted validation; PRISM fold0 outer once vs future fold1 or validation selection; internal edema-zone vs official pure edema leaderboard; D0/D1/D2/D3 inner-select diagnostics vs hosted validation leaderboard; MoSAIC M2-M10 full-data train-on-case probe vs clean OOF held-out Dice; hosted hidden validation rows vs local clean OOF rows as if same denominator; official pure edema label 4 vs internal edema-zone labels 4 or 5
NNUNET_CLEAN_OOF_PURE_EDEMA_T2_80,nnUNet_5fold_clean_oof,clean held-out OOF comparator,9f57f89e965b47dd68ec86f316c59b0200c3032fb907297ec56656cb3176bc4f,ca51896dc99cdefcf389620f149951024a4d23d2eb7297f069ca8d2fe7266672,clean_oof_5fold_t2_present_80,80,held-out OOF; evaluated prediction not fitted on that case,clean OOF T2-present denominator 80 from canonical metadata,official pure edema,official pure edema; internal label 4,Mean Dice from standardized_casewise_metrics.csv grouped by standardized_model_summary.csv,0.43081230355478206,,fixed per source,fixed per source,/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/standardized_model_summary.csv,SOURCE_BOUND_CASEWISE_AGGREGATE,clean OOF local fair comparison group,D0 inner-select GT Dice vs clean OOF 220-case Dice; MoSAIC M2-M10 full-data train-on-case probe vs hosted validation; PRISM fold0 outer once vs future fold1 or validation selection; internal edema-zone vs official pure edema leaderboard; D0/D1/D2/D3 inner-select diagnostics vs hosted validation leaderboard; MoSAIC M2-M10 full-data train-on-case probe vs clean OOF held-out Dice; hosted hidden validation rows vs local clean OOF rows as if same denominator; official pure edema label 4 vs internal edema-zone labels 4 or 5
MOSAIC_CLEAN_OOF_SCAR_220,MoSAIC_clean_oof,clean held-out OOF comparator,cbf466d7a9c3565ec864902715c729d360eecc3ac29130f3f88dbcbceaa36efe,ca51896dc99cdefcf389620f149951024a4d23d2eb7297f069ca8d2fe7266672,clean_oof_5fold_all_cases,220,held-out OOF; evaluated prediction not fitted on that case,clean OOF all 220 MyoPS training cases,scar,official scar; internal label 5,Mean Dice from standardized_casewise_metrics.csv grouped by standardized_model_summary.csv,0.3781679456697728,,fixed per source,fixed per source,/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/standardized_model_summary.csv,SOURCE_BOUND_CASEWISE_AGGREGATE,clean OOF local fair comparison group,D0 inner-select GT Dice vs clean OOF 220-case Dice; MoSAIC M2-M10 full-data train-on-case probe vs hosted validation; PRISM fold0 outer once vs future fold1 or validation selection; internal edema-zone vs official pure edema leaderboard; D0/D1/D2/D3 inner-select diagnostics vs hosted validation leaderboard; MoSAIC M2-M10 full-data train-on-case probe vs clean OOF held-out Dice; hosted hidden validation rows vs local clean OOF rows as if same denominator; official pure edema label 4 vs internal edema-zone labels 4 or 5
MOSAIC_CLEAN_OOF_PURE_EDEMA_T2_80,MoSAIC_clean_oof,clean held-out OOF comparator,7c0c746de5749d96545a43d6042db0d3dc5a8c9661456a397c2cf842ee90967b,ca51896dc99cdefcf389620f149951024a4d23d2eb7297f069ca8d2fe7266672,clean_oof_5fold_t2_present_80,80,held-out OOF; evaluated prediction not fitted on that case,clean OOF T2-present denominator 80 from canonical metadata,official pure edema,official pure edema; internal label 4,Mean Dice from standardized_casewise_metrics.csv grouped by standardized_model_summary.csv,0.05275611807880284,,fixed per source,fixed per source,/users/a/e/aereinh/CARE/results/20260730_care_failure_forensics_deep_research_packet/standardized_model_summary.csv,SOURCE_BOUND_CASEWISE_AGGREGATE,clean OOF local fair comparison group,D0 inner-select GT Dice vs clean OOF 220-case Dice; MoSAIC M2-M10 full-data train-on-case probe vs hosted validation; PRISM fold0 outer once vs future fold1 or validation selection; internal edema-zone vs official pure edema leaderboard; D0/D1/D2/D3 inner-select diagnostics vs hosted validation leaderboard; MoSAIC M2-M10 full-data train-on-case probe vs clean OOF held-out Dice; hosted hidden validation rows vs local clean OOF rows as if same denominator; official pure edema label 4 vs internal edema-zone labels 4 or 5
