pathology,threshold,accepted,rejected,signed_net_utility,positive_accepted_utility,negative_accepted_utility,harmful_accepted_candidate_count,utility_regression_min,selection_uses_accept_logit_and_signed_regression_gate,eligible,checkpoint_step
scar,0.3,0,537,0.0,0.0,0.0,0,0.5,True,False,500
scar,0.4,0,537,0.0,0.0,0.0,0,0.5,True,False,500
scar,0.5,0,537,0.0,0.0,0.0,0,0.5,True,False,500
scar,0.6,0,537,0.0,0.0,0.0,0,0.5,True,False,500
scar,0.7,0,537,0.0,0.0,0.0,0,0.5,True,False,500
scar,0.3,0,537,0.0,0.0,0.0,0,0.75,True,False,500
scar,0.4,0,537,0.0,0.0,0.0,0,0.75,True,False,500
scar,0.5,0,537,0.0,0.0,0.0,0,0.75,True,False,500
scar,0.6,0,537,0.0,0.0,0.0,0,0.75,True,False,500
scar,0.7,0,537,0.0,0.0,0.0,0,0.75,True,False,500
scar,0.3,0,537,0.0,0.0,0.0,0,0.9,True,False,500
scar,0.4,0,537,0.0,0.0,0.0,0,0.9,True,False,500
scar,0.5,0,537,0.0,0.0,0.0,0,0.9,True,False,500
scar,0.6,0,537,0.0,0.0,0.0,0,0.9,True,False,500
scar,0.7,0,537,0.0,0.0,0.0,0,0.9,True,False,500
scar,0.3,0,537,0.0,0.0,0.0,0,0.95,True,False,500
scar,0.4,0,537,0.0,0.0,0.0,0,0.95,True,False,500
scar,0.5,0,537,0.0,0.0,0.0,0,0.95,True,False,500
scar,0.6,0,537,0.0,0.0,0.0,0,0.95,True,False,500
scar,0.7,0,537,0.0,0.0,0.0,0,0.95,True,False,500
scar,0.3,0,537,0.0,0.0,0.0,0,0.99,True,False,500
scar,0.4,0,537,0.0,0.0,0.0,0,0.99,True,False,500
scar,0.5,0,537,0.0,0.0,0.0,0,0.99,True,False,500
scar,0.6,0,537,0.0,0.0,0.0,0,0.99,True,False,500
scar,0.7,0,537,0.0,0.0,0.0,0,0.99,True,False,500
edema_zone,0.3,396,1369,186.9292655394775,238.6246578177207,-51.69539227824322,84,0.5,True,True,500
edema_zone,0.4,396,1369,186.9292655394775,238.6246578177207,-51.69539227824322,84,0.5,True,True,500
edema_zone,0.5,396,1369,186.9292655394775,238.6246578177207,-51.69539227824322,84,0.5,True,True,500
edema_zone,0.6,373,1392,189.5590996682003,233.7637945592625,-44.20469489106218,72,0.5,True,True,500
edema_zone,0.7,197,1568,123.16502207569312,139.76047153046778,-16.595449454774666,26,0.5,True,True,500
edema_zone,0.3,28,1737,-4.568387611360967,6.698326653749603,-11.266714265110569,16,0.75,True,False,500
edema_zone,0.4,28,1737,-4.568387611360967,6.698326653749603,-11.266714265110569,16,0.75,True,False,500
edema_zone,0.5,28,1737,-4.568387611360967,6.698326653749603,-11.266714265110569,16,0.75,True,False,500
edema_zone,0.6,26,1739,-3.7628943378183655,6.503819927292203,-10.26671426511057,15,0.75,True,False,500
edema_zone,0.7,13,1752,1.0993592256783344,4.5042595579042475,-3.4049003322259135,5,0.75,True,True,500
edema_zone,0.3,2,1763,-1.6676136363636362,0.0,-1.6676136363636362,2,0.9,True,False,500
edema_zone,0.4,2,1763,-1.6676136363636362,0.0,-1.6676136363636362,2,0.9,True,False,500
edema_zone,0.5,2,1763,-1.6676136363636362,0.0,-1.6676136363636362,2,0.9,True,False,500
edema_zone,0.6,1,1764,-0.6676136363636364,0.0,-0.6676136363636364,1,0.9,True,False,500
