phase,old_job_id,superseded_replacement_job_id,partition,preflight_job_id,preflight_state,replacement_job_id,replacement_state_at_packet,replacement_reason,preflight_command,preflight_exit_code,code_hash,config_hash,split_hash,submission_command,dependency_type,runtime_root,log_path,training_credit_policy
alignment_control,58644109,58700832,a100-gpu,58701102,CANCELLED_RACE_MIRROR,58701109,CANCELLED_RACE_MIRROR,three_partition_race_after_user_authorization_with_isolated_runtime,"sbatch --parsable --job-name=M10W2PreA100 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",CANCELLED_BEFORE_START,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701108 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_alignment_control.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,logs/M10Align_58701109_<timestamp>.log,zero_cancelled_mirror
d0_control,58644072,58700815,a100-gpu,58701102,CANCELLED_RACE_MIRROR,58701103,CANCELLED_RACE_MIRROR,three_partition_race_after_user_authorization_with_isolated_runtime,"sbatch --parsable --job-name=M10W2PreA100 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",CANCELLED_BEFORE_START,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701102 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_myops_d0_control.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,logs/M10D0MyoPS_58701103_<timestamp>.log,zero_cancelled_mirror
d1_spatial_br2,58644073,58700821,a100-gpu,58701102,CANCELLED_RACE_MIRROR,58701104,CANCELLED_RACE_MIRROR,three_partition_race_after_user_authorization_with_isolated_runtime,"sbatch --parsable --job-name=M10W2PreA100 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",CANCELLED_BEFORE_START,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701103 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_myops_d1_spatial_br2.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,logs/M10D1MyoPS_58701104_<timestamp>.log,zero_cancelled_mirror
d2_hierarchical_psip,58644074,58700822,a100-gpu,58701102,CANCELLED_RACE_MIRROR,58701105,CANCELLED_RACE_MIRROR,three_partition_race_after_user_authorization_with_isolated_runtime,"sbatch --parsable --job-name=M10W2PreA100 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",CANCELLED_BEFORE_START,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701104 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_myops_d2_hierarchical_psip.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,logs/M10D2MyoPS_58701105_<timestamp>.log,zero_cancelled_mirror
d3_full_propref,58644106,58700826,a100-gpu,58701102,CANCELLED_RACE_MIRROR,58701106,CANCELLED_RACE_MIRROR,three_partition_race_after_user_authorization_with_isolated_runtime,"sbatch --parsable --job-name=M10W2PreA100 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",CANCELLED_BEFORE_START,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701105 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_myops_d3_full_propref.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,logs/M10D3MyoPS_58701106_<timestamp>.log,zero_cancelled_mirror
hard_negative_refresh,58644107,58700827,a100-gpu,58701102,CANCELLED_RACE_MIRROR,58701107,CANCELLED_RACE_MIRROR,three_partition_race_after_user_authorization_with_isolated_runtime,"sbatch --parsable --job-name=M10W2PreA100 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",CANCELLED_BEFORE_START,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701106 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_hard_negative_refresh.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,logs/M10HardNeg_58701107_<timestamp>.log,zero_cancelled_mirror
no_context_control,58644108,58700828,a100-gpu,58701102,CANCELLED_RACE_MIRROR,58701108,CANCELLED_RACE_MIRROR,three_partition_race_after_user_authorization_with_isolated_runtime,"sbatch --parsable --job-name=M10W2PreA100 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",CANCELLED_BEFORE_START,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701107 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_no_context_control.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/a100-gpu,logs/M10NoCtx_58701108_<timestamp>.log,zero_cancelled_mirror
alignment_control,58644109,58700832,htzhulab,58701094,CANCELLED_RACE_MIRROR,58701101,CANCELLED_RACE_MIRROR,three_partition_race_after_user_authorization_with_isolated_runtime,"sbatch --parsable --job-name=M10W2PreHTZ --partition=htzhulab --qos=gpu_access --gres=gpu:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=htzhulab results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",CANCELLED_BEFORE_START,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701100 --partition=htzhulab --qos=gpu_access --gres=gpu:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/htzhulab,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=htzhulab jobs/src/run_srr_v3_m10_alignment_control.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/htzhulab,logs/M10Align_58701101_<timestamp>.log,zero_cancelled_mirror
d0_control,58644072,58700815,htzhulab,58701094,CANCELLED_RACE_MIRROR,58701095,CANCELLED_RACE_MIRROR,three_partition_race_after_user_authorization_with_isolated_runtime,"sbatch --parsable --job-name=M10W2PreHTZ --partition=htzhulab --qos=gpu_access --gres=gpu:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=htzhulab results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",CANCELLED_BEFORE_START,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701094 --partition=htzhulab --qos=gpu_access --gres=gpu:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/htzhulab,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=htzhulab jobs/src/run_srr_v3_m10_myops_d0_control.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/htzhulab,logs/M10D0MyoPS_58701095_<timestamp>.log,zero_cancelled_mirror
d1_spatial_br2,58644073,58700821,htzhulab,58701094,CANCELLED_RACE_MIRROR,58701096,CANCELLED_RACE_MIRROR,three_partition_race_after_user_authorization_with_isolated_runtime,"sbatch --parsable --job-name=M10W2PreHTZ --partition=htzhulab --qos=gpu_access --gres=gpu:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=htzhulab results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",CANCELLED_BEFORE_START,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701095 --partition=htzhulab --qos=gpu_access --gres=gpu:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/htzhulab,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=htzhulab jobs/src/run_srr_v3_m10_myops_d1_spatial_br2.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race/htzhulab,logs/M10D1MyoPS_58701096_<timestamp>.log,zero_cancelled_mirror
