phase,old_job_id,superseded_replacement_job_id,partition,preflight_job_id,preflight_state,replacement_job_id,replacement_state_at_packet,replacement_reason,preflight_command,preflight_exit_code,code_hash,config_hash,split_hash,submission_command,dependency_type,runtime_root,log_path,training_credit_policy
alignment_control,58644109,58701117,a100-gpu,58701203,PENDING,58701210,PENDING_DEPENDENCY,same_scope_retry_after_volta_cuda_kernel_hardware_incompatibility,"sbatch --parsable --job-name=M10W2PreA1002 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",PENDING,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701209 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_alignment_control.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10Align_58701210_<timestamp>.log,credit_only_if_terminal_runtime_evidence_and_selected_winner
d0_control,58644072,58701111,a100-gpu,58701203,PENDING,58701204,PENDING_DEPENDENCY,same_scope_retry_after_volta_cuda_kernel_hardware_incompatibility,"sbatch --parsable --job-name=M10W2PreA1002 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",PENDING,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701203 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_myops_d0_control.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10D0MyoPS_58701204_<timestamp>.log,credit_only_if_terminal_runtime_evidence_and_selected_winner
d1_spatial_br2,58644073,58701112,a100-gpu,58701203,PENDING,58701205,PENDING_DEPENDENCY,same_scope_retry_after_volta_cuda_kernel_hardware_incompatibility,"sbatch --parsable --job-name=M10W2PreA1002 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",PENDING,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701204 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_myops_d1_spatial_br2.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10D1MyoPS_58701205_<timestamp>.log,credit_only_if_terminal_runtime_evidence_and_selected_winner
d2_hierarchical_psip,58644074,58701113,a100-gpu,58701203,PENDING,58701206,PENDING_DEPENDENCY,same_scope_retry_after_volta_cuda_kernel_hardware_incompatibility,"sbatch --parsable --job-name=M10W2PreA1002 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",PENDING,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701205 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_myops_d2_hierarchical_psip.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10D2MyoPS_58701206_<timestamp>.log,credit_only_if_terminal_runtime_evidence_and_selected_winner
d3_full_propref,58644106,58701114,a100-gpu,58701203,PENDING,58701207,PENDING_DEPENDENCY,same_scope_retry_after_volta_cuda_kernel_hardware_incompatibility,"sbatch --parsable --job-name=M10W2PreA1002 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",PENDING,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701206 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_myops_d3_full_propref.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10D3MyoPS_58701207_<timestamp>.log,credit_only_if_terminal_runtime_evidence_and_selected_winner
hard_negative_refresh,58644107,58701115,a100-gpu,58701203,PENDING,58701208,PENDING_DEPENDENCY,same_scope_retry_after_volta_cuda_kernel_hardware_incompatibility,"sbatch --parsable --job-name=M10W2PreA1002 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",PENDING,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701207 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_hard_negative_refresh.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10HardNeg_58701208_<timestamp>.log,credit_only_if_terminal_runtime_evidence_and_selected_winner
no_context_control,58644108,58701116,a100-gpu,58701203,PENDING,58701209,PENDING_DEPENDENCY,same_scope_retry_after_volta_cuda_kernel_hardware_incompatibility,"sbatch --parsable --job-name=M10W2PreA1002 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=a100-gpu results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",PENDING,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701208 --partition=a100-gpu --qos=gpu_access --gres=gpu:nvidia_a100-pcie-40gb:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=a100-gpu jobs/src/run_srr_v3_m10_no_context_control.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10NoCtx_58701209_<timestamp>.log,credit_only_if_terminal_runtime_evidence_and_selected_winner
alignment_control,58644109,58701117,htzhulab,58701195,PENDING,58701202,PENDING_DEPENDENCY,same_scope_retry_after_volta_cuda_kernel_hardware_incompatibility,"sbatch --parsable --job-name=M10W2PreHTZ2 --partition=htzhulab --qos=gpu_access --gres=gpu:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=htzhulab results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",PENDING,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701201 --partition=htzhulab --qos=gpu_access --gres=gpu:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=htzhulab jobs/src/run_srr_v3_m10_alignment_control.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,logs/M10Align_58701202_<timestamp>.log,credit_only_if_terminal_runtime_evidence_and_selected_winner
d0_control,58644072,58701111,htzhulab,58701195,PENDING,58701196,PENDING_DEPENDENCY,same_scope_retry_after_volta_cuda_kernel_hardware_incompatibility,"sbatch --parsable --job-name=M10W2PreHTZ2 --partition=htzhulab --qos=gpu_access --gres=gpu:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=htzhulab results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",PENDING,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701195 --partition=htzhulab --qos=gpu_access --gres=gpu:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=htzhulab jobs/src/run_srr_v3_m10_myops_d0_control.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,logs/M10D0MyoPS_58701196_<timestamp>.log,credit_only_if_terminal_runtime_evidence_and_selected_winner
d1_spatial_br2,58644073,58701112,htzhulab,58701195,PENDING,58701197,PENDING_DEPENDENCY,same_scope_retry_after_volta_cuda_kernel_hardware_incompatibility,"sbatch --parsable --job-name=M10W2PreHTZ2 --partition=htzhulab --qos=gpu_access --gres=gpu:1 --ntasks=1 --cpus-per-task=2 --mem=8G --time=00:10:00 --export=ALL,M10_PREFLIGHT_RACE_PARTITION=htzhulab results/20260711_srr_v3_m10_complete_mechanism_repair/wave2_env_preflight.sh",PENDING,dea785502dc2aa2e44f9d9cc7ad5acdfae155fe94a20ccf8ab9444f15060520d,df42f9ee55a3ba6ac616a37b2455cb7bca67c5f751f0c5a31c4a18938b107a9b,8c2e94d5809cc53e6a3cb53a7fbf075bc7d130ca3e7151e7f7bdf5fa0426c8eb,"sbatch --parsable --dependency=afterok:58701196 --partition=htzhulab --qos=gpu_access --gres=gpu:1 --export=ALL,M10_RUNTIME_ROOT=results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,M10_DEFER_AGGREGATION=1,M10_RACE_PARTITION=htzhulab jobs/src/run_srr_v3_m10_myops_d1_spatial_br2.sh",afterok,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,logs/M10D1MyoPS_58701197_<timestamp>.log,credit_only_if_terminal_runtime_evidence_and_selected_winner
