partition,stage,job_id,dependency_type,dependency,runtime_root,log_path,training_credit,optimizer_steps_credit,train_loop_seconds_credit,replacement_reason
a100-gpu,preflight,58701203,none,,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10W2Preflight_a100-gpu_58701203_<timestamp>.log,0,0,0,user_authorized_three_partition_race_add_volta_same_m10_goal
a100-gpu,d0_control,58701204,afterok,afterok:58701203,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10D0MyoPS_58701204_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
a100-gpu,d1_spatial_br2,58701205,afterok,afterok:58701204,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10D1MyoPS_58701205_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
a100-gpu,d2_hierarchical_psip,58701206,afterok,afterok:58701205,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10D2MyoPS_58701206_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
a100-gpu,d3_full_propref,58701207,afterok,afterok:58701206,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10D3MyoPS_58701207_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
a100-gpu,hard_negative_refresh,58701208,afterok,afterok:58701207,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10HardNeg_58701208_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
a100-gpu,no_context_control,58701209,afterok,afterok:58701208,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10NoCtx_58701209_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
a100-gpu,alignment_control,58701210,afterok,afterok:58701209,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/a100-gpu,logs/M10Align_58701210_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
htzhulab,preflight,58701195,none,,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,logs/M10W2Preflight_htzhulab_58701195_<timestamp>.log,0,0,0,user_authorized_three_partition_race_add_volta_same_m10_goal
htzhulab,d0_control,58701196,afterok,afterok:58701195,results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry2/htzhulab,logs/M10D0MyoPS_58701196_<timestamp>.log,pending_terminal_accounting,pending_terminal_accounting,pending_terminal_accounting,user_authorized_three_partition_race_add_volta_same_m10_goal
