route_component,m7_status,required_m8_closure,closure_status,code_path,config_path,runtime_evidence_path,unit_test_or_validator_path,reviewer_repro_command,blocker_if_not_closed
availability-aware modality handling,diagnostic evidence only,runtime evidence from M8 long training or mature Cine attempt,NEEDS_EVIDENCE,scripts/training/run_srr_propref_myops_fold0.py; scripts/evaluation/run_srr_v3_m7_cine_registration_repair.py,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_variant_config_contract.json,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/,scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py,python scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py --packet results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint,M8_NEEDS_MONITOR_NO_REVIEW
semantic retrieval dictionary and prototypes,diagnostic evidence only,runtime evidence from M8 long training or mature Cine attempt,NEEDS_EVIDENCE,scripts/training/run_srr_propref_myops_fold0.py; scripts/evaluation/run_srr_v3_m7_cine_registration_repair.py,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_variant_config_contract.json,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/,scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py,python scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py --packet results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint,M8_NEEDS_MONITOR_NO_REVIEW
hard-negative memory,diagnostic evidence only,runtime evidence from M8 long training or mature Cine attempt,NEEDS_EVIDENCE,scripts/training/run_srr_propref_myops_fold0.py; scripts/evaluation/run_srr_v3_m7_cine_registration_repair.py,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_variant_config_contract.json,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/,scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py,python scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py --packet results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint,M8_NEEDS_MONITOR_NO_REVIEW
scar/edema proposal,diagnostic evidence only,runtime evidence from M8 long training or mature Cine attempt,NEEDS_EVIDENCE,scripts/training/run_srr_propref_myops_fold0.py; scripts/evaluation/run_srr_v3_m7_cine_registration_repair.py,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_variant_config_contract.json,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/,scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py,python scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py --packet results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint,M8_NEEDS_MONITOR_NO_REVIEW
anatomy distance/uncertainty gates,diagnostic evidence only,runtime evidence from M8 long training or mature Cine attempt,NEEDS_EVIDENCE,scripts/training/run_srr_propref_myops_fold0.py; scripts/evaluation/run_srr_v3_m7_cine_registration_repair.py,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_variant_config_contract.json,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/,scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py,python scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py --packet results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint,M8_NEEDS_MONITOR_NO_REVIEW
soft-ROI refinement,diagnostic evidence only,runtime evidence from M8 long training or mature Cine attempt,NEEDS_EVIDENCE,scripts/training/run_srr_propref_myops_fold0.py; scripts/evaluation/run_srr_v3_m7_cine_registration_repair.py,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_variant_config_contract.json,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/,scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py,python scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py --packet results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint,M8_NEEDS_MONITOR_NO_REVIEW
branch arbitration final-logit effect,diagnostic evidence only,runtime evidence from M8 long training or mature Cine attempt,NEEDS_EVIDENCE,scripts/training/run_srr_propref_myops_fold0.py; scripts/evaluation/run_srr_v3_m7_cine_registration_repair.py,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_variant_config_contract.json,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/,scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py,python scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py --packet results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint,M8_NEEDS_MONITOR_NO_REVIEW
baseline-preserving fallback,diagnostic evidence only,runtime evidence from M8 long training or mature Cine attempt,NEEDS_EVIDENCE,scripts/training/run_srr_propref_myops_fold0.py; scripts/evaluation/run_srr_v3_m7_cine_registration_repair.py,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_variant_config_contract.json,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/,scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py,python scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py --packet results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint,M8_NEEDS_MONITOR_NO_REVIEW
expanded loss objectives,diagnostic evidence only,runtime evidence from M8 long training or mature Cine attempt,NEEDS_EVIDENCE,scripts/training/run_srr_propref_myops_fold0.py; scripts/evaluation/run_srr_v3_m7_cine_registration_repair.py,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_variant_config_contract.json,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/,scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py,python scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py --packet results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint,M8_NEEDS_MONITOR_NO_REVIEW
per-case contribution export,diagnostic evidence only,runtime evidence from M8 long training or mature Cine attempt,NEEDS_EVIDENCE,scripts/training/run_srr_propref_myops_fold0.py; scripts/evaluation/run_srr_v3_m7_cine_registration_repair.py,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_variant_config_contract.json,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/,scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py,python scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py --packet results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint,M8_NEEDS_MONITOR_NO_REVIEW
no-T2 edema safety,diagnostic evidence only,runtime evidence from M8 long training or mature Cine attempt,NEEDS_EVIDENCE,scripts/training/run_srr_propref_myops_fold0.py; scripts/evaluation/run_srr_v3_m7_cine_registration_repair.py,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_variant_config_contract.json,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/,scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py,python scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py --packet results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint,M8_NEEDS_MONITOR_NO_REVIEW
same-split help/harm evaluator,diagnostic evidence only,runtime evidence from M8 long training or mature Cine attempt,NEEDS_EVIDENCE,scripts/training/run_srr_propref_myops_fold0.py; scripts/evaluation/run_srr_v3_m7_cine_registration_repair.py,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_variant_config_contract.json,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/,scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py,python scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py --packet results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint,M8_NEEDS_MONITOR_NO_REVIEW
Cine registration-aware temporal dictionary,diagnostic evidence only,runtime evidence from M8 long training or mature Cine attempt,NEEDS_EVIDENCE,scripts/training/run_srr_propref_myops_fold0.py; scripts/evaluation/run_srr_v3_m7_cine_registration_repair.py,/users/a/e/aereinh/CARE/results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_variant_config_contract.json,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/runtime/,scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py,python scripts/evaluation/validate_srr_v3_m8_leaderboard_sprint_packet.py --packet results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint,M8_NEEDS_MONITOR_NO_REVIEW
