candidate_id,candidate_type,metric_name,n,dice_mean,hd95_mean,component_count_mean,remote_fp_mean,same_split_nnunet_control_status,decision,reason
m8_full_srr_context_arbitration_longrun__checkpoint_best__argmax,trained_srr_variant_decode,myops_edema,12,1.0,0.0,0.0,0.0,anchor_delta_exported_per_case_not_full_candidate_control,NOT_SELECTED_FOR_PROMOTION,M8 overall blocked by Cine registration and final reviewer-grade metric/contribution audit.
m8_full_srr_context_arbitration_longrun__checkpoint_best__argmax,trained_srr_variant_decode,myops_scar,12,0.5271438600615608,14.645222728135428,6.5,0.3333333333333333,anchor_delta_exported_per_case_not_full_candidate_control,NOT_SELECTED_FOR_PROMOTION,M8 overall blocked by Cine registration and final reviewer-grade metric/contribution audit.
m8_full_srr_context_arbitration_longrun__checkpoint_best__pathology_aware,trained_srr_variant_decode,myops_edema,12,1.0,0.0,0.0,0.0,anchor_delta_exported_per_case_not_full_candidate_control,NOT_SELECTED_FOR_PROMOTION,M8 overall blocked by Cine registration and final reviewer-grade metric/contribution audit.
m8_full_srr_context_arbitration_longrun__checkpoint_best__pathology_aware,trained_srr_variant_decode,myops_scar,12,0.530516511390692,14.633213648176524,5.583333333333333,0.3333333333333333,anchor_delta_exported_per_case_not_full_candidate_control,NOT_SELECTED_FOR_PROMOTION,M8 overall blocked by Cine registration and final reviewer-grade metric/contribution audit.
m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,trained_srr_variant_decode,myops_edema,12,1.0,0.0,0.0,0.0,anchor_delta_exported_per_case_not_full_candidate_control,NOT_SELECTED_FOR_PROMOTION,M8 overall blocked by Cine registration and final reviewer-grade metric/contribution audit.
m8_scar_precision_edema_safe_longrun__checkpoint_best__argmax,trained_srr_variant_decode,myops_scar,12,0.5333490122682826,14.52868484647662,6.333333333333333,0.3333333333333333,anchor_delta_exported_per_case_not_full_candidate_control,NOT_SELECTED_FOR_PROMOTION,M8 overall blocked by Cine registration and final reviewer-grade metric/contribution audit.
m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,trained_srr_variant_decode,myops_edema,12,1.0,0.0,0.0,0.0,anchor_delta_exported_per_case_not_full_candidate_control,NOT_SELECTED_FOR_PROMOTION,M8 overall blocked by Cine registration and final reviewer-grade metric/contribution audit.
m8_scar_precision_edema_safe_longrun__checkpoint_best__pathology_aware,trained_srr_variant_decode,myops_scar,12,0.5382414476509874,14.381077131748953,5.75,0.5,anchor_delta_exported_per_case_not_full_candidate_control,NOT_SELECTED_FOR_PROMOTION,M8 overall blocked by Cine registration and final reviewer-grade metric/contribution audit.
m8_t2_centerC_edema_repair_longrun__checkpoint_best__argmax,trained_srr_variant_decode,myops_edema,12,1.0,0.0,0.0,0.0,anchor_delta_exported_per_case_not_full_candidate_control,NOT_SELECTED_FOR_PROMOTION,M8 overall blocked by Cine registration and final reviewer-grade metric/contribution audit.
m8_t2_centerC_edema_repair_longrun__checkpoint_best__argmax,trained_srr_variant_decode,myops_scar,12,0.5334873964279128,14.408764479612765,7.166666666666667,0.5833333333333334,anchor_delta_exported_per_case_not_full_candidate_control,NOT_SELECTED_FOR_PROMOTION,M8 overall blocked by Cine registration and final reviewer-grade metric/contribution audit.
m8_t2_centerC_edema_repair_longrun__checkpoint_best__pathology_aware,trained_srr_variant_decode,myops_edema,12,1.0,0.0,0.0,0.0,anchor_delta_exported_per_case_not_full_candidate_control,NOT_SELECTED_FOR_PROMOTION,M8 overall blocked by Cine registration and final reviewer-grade metric/contribution audit.
m8_t2_centerC_edema_repair_longrun__checkpoint_best__pathology_aware,trained_srr_variant_decode,myops_scar,12,0.5341988372484342,14.529217057316652,5.916666666666667,0.4166666666666667,anchor_delta_exported_per_case_not_full_candidate_control,NOT_SELECTED_FOR_PROMOTION,M8 overall blocked by Cine registration and final reviewer-grade metric/contribution audit.
A_nnunet_anchor_control,required_control,"myops_scar,myops_edema",EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,EVIDENCE_NOT_FOUND,NOT_ASSEMBLED_AS_LOCAL_CANDIDATE,BLOCKS_READY_REVIEW,M8 requires candidate assembly against same-split nnU-Net; current packet has per-case SRR-vs-anchor deltas but not a complete candidate-control assembly.
