component_id,branch,role,current_status,evidence_status,target_status,source_file,symbol,entrypoint,grep_key,config_keys,inputs,outputs,losses,final_output_effect,runtime_evidence,code_fingerprint_member,last_verified_milestone,review_token,notes
availability-no-t2,MyoPS,可用性与 no-T2 安全,partial,stale,implemented,wiki/history/M08/components/availability-no-t2.md,可用性与 no-T2 安全,历史分析,可用性与,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M08/ORIGINAL_ANALYSIS.md,a78de2a48f40,M08,M8_AUDITED_NO_PROMOTION_SCIENTIFIC_UNRESOLVED,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
retrieval-dictionary,MyoPS,检索字典与表示槽,partial,stale,implemented,wiki/history/M08/components/retrieval-dictionary.md,检索字典与表示槽,历史分析,检索字典与表示槽,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M08/ORIGINAL_ANALYSIS.md,a78de2a48f40,M08,M8_AUDITED_NO_PROMOTION_SCIENTIFIC_UNRESOLVED,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
prototype-memory,MyoPS,原型与负样本记忆,partial,stale,implemented,wiki/history/M08/components/prototype-memory.md,原型与负样本记忆,历史分析,原型与负样本记忆,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M08/ORIGINAL_ANALYSIS.md,a78de2a48f40,M08,M8_AUDITED_NO_PROMOTION_SCIENTIFIC_UNRESOLVED,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
anatomy-prior,MyoPS,解剖先验,partial,stale,implemented,wiki/history/M08/components/anatomy-prior.md,解剖先验,历史分析,解剖先验,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M08/ORIGINAL_ANALYSIS.md,a78de2a48f40,M08,M8_AUDITED_NO_PROMOTION_SCIENTIFIC_UNRESOLVED,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
proposal,MyoPS,病灶 proposal,partial,stale,implemented,wiki/history/M08/components/proposal.md,病灶 proposal,历史分析,病灶,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M08/ORIGINAL_ANALYSIS.md,a78de2a48f40,M08,M8_AUDITED_NO_PROMOTION_SCIENTIFIC_UNRESOLVED,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
refiner,MyoPS,soft-ROI refiner,partial,stale,implemented,wiki/history/M08/components/refiner.md,soft-ROI refiner,历史分析,soft-ROI,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M08/ORIGINAL_ANALYSIS.md,a78de2a48f40,M08,M8_AUDITED_NO_PROMOTION_SCIENTIFIC_UNRESOLVED,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
arbitration,MyoPS,分支仲裁与最终输出,partial,stale,implemented,wiki/history/M08/components/arbitration.md,分支仲裁与最终输出,历史分析,分支仲裁与最终输出,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M08/ORIGINAL_ANALYSIS.md,a78de2a48f40,M08,M8_AUDITED_NO_PROMOTION_SCIENTIFIC_UNRESOLVED,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
losses,MyoPS,loss 与优化目标,partial,stale,implemented,wiki/history/M08/components/losses.md,loss 与优化目标,历史分析,loss,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M08/ORIGINAL_ANALYSIS.md,a78de2a48f40,M08,M8_AUDITED_NO_PROMOTION_SCIENTIFIC_UNRESOLVED,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
checkpoint-selection,MyoPS,checkpoint 选择,partial,stale,implemented,wiki/history/M08/components/checkpoint-selection.md,checkpoint 选择,历史分析,checkpoint,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M08/ORIGINAL_ANALYSIS.md,a78de2a48f40,M08,M8_AUDITED_NO_PROMOTION_SCIENTIFIC_UNRESOLVED,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
cine-temporal,Cine,Cine temporal 分支,partial,stale,implemented,wiki/history/M08/components/cine-temporal.md,Cine temporal 分支,历史分析,Cine,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M08/ORIGINAL_ANALYSIS.md,a78de2a48f40,M08,M8_AUDITED_NO_PROMOTION_SCIENTIFIC_UNRESOLVED,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
training-evidence,MyoPS,训练证据与指标,partial,stale,implemented,wiki/history/M08/components/training-evidence.md,训练证据与指标,历史分析,训练证据与指标,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M08/ORIGINAL_ANALYSIS.md,a78de2a48f40,M08,M8_AUDITED_NO_PROMOTION_SCIENTIFIC_UNRESOLVED,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
