feature_source,task_id,probe_model,train_rows,eval_rows,train_cases,eval_cases,status,AUROC,AUPRC,balanced_accuracy,sensitivity,specificity,ECE
NNUNET_DECODER_L0,P1_scar_vs_normal_myocardium,logistic_regression,19,23,15,15,PASS,0.6969696969696969,0.8067785570645982,0.7272727272727273,0.45454545454545453,1.0,0.2772571135185697
NNUNET_DECODER_L0,P1_scar_vs_normal_myocardium,linear_svm,19,23,15,15,PASS,0.6742424242424244,0.7828000501913546,0.7272727272727273,0.45454545454545453,1.0,0.2079367204875463
NNUNET_DECODER_L0,P1_scar_vs_normal_myocardium,1x1_convolution,19,23,15,15,PASS,0.6893939393939393,0.7891373818147274,0.6856060606060606,0.45454545454545453,0.9166666666666666,0.2254442818786787
NNUNET_DECODER_L0,P2_nnunet_scar_FN_vs_true_negative,logistic_regression,15,15,13,13,PASS,0.3888888888888889,0.2936507936507936,0.625,0.3333333333333333,0.9166666666666666,0.09597535839066083
NNUNET_DECODER_L0,P2_nnunet_scar_FN_vs_true_negative,linear_svm,15,15,13,13,PASS,0.5,0.3214285714285714,0.5833333333333334,0.3333333333333333,0.8333333333333334,0.12715379327453563
NNUNET_DECODER_L0,P2_nnunet_scar_FN_vs_true_negative,1x1_convolution,15,15,13,13,PASS,0.47222222222222215,0.3074074074074074,0.5833333333333334,0.3333333333333333,0.8333333333333334,0.015579479932785023
NNUNET_DECODER_L0,P3_nnunet_scar_FP_vs_true_negative,logistic_regression,15,15,14,12,PASS,0.9166666666666666,0.6388888888888888,0.625,0.3333333333333333,0.9166666666666666,0.07226174875059946
NNUNET_DECODER_L0,P3_nnunet_scar_FP_vs_true_negative,linear_svm,15,15,14,12,PASS,0.7777777777777777,0.45833333333333326,0.7916666666666667,1.0,0.5833333333333334,0.27764496024637286
NNUNET_DECODER_L0,P3_nnunet_scar_FP_vs_true_negative,1x1_convolution,15,15,14,12,PASS,0.9027777777777778,0.5888888888888889,0.9166666666666667,1.0,0.8333333333333334,0.17988075613975524
NNUNET_DECODER_L0,P4_pure_edema_vs_normal_myocardium,logistic_regression,13,14,,,INSUFFICIENT_SPLIT_DATA,,,,,,
NNUNET_DECODER_L0,P4_pure_edema_vs_normal_myocardium,linear_svm,13,14,,,INSUFFICIENT_SPLIT_DATA,,,,,,
NNUNET_DECODER_L0,P4_pure_edema_vs_normal_myocardium,1x1_convolution,13,14,,,INSUFFICIENT_SPLIT_DATA,,,,,,
NNUNET_DECODER_L0,P5_nnunet_pure_edema_FN,logistic_regression,13,13,,,INSUFFICIENT_SPLIT_DATA,,,,,,
NNUNET_DECODER_L0,P5_nnunet_pure_edema_FN,linear_svm,13,13,,,INSUFFICIENT_SPLIT_DATA,,,,,,
NNUNET_DECODER_L0,P5_nnunet_pure_edema_FN,1x1_convolution,13,13,,,INSUFFICIENT_SPLIT_DATA,,,,,,
NNUNET_DECODER_L0,P6_nnunet_pure_edema_FP,logistic_regression,13,12,,,INSUFFICIENT_SPLIT_DATA,,,,,,
NNUNET_DECODER_L0,P6_nnunet_pure_edema_FP,linear_svm,13,12,,,INSUFFICIENT_SPLIT_DATA,,,,,,
NNUNET_DECODER_L0,P6_nnunet_pure_edema_FP,1x1_convolution,13,12,,,INSUFFICIENT_SPLIT_DATA,,,,,,
NNUNET_DECODER_L0,P7_small_scar_vs_normal_myocardium,logistic_regression,13,13,,,INSUFFICIENT_SPLIT_DATA,,,,,,
NNUNET_DECODER_L0,P7_small_scar_vs_normal_myocardium,linear_svm,13,13,,,INSUFFICIENT_SPLIT_DATA,,,,,,
NNUNET_DECODER_L0,P7_small_scar_vs_normal_myocardium,1x1_convolution,13,13,,,INSUFFICIENT_SPLIT_DATA,,,,,,
NNUNET_DECODER_L0,P8_boundary_scar_vs_non_scar_myocardium,logistic_regression,19,23,15,15,PASS,0.6969696969696969,0.8067785570645982,0.7272727272727273,0.45454545454545453,1.0,0.2772571135185697
NNUNET_DECODER_L0,P8_boundary_scar_vs_non_scar_myocardium,linear_svm,19,23,15,15,PASS,0.6742424242424244,0.7828000501913546,0.7272727272727273,0.45454545454545453,1.0,0.2079367204875463
NNUNET_DECODER_L0,P8_boundary_scar_vs_non_scar_myocardium,1x1_convolution,19,23,15,15,PASS,0.6893939393939393,0.7891373818147274,0.6856060606060606,0.45454545454545453,0.9166666666666666,0.2254442818786787
