model_id,path,size_bytes,sha256,hash_status,source_commit,code_fingerprint,config_path,config_sha256,split,train_cases,eval_cases,label_semantics,preprocess,decode_rule,metric_implementation,checkpoint_selection_rule,training_budget,status,evidence_quality
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset502_CARECineMyoPS/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,354608437,,LARGE_METADATA_ONLY,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset502_CARECineMyoPS/nnUNetTrainer__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,354266799,,LARGE_METADATA_ONLY,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset502_CARECineMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/checkpoint_final.pth,354383029,,LARGE_METADATA_ONLY,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset502_CARECineMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/checkpoint_best.pth,354382767,,LARGE_METADATA_ONLY,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset502_CARECineMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,354382965,,LARGE_METADATA_ONLY,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset502_CARECineMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_best.pth,354201839,,LARGE_METADATA_ONLY,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset502_CARECineMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_final.pth,354383093,,LARGE_METADATA_ONLY,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset502_CARECineMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/checkpoint_best.pth,354242031,,LARGE_METADATA_ONLY,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset502_CARECineMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_final.pth,354383349,,LARGE_METADATA_ONLY,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset502_CARECineMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/checkpoint_best.pth,354270127,,LARGE_METADATA_ONLY,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset502_CARECineMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/checkpoint_final.pth,354382965,,LARGE_METADATA_ONLY,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset502_CARECineMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/checkpoint_best.pth,354369135,,LARGE_METADATA_ONLY,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/nnUNet/2d/Task025_Cine_Seg/nnUNetTrainerV2__nnUNetPlansv2.1/fold_0/model_final_checkpoint.model.pkl,31579,ea87fb6002a766379c529eaf0c56107113e17861efefac4e7b54d81c0ea5cc0b,PREFIX_8192_BYTES,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
NNUNET,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/nnUNet/2d/Task025_Cine_Seg/nnUNetTrainerV2__nnUNetPlansv2.1/fold_0/model_final_checkpoint.model,235538772,,LARGE_METADATA_ONLY,,UNBOUND_RECIPE,,,,,,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,UNBOUND,LOCAL_FILE_PRESENT,PARTIALLY_BOUND_BY_PATH
