source_model,component,original_goal,implemented_faithfully,entered_final_output,received_direct_loss,training_adequate,casewise_signal,help_harm_signal,failure_mode,evidence_for,evidence_against,prerequisites_for_future_use,risk_of_repeating_failure,future_status
Batch7,availability-aware evidence,retain evidence hygiene,true,partly,partly,limited,some,mixed,implementation complexity,source/results bound,no stable gain,separate from router,medium,RETAIN_AS_DATA_OR_SUPERVISION_RULE
Batch7,pathology-specific retrieval,candidate evidence,partly,partly,partly,limited,weak,mixed,not deployable,Batch7 assets,scar harm,simple candidate-only use,high,RETAIN_AS_OPTIONAL_MECHANISM_TO_RETEST
Batch7,negative-space,reduce FP,partly,unclear,partly,limited,unproven,unproven,not independently validated,plans/code,no isolated gain,new ablation required,high,RETAIN_AS_OPTIONAL_MECHANISM_TO_RETEST
Batch7,complex router/SIP,route pathology correction,partly,yes,yes,limited,harmful,harmful,scar degradation,route packets,no stable gain,avoid current implementation,high,DO_NOT_REUSE_CURRENT_IMPLEMENTATION
MMRD,reliable-label supervision,avoid invalid edema labels,true,data rule,no,bound as rule,supportive,supportive,not model-gain alone,config/source,no terminal direct gain,use as hygiene,low,RETAIN_AS_DATA_OR_SUPERVISION_RULE
MMRD,no-T2 edema hygiene,prevent impossible edema FP,true,data rule,no,bound as rule,supportive,supportive,not model-gain alone,receipts/source,not standalone model evidence,mandatory rule,low,RETAIN_AS_DATA_OR_SUPERVISION_RULE
MMRD,simple residual pathology head,cheap correction,partly,yes,yes,unclear,weak,weak,underpowered head,source,missing terminal metrics,requires stronger decoder,high,DO_NOT_REUSE_CURRENT_IMPLEMENTATION
Cascade,strong baseline fallback,avoid harming nnU-Net,true,yes,indirect,yes,protective,protective,gain near zero,casewise metrics,little improvement,keep as safety gate,low,RETAIN_WITH_STRONG_EVIDENCE
Cascade,bounded correction,small safe edits,true,yes,yes,yes,small,small,ceiling too low,teacher_student_delta,delta near zero,use only with stronger candidates,medium,RETAIN_AS_OPTIONAL_MECHANISM_TO_RETEST
Cascade,prototype input,retrieve lesion context,confounded,unclear,unclear,no,unresolved,unresolved,control shared inputs,audit notes,invalid prototype-null conclusion,new clean control required,high,UNRESOLVED
ARC,direct reconstruction,avoid anchor-only correction,true,yes,yes,short,mixed,mixed,decoder/final-mask mismatch,ARC casewise,insufficient gain,"retain parity test, redesign model",medium,RETAIN_AS_OPTIONAL_MECHANISM_TO_RETEST
ARC,decoder reset,new decoder over anchor,true,yes,yes,short,harmful,harmful,random decoder loses strong baseline,D0-D3,large drop,do not reset decoder blindly,high,DO_NOT_REUSE_CURRENT_IDEA
DG/DR/DPR,pathology-specific arbitration,separate scar/edema decisions,partly,partly,partly,partial,unresolved,unresolved,stopped/partial gates,controller packets,not terminal,reuse audit discipline only,medium,RETAIN_AS_OPTIONAL_MECHANISM_TO_RETEST
PRISM,private pyramids/routing,separate pathology features,true,yes,yes,yes,weak,weak,decoder/training schedule loss,checkpoint replay,far below anchor,requires full decoder inheritance,high,DO_NOT_REUSE_CURRENT_IMPLEMENTATION
PRISM,stage schedule,progressive training,true,yes,yes,yes,declines late,declines late,selected checkpoint not best for V2 edema-zone,curve,late degradation,audit before reuse,medium,RETAIN_AS_OPTIONAL_MECHANISM_TO_RETEST
