case_id,path,width,height,pixel_std,bbox_within_page,caption_within_page,no_crop_detected,font_readability,status
Case3010,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case3010_v3_atlas.png,2182,1595,108.55093202096914,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case3036,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case3036_v3_atlas.png,2182,1595,111.06168603854721,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2019,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2019_v3_atlas.png,2182,1595,65.79908294045268,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case3012,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case3012_v3_atlas.png,2182,1595,109.60331902864273,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2034,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2034_v3_atlas.png,2098,1595,81.03460177408957,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2025,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2025_v3_atlas.png,2155,1595,87.13739618326164,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2009,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2009_v3_atlas.png,2185,1595,70.68597167230014,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2010,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2010_v3_atlas.png,2174,1595,70.37807648266084,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case3017,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case3017_v3_atlas.png,2182,1595,108.01032994020964,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
Case2026,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/Case2026_v3_atlas.png,2213,1595,78.00588992949749,True,True,True,PASS_BY_STABLE_3x4_LAYOUT,PASS
