task_id,category,required,status,terminal_status,evidence_path,notes
G3_REAL_NNUNET_DECODER_RESET,gpu_diagnostic,true,COMPLETED_WITH_VALID_EVIDENCE,true,results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_summary.csv,"Completed variants: D0_FULL_PRETRAINED_IDENTITY,D1_DECODER_RESET_ENCODER_FROZEN,D2_DECODER_RESET_TOP_ENCODER_TRAINABLE,D3_FULL_MODEL_SHORT_FINETUNE; PRISM wrapper residue not counted."
G1_NNUNET_IDENTITY_REPRODUCTION,gpu_diagnostic,true,COMPLETED_WITH_VALID_EVIDENCE,true,results/20260730_care_failure_forensics_deep_research_packet/nnunet_decoder_reset_real_summary.csv,D0 full pretrained identity replay on 12 inner_select cases.
G2_PRISM_13_CHECKPOINT_REPLAY,gpu_diagnostic,true,COMPLETED_WITH_VALID_EVIDENCE,true,results/20260730_care_failure_forensics_deep_research_packet/prism_checkpoint_replay_receipt.json,13 W3 checkpoints replayed; P1-P11 downstream audits generated as prism_*.csv/md with explicit missing-intermediate boundaries.
G4_MOSAIC_RECIPE_DECOMPOSITION,gpu_diagnostic,true,COMPLETED_WITH_VALID_EVIDENCE,true,results/20260730_care_failure_forensics_deep_research_packet/mosaic_recipe_decomposition_summary.csv,M0/M1 clean OOF plus M2-M10 full-data GPU recipe waterfall; full-data rows explicitly not fair validation.
G5_FROZEN_FEATURE_PROBES,gpu_diagnostic,true,BLOCKED_BY_MISSING_BOUND_ASSET,true,results/20260730_care_failure_forensics_deep_research_packet/feature_probe_summary.csv,MoSAIC component features and raw controls bound; nnU-Net/PRISM frozen activation assets missing.
G6_MODEL_COMPLEMENTARITY,gpu_diagnostic,true,COMPLETED_WITH_VALID_EVIDENCE,true,results/20260730_care_failure_forensics_deep_research_packet/case_oracle_summary.csv,220-case clean OOF nnU-Net vs MoSAIC case/voxel oracle and FN/FP overlap.
G7_SELECTOR_FEASIBILITY,gpu_diagnostic,true,COMPLETED_WITH_VALID_EVIDENCE,true,results/20260730_care_failure_forensics_deep_research_packet/selector_nested_cv_results.csv,Logistic regression and shallow gradient boosting depth<=3 over prediction morphology/agreement features.
G8_ALIGNMENT_DIAGNOSTICS,gpu_diagnostic,true,COMPLETED_WITH_VALID_EVIDENCE,true,results/20260730_care_failure_forensics_deep_research_packet/alignment_error_correlation.csv,Bound 20260703 complete-case LGE-C0/LGE-T2 alignment gate; evidence does not support alignment as primary bottleneck.
G9_CINE_ED_ONLY_VS_TEMPORAL_PROBE,gpu_diagnostic,true,COMPLETED_WITH_VALID_EVIDENCE,true,results/20260730_care_failure_forensics_deep_research_packet/cine_temporal_signal_probe.csv,Bound 20260626 safe-subset ED/reference vs temporal probe; temporal did not beat reference control on local proxies.
G10_HISTORICAL_MODEL_REPLAY_BINDING,gpu_diagnostic,true,COMPLETED_WITH_VALID_EVIDENCE,true,historical_replay_binding_receipt.json,Bound historical source/checkpoint/prediction/metric artifacts; exact missing assets are separately marked in model inventories.
