model_id,pathology,mean,median,standard_deviation,bootstrap_95ci,case_count,GT_positive_count,empty_count,help_count,harm_count,tie_count,status
NNUNET,official_scar,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
NNUNET,official_pure_edema,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
NNUNET,internal_edema_zone,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
MOSAIC_CLEAN,official_scar,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
MOSAIC_CLEAN,official_pure_edema,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
MOSAIC_CLEAN,internal_edema_zone,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
MOSAIC_FULL_DATA,official_scar,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
MOSAIC_FULL_DATA,official_pure_edema,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
MOSAIC_FULL_DATA,internal_edema_zone,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
CARE_PRISM_V2,official_scar,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
CARE_PRISM_V2,official_pure_edema,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
CARE_PRISM_V2,internal_edema_zone,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
CARE_ARC,official_scar,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
CARE_ARC,official_pure_edema,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
CARE_ARC,internal_edema_zone,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
DPR,official_scar,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
DPR,official_pure_edema,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
DPR,internal_edema_zone,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
SRR_CASCADE,official_scar,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
SRR_CASCADE,official_pure_edema,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
SRR_CASCADE,internal_edema_zone,,,,,,,,,,,REQUIRES_STANDARDIZED_REAGGREGATION
