case_id,split,artifact,path,exists,sha256,prior_source,teacher_source_fold
Case1001,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1001.nii.gz,True,532da11dc10cdc7b703be9af1cf8ce723587f1a711746f1300dd3acc95e51100,nnunet_oof5_validation_teacher,1
Case1001,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1001.npz,True,468bdd4e8bee3f49a12992c5c2f27b5e7578c13343b9c20b9174fbed394d417e,nnunet_oof5_validation_teacher,1
Case1003,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1003.nii.gz,True,7c6f6c3057af186137c0f7a4baddf4b708053779779cc129c942f18ac07a093a,nnunet_oof5_validation_teacher,1
Case1003,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1003.npz,True,2e578eff44eb4db07b1c6aad926424f855543b1567a767196205867cb064c1ef,nnunet_oof5_validation_teacher,1
Case1004,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1004.nii.gz,True,def4d691e0a8a3bc5a830e49d28696cf24fe11e3b3778687e1cb79162fc6f1a6,nnunet_oof5_validation_teacher,1
Case1004,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1004.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,1
Case1005,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1005.nii.gz,True,ecfbb7070297f384d2523a881abc13ba3104d2fa662beed24c07ee7291c9e35d,nnunet_oof5_validation_teacher,1
Case1005,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1005.npz,True,b5e0dbcf0f3edc8aea350fa81dfd2a49dacb30ba1eec5376a95fa4cb47af1070,nnunet_oof5_validation_teacher,1
Case1006,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1006.nii.gz,True,35a9e27fb8b3c06ac073c9b3f668d77a370b3e40c0c73f312a9c63cf7879f69e,nnunet_oof5_validation_teacher,1
Case1006,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_1/validation/Case1006.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,1
Case1008,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1008.nii.gz,True,0687b99133fd25a6865afc32482a690f1ec095a8b4bbac9cf879234ab6c745a4,nnunet_oof5_validation_teacher,4
Case1008,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1008.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,4
Case1011,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1011.nii.gz,True,3c9c30bb7514189c1ef38554e16f5b784d5b1b9789ed995616481d9658e73d65,nnunet_oof5_validation_teacher,3
Case1011,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1011.npz,True,b84d5a5718a4fa4dc7b69863bfc38ad6961e696e3a93a33972a5a9adbc49044f,nnunet_oof5_validation_teacher,3
Case1012,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1012.nii.gz,True,45a3248b6d4c14a240659e0ed5d2a381bf968c34753aeaa2ee30e565c9336bc1,nnunet_oof5_validation_teacher,2
Case1012,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1012.npz,True,b46b9268d64e36def58d5894665d2e413084bcb0b194b794c70e4ebf32257594,nnunet_oof5_validation_teacher,2
Case1013,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1013.nii.gz,True,b7ec6531ed5d791be45f5f6a081026603cf29a98e5e8a8a85d60968657ec973b,nnunet_oof5_validation_teacher,4
Case1013,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1013.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,4
Case1014,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1014.nii.gz,True,e60c60efb8c736264b95643ecbd2b50379c5cee2ffdf40f419a7bc1062db353b,nnunet_oof5_validation_teacher,2
Case1014,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1014.npz,True,c1d3ef30860958520a67365c359528e7d74b2e1f7dc36798103552c3e5655b66,nnunet_oof5_validation_teacher,2
Case1015,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1015.nii.gz,True,441515e624a482032a635c61d9e23208699a33783759debd0017ecd783744a9c,nnunet_oof5_validation_teacher,4
Case1015,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1015.npz,True,e92280fd3473257be0eb45d8d16a0976d6a41b52ae976b7e26fe3bb04d7efc5a,nnunet_oof5_validation_teacher,4
Case1016,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1016.nii.gz,True,48f7fd75bee9c45b0cae3c773040433b3bb21c037ee9dcd6e75dba725e1cf868,nnunet_oof5_validation_teacher,2
Case1016,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_2/validation/Case1016.npz,True,SKIPPED_LARGE_FILE_HASH_USE_SOURCE_MANIFEST,nnunet_oof5_validation_teacher,2
Case1017,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1017.nii.gz,True,6d38f973360b1a1f283ac884875d60f3783215d56d617debbaa99bbd28989414,nnunet_oof5_validation_teacher,4
Case1017,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_4/validation/Case1017.npz,True,50cd07d040e3a95ccee482ee2744102e67b71030db1884b4f939c650c455c6e3,nnunet_oof5_validation_teacher,4
Case1018,train,teacher_mask_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1018.nii.gz,True,23476544e744ae43d2cf6f473557924c78f3b250bccf2b02accfc1b9d3a51b09,nnunet_oof5_validation_teacher,3
Case1018,train,teacher_softmax_path,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_3/validation/Case1018.npz,True,5673ad12764871ff0be07d2b6d06c9ea10184365b269cdab7c593b82381ca256,nnunet_oof5_validation_teacher,3
