model_id,metric_status,evidence_grade
NNUNET,REQUIRES_STANDARDIZED_REAGGREGATION,A_VERIFIED_FAIR_FINAL_MASK
SRR_V2,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
SRR_V25,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
SRR_V3,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
BATCH0,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
BATCH1,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
BATCH2,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
BATCH3,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
BATCH4,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
BATCH5,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
BATCH6,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
BATCH7,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
MMRD,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
SRR_CASCADE,REQUIRES_STANDARDIZED_REAGGREGATION,B_VERIFIED_DIAGNOSTIC
CARE_ARC,REQUIRES_STANDARDIZED_REAGGREGATION,B_VERIFIED_DIAGNOSTIC
CARE_DG,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
CARE_DR,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
DPR,REQUIRES_STANDARDIZED_REAGGREGATION,B_VERIFIED_DIAGNOSTIC
CARE_PRISM_V1,REQUIRES_STANDARDIZED_REAGGREGATION,D_UNDERTRAINED
CARE_PRISM_V2,REQUIRES_STANDARDIZED_REAGGREGATION,D_UNDERTRAINED
MOSAIC_CLEAN,REQUIRES_STANDARDIZED_REAGGREGATION,B_VERIFIED_DIAGNOSTIC
MOSAIC_FULL_DATA,REQUIRES_STANDARDIZED_REAGGREGATION,B_VERIFIED_DIAGNOSTIC
MOSAIC_HOSTED_RECIPE,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
CINE_BASELINES,REQUIRES_STANDARDIZED_REAGGREGATION,E_STALE_OR_INCONSISTENT
MOSAIC_CINE,REQUIRES_STANDARDIZED_REAGGREGATION,B_VERIFIED_DIAGNOSTIC
