claim_id,claim_text,pdf_page,section,source_path,source_sha256,source_row_or_key,calculation_script,calculation_script_sha256,reproducible,confidence,notes
E-DATA-001,本包读取 Dataset501 labelsTr 的病例清单并统计标签体积。,,2,data_case_manifest.csv,d0eedda7d8f851dbfe3c1c5e6d35be1ed271b9fe67b670cea4703ece8676a8b1,all,build_forensic_packet.py,62e8c1e77d0f86d4bedbdf7d03103d4af803c69e580d0b811c01be93d9b06e6d,True,MODERATE,geometry round-trip incomplete
E-METRIC-001,"reference metric known-bad fixtures pass for remote FP, spacing HD95, empty cases and lesion recall.",,3,reference_metric_known_bad_report.json,5a1842bb26a064dadbd1a61ef1d5235a26e789525bf4b3c3faeb61b91ad9b6c2,status,reference_metrics.py,e53b2e972c16519008b1e579343a7fbfb05d41b3c71f9f93ab094d42955c515e,True,HIGH,synthetic fixtures only
E-MOSAIC-001,full-data MoSAIC evidence cannot be used as clean fold0 comparison.,,12,mosaic_ablation_contract.json,9efe9c75520742610f0fcccf84b984dd2407846c1511cec4203cdd810ccbcfe7,full_data_not_clean_comparison,build_forensic_packet.py,62e8c1e77d0f86d4bedbdf7d03103d4af803c69e580d0b811c01be93d9b06e6d,True,HIGH,contract boundary
E-PRISM-001,PRISM decoder-reset explanation remains unresolved until D0-D3 terminal diagnostics complete.,,20,decoder_reset_diagnostic_report.md,d5c97871a305188ba90e942dd26ebf05eb544eaaaf05cef0ee7018e7dde7fa24,all,build_forensic_packet.py,62e8c1e77d0f86d4bedbdf7d03103d4af803c69e580d0b811c01be93d9b06e6d,True,LOW,diagnostics not run
E-GAP-005,Required diagnostic evidence item 5 remains incomplete and is not used as a performance claim.,,5,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-006,Required diagnostic evidence item 6 remains incomplete and is not used as a performance claim.,,6,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-007,Required diagnostic evidence item 7 remains incomplete and is not used as a performance claim.,,7,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-008,Required diagnostic evidence item 8 remains incomplete and is not used as a performance claim.,,8,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-009,Required diagnostic evidence item 9 remains incomplete and is not used as a performance claim.,,9,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-010,Required diagnostic evidence item 10 remains incomplete and is not used as a performance claim.,,10,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-011,Required diagnostic evidence item 11 remains incomplete and is not used as a performance claim.,,11,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-012,Required diagnostic evidence item 12 remains incomplete and is not used as a performance claim.,,12,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-013,Required diagnostic evidence item 13 remains incomplete and is not used as a performance claim.,,13,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-014,Required diagnostic evidence item 14 remains incomplete and is not used as a performance claim.,,14,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-015,Required diagnostic evidence item 15 remains incomplete and is not used as a performance claim.,,15,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-016,Required diagnostic evidence item 16 remains incomplete and is not used as a performance claim.,,16,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-017,Required diagnostic evidence item 17 remains incomplete and is not used as a performance claim.,,17,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-018,Required diagnostic evidence item 18 remains incomplete and is not used as a performance claim.,,18,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-019,Required diagnostic evidence item 19 remains incomplete and is not used as a performance claim.,,19,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
E-GAP-020,Required diagnostic evidence item 20 remains incomplete and is not used as a performance claim.,,20,strict_validator_report.json,,required_diagnostic_waves_terminal,validate_forensic_packet.py,ce90cd7f0d1977874db7b180d6cc431c38f1790fd13e7b40e57e608240f7c621,True,HIGH,validator will fail until completed
