pathology,subgroup,case_rows,anchor_mean_dice,srr_mean_dice,mean_changed_voxels,anchor_remote_fp_volume_mm3,srr_remote_fp_volume_mm3
edema,all,44,0.3944358976789887,0.39511554834642215,2.9318181818181817,86.19135076349431,86.19135076349431
edema,t2_present,16,0.3944358976789887,0.39511554834642215,8.0625,237.02621459960938,237.02621459960938
edema,no_t2,28,,,0.0,0.0,0.0
edema,CenterB,7,0.5029744773313501,0.5045463431447994,8.0,541.7742047991071,541.7742047991071
edema,CenterC,9,0.3100170023938187,0.31000270794768425,8.11111111111111,0.0,0.0
edema,scar_positive,43,0.3944358976789887,0.39511554834642215,3.0,88.19580078125,88.19580078125
edema,edema_positive,16,0.3944358976789887,0.39511554834642215,8.0625,237.02621459960938,237.02621459960938
scar,all,44,0.5601692281262312,0.5615107217364417,22.204545454545453,620.3619700074735,605.6288666886041
scar,t2_present,16,0.6933346102422654,0.6932200411321572,7.25,1.102447509765625,1.102447509765625
scar,no_t2,28,0.4840747240599259,0.4862482535103184,30.75,974.224554291878,951.0725347907976
scar,CenterB,7,0.6131815991584469,0.6133348181475297,2.2857142857142856,2.5198800223214284,2.5198800223214284
scar,CenterC,9,0.7556758410852354,0.755352992342423,11.11111111111111,0.0,0.0
scar,scar_positive,43,0.573196419478004,0.5745691106140334,22.72093023255814,634.7889925657869,619.7132589371763
scar,edema_positive,16,0.6933346102422654,0.6932200411321572,7.25,1.102447509765625,1.102447509765625
