case_id,mode,source_fold,source_prediction_path,output_prediction_path,gt_path,raw_label_mismatch,changed_voxels,byte_identical,geometry_matches_source,geometry_matches_gt,prediction_sha256,output_sha256
Case1045,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1045.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1045.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1045.nii.gz,0,0,True,True,True,35d46014a830843e41a72db9f6a4bde03ebeb2373316cf793443e728dfe4c7d6,35d46014a830843e41a72db9f6a4bde03ebeb2373316cf793443e728dfe4c7d6
Case1047,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1047.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1047.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1047.nii.gz,0,0,True,True,True,cea53a6df7a7a26fb34a194129095e3f13382fdae563ccdf5eb547e4d8d69b11,cea53a6df7a7a26fb34a194129095e3f13382fdae563ccdf5eb547e4d8d69b11
Case1053,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1053.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1053.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1053.nii.gz,0,0,True,True,True,0c9096dc5464a9d3a905a6fce964a214f1021cb64d401c3aef6a3a5dcdc1974d,0c9096dc5464a9d3a905a6fce964a214f1021cb64d401c3aef6a3a5dcdc1974d
Case1062,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1062.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1062.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1062.nii.gz,0,0,True,True,True,6643af2f99c382c1bb697464fdd3fa37810adbbacc50318a293843e2d6b7c536,6643af2f99c382c1bb697464fdd3fa37810adbbacc50318a293843e2d6b7c536
Case1070,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1070.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1070.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1070.nii.gz,0,0,True,True,True,d3259be642bdfcefaf0be70b4308e4a5eaacfc60ab7feffa5beabf9267cee895,d3259be642bdfcefaf0be70b4308e4a5eaacfc60ab7feffa5beabf9267cee895
Case1073,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1073.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1073.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1073.nii.gz,0,0,True,True,True,cdf08976f6a3c254b50db2c0421138641b726152b6adb857c89733472e5f0ea1,cdf08976f6a3c254b50db2c0421138641b726152b6adb857c89733472e5f0ea1
Case1080,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1080.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case1080.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1080.nii.gz,0,0,True,True,True,b2274cb3ab14e3d5b1cef2da46cb8b4b10a6a00169d76d7905471e451df3fd1f,b2274cb3ab14e3d5b1cef2da46cb8b4b10a6a00169d76d7905471e451df3fd1f
Case2002,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2002.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case2002.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2002.nii.gz,0,0,True,True,True,e4eb145225bf93d1e2dcc026f29e402a3f9bc6c53bc0f3f3d17c2d0cc5ea0b17,e4eb145225bf93d1e2dcc026f29e402a3f9bc6c53bc0f3f3d17c2d0cc5ea0b17
Case2007,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2007.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case2007.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2007.nii.gz,0,0,True,True,True,115fe77f9008999c359248ed6aa8a57b51f8d643698d04be487d7678b063ad39,115fe77f9008999c359248ed6aa8a57b51f8d643698d04be487d7678b063ad39
Case2008,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2008.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case2008.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2008.nii.gz,0,0,True,True,True,f6ea721bcf33fcef80d45c5b4b5ccfb65d412019021d53ed7c968d92eae14058,f6ea721bcf33fcef80d45c5b4b5ccfb65d412019021d53ed7c968d92eae14058
Case2017,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2017.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case2017.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2017.nii.gz,0,0,True,True,True,c5967b38d6492448f6272921d159646dacbdbbcd8ece6bff02dd9b518f6513f2,c5967b38d6492448f6272921d159646dacbdbbcd8ece6bff02dd9b518f6513f2
Case2020,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2020.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case2020.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2020.nii.gz,0,0,True,True,True,5277e49cb61b04d7f4b111e9e194597496143623b035e2f333840b853e488d00,5277e49cb61b04d7f4b111e9e194597496143623b035e2f333840b853e488d00
Case2031,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2031.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case2031.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2031.nii.gz,0,0,True,True,True,2b679fd882bf706a2776dba39359d9bf49b4ce4c1f5940896ae6476b643dc9b0,2b679fd882bf706a2776dba39359d9bf49b4ce4c1f5940896ae6476b643dc9b0
Case2033,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2033.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case2033.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case2033.nii.gz,0,0,True,True,True,b21e4107e18f9854d6634f392b5dc895028991377b406839d323ea5b3d6f7237,b21e4107e18f9854d6634f392b5dc895028991377b406839d323ea5b3d6f7237
Case3004,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3004.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case3004.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3004.nii.gz,0,0,True,True,False,13553c93a66e58b00f374a36373d6139e4beaf3cf1e5acde7f4ee8483f1f41c4,13553c93a66e58b00f374a36373d6139e4beaf3cf1e5acde7f4ee8483f1f41c4
Case3011,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3011.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case3011.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3011.nii.gz,0,0,True,True,False,15381beeca493e9807cb8540362021801e3424249f020bfa725a497f4eef4d56,15381beeca493e9807cb8540362021801e3424249f020bfa725a497f4eef4d56
Case3012,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3012.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case3012.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3012.nii.gz,0,0,True,True,False,e55ea9f274f99581a9d8dbe3d62c381ea754e6824de4ab44f2d5033340e44335,e55ea9f274f99581a9d8dbe3d62c381ea754e6824de4ab44f2d5033340e44335
Case3023,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3023.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case3023.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3023.nii.gz,0,0,True,True,False,0ae87089a122f7cff0b67b97329ec3c077e933fdb049b8da0ed3652e030bfcef,0ae87089a122f7cff0b67b97329ec3c077e933fdb049b8da0ed3652e030bfcef
Case3026,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3026.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case3026.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3026.nii.gz,0,0,True,True,False,a761c39fa7204db189f11f4dd04a7cf1bc17c573683fcca4e49c4db66642c45d,a761c39fa7204db189f11f4dd04a7cf1bc17c573683fcca4e49c4db66642c45d
Case3034,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3034.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case3034.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3034.nii.gz,0,0,True,True,False,c9cada7f04ea13808b5f6607ee1e2caef632e8466cf4eba7d60bc864ab53a13e,c9cada7f04ea13808b5f6607ee1e2caef632e8466cf4eba7d60bc864ab53a13e
Case3038,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3038.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case3038.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3038.nii.gz,0,0,True,True,True,c4b011218dea45f84bb78960d605b1483af128ce15e270ca32c921a71c825939,c4b011218dea45f84bb78960d605b1483af128ce15e270ca32c921a71c825939
Case3040,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3040.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case3040.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3040.nii.gz,0,0,True,True,False,c27e3ea13ffa396f04cf1569c53491305e51374cc8e0164cd7733f703a19cdd0,c27e3ea13ffa396f04cf1569c53491305e51374cc8e0164cd7733f703a19cdd0
Case3044,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case3044.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case3044.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case3044.nii.gz,0,0,True,True,True,aa7f3b8918a001058ee713e9fac6538b6f28833152b33daa1a07ddcac18d75a8,aa7f3b8918a001058ee713e9fac6538b6f28833152b33daa1a07ddcac18d75a8
Case5005,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case5005.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case5005.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case5005.nii.gz,0,0,True,True,True,ec33b09a3f9919a4380f5afcc01d3ae8a8bf36d218b26ed78331095410c56887,ec33b09a3f9919a4380f5afcc01d3ae8a8bf36d218b26ed78331095410c56887
Case6001,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case6001.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case6001.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case6001.nii.gz,0,0,True,True,True,7da7bdccfb424addbe8be4a08c043b1b5df21f7ca35baeea8b32f38fbdc4e0ed,7da7bdccfb424addbe8be4a08c043b1b5df21f7ca35baeea8b32f38fbdc4e0ed
Case6010,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case6010.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case6010.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case6010.nii.gz,0,0,True,True,True,137ca964d7f7065be4ee1eedd0bf90ccae1e2606ba4cb494ccad130522ead576,137ca964d7f7065be4ee1eedd0bf90ccae1e2606ba4cb494ccad130522ead576
Case7005,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case7005.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case7005.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case7005.nii.gz,0,0,True,True,True,8710125f12c9beb9df281639cd5462b780886124f0aeae27ca5343a15ee32d93,8710125f12c9beb9df281639cd5462b780886124f0aeae27ca5343a15ee32d93
Case8003,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8003.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case8003.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8003.nii.gz,0,0,True,True,False,701c96f5be300d9b907d5a2c3dce521556a99a6942ea19c40d9b6be794d7e4be,701c96f5be300d9b907d5a2c3dce521556a99a6942ea19c40d9b6be794d7e4be
Case8011,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8011.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case8011.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8011.nii.gz,0,0,True,True,False,088553da310749b0e548fcd530940230baaa030f0521e1380d6dd8320b855a07,088553da310749b0e548fcd530940230baaa030f0521e1380d6dd8320b855a07
Case8015,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8015.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case8015.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8015.nii.gz,0,0,True,True,False,e4c40997ad52a79b53c0ee6dabc3b555374db581eb58a976b5a4e08455a7aaa5,e4c40997ad52a79b53c0ee6dabc3b555374db581eb58a976b5a4e08455a7aaa5
Case8019,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8019.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case8019.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8019.nii.gz,0,0,True,True,False,ba69061ad488ee6585d3d702327601206a31adf0d6021208cb62c508c5c5bc6d,ba69061ad488ee6585d3d702327601206a31adf0d6021208cb62c508c5c5bc6d
Case8021,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8021.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case8021.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8021.nii.gz,0,0,True,True,False,92e173c86cb2fc1f678b730a0e3d995009a47e5712e4373009f363b7aa005381,92e173c86cb2fc1f678b730a0e3d995009a47e5712e4373009f363b7aa005381
Case8022,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8022.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case8022.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8022.nii.gz,0,0,True,True,False,ec84388605b7d036f557f734ec4f3db78bbc050af371a1c449811ee58acf8f5f,ec84388605b7d036f557f734ec4f3db78bbc050af371a1c449811ee58acf8f5f
Case8023,anchor_identity_control,0,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case8023.nii.gz,results/srr_production/inference/anchor_identity_control/predictions/Case8023.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case8023.nii.gz,0,0,True,True,False,deb86fd1b375e5c29c29976e9ec837f3a617c8112d122aec91d3026d0c2a13f3,deb86fd1b375e5c29c29976e9ec837f3a617c8112d122aec91d3026d0c2a13f3
