job_id,stage,partition,state,exit_code,elapsed,node,log_path,runtime_output_path,optimizer_steps,formal_training_credit,submission_command,aggregation_command,aggregation_exit_code,notes
59744540,final_interventions,htzhulab,FAILED,1:0,00:07:24,g1807htzh01,logs/srr_batch6/B6FinalInterventions_59744540_20260721_061534.log,results/20260721_srr_batch6_final_objective_alignment/final_interventions/step300,0,0,sbatch jobs/srr_production/run_myops_batch6_final_interventions_htzhulab.sh,scripts/evaluation/aggregate_srr_batch6_final_interventions.py --job-id 59744941,not_run_failed_attempt,final intervention startup failed closed on full_gate_zero zero-delta control semantics; fixed same scope and retried
59744941,final_interventions,htzhulab,COMPLETED,0:0,00:10:48,g1807htzh01,logs/srr_batch6/B6FinalInterventions_59744941_20260721_062621.log,results/20260721_srr_batch6_final_objective_alignment/final_interventions/step300,0,0,sbatch jobs/srr_production/run_myops_batch6_final_interventions_htzhulab.sh,scripts/evaluation/aggregate_srr_batch6_final_interventions.py --job-id 59744941,0,final six-mode intervention inference completed on selected step300 checkpoint
59737558,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:34,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59737558_20260721_031618.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59737686,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:32,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59737686_20260721_031900.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59737738,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:34,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59737738_20260721_032059.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59737830,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:28,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59737830_20260721_032323.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59739437,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:31,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59739437_20260721_040548.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59739777,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:37,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59739777_20260721_041457.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59740161,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:40,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59740161_20260721_042620.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
59740423,fixed_batch_overfit,htzhulab,FAILED,1:0,00:00:34,g1807htzh01,logs/srr_batch6/B6FixedOverfit_59740423_20260721_043257.log,results/20260721_srr_batch6_final_objective_alignment/fixed_batch_overfit.json,60,0,sbatch jobs/srr_production/run_myops_batch6_fixed_overfit_htzhulab.sh,job entrypoint wrote fixed_batch_overfit.json,1,terminal same-scope fixed-overfit repair attempt; no formal training credit
