case_id,shape_dhw,spacing_zyx,any_gt_voxels,myocardium_voxels,edema_zone_voxels,pure_edema_voxels,scar_voxels,gt_bbox_zyx_min,gt_bbox_zyx_max,label_path,label_sha256
Case1001,"[9, 256, 256]","[11.0, 1.3672000169754028, 1.3672000169754028]",18344,4553,773,0,773,"[0, 89, 91]","[7, 156, 156]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1001.nii.gz,6d76f9589a494d5bbb18e9017014068359687b03d769b164a599735890717cd7
Case1002,"[9, 256, 256]","[10.0, 1.3672000169754028, 1.3672000169754028]",18796,4784,2062,0,2062,"[0, 93, 98]","[8, 149, 159]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1002.nii.gz,467465a7812ccb55edcda5340c3863a2dfdab40ee4aede72b50e90764f5e6553
Case1003,"[9, 256, 256]","[12.0, 1.3672000169754028, 1.3672000169754028]",14098,5522,1403,0,1403,"[0, 99, 99]","[7, 158, 159]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1003.nii.gz,f04f2dfe9df4401cfa5860c3a75c2443bf794e4d78608928aff64745fae2ad91
Case1004,"[32, 256, 256]","[4.0, 1.3672000169754028, 1.3672000169754028]",64435,11584,14126,0,14126,"[2, 93, 107]","[27, 161, 172]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1004.nii.gz,62b0a736b8c40c01d21fc73d0ec6d23ccb486e035174096843ffe1c9b8d48e43
Case1005,"[16, 256, 256]","[5.0, 1.3672000169754028, 1.3672000169754028]",37010,7960,3381,0,3381,"[0, 103, 83]","[15, 162, 142]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1005.nii.gz,9d2e4b48b12427ff86bc845faa5e1e76e47a626deb6001cde6c8b67b8616d119
Case1006,"[24, 256, 256]","[5.0, 1.3672000169754028, 1.3672000169754028]",45067,6464,4346,0,4346,"[2, 83, 87]","[21, 144, 149]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1006.nii.gz,31e7d327e0611249c90cdba9c873fdbdac611ee96d7d0b08b30d7d1fd1d63f7b
Case1007,"[24, 256, 256]","[4.0, 1.3672000169754028, 1.3672000169754028]",45048,11635,2509,0,2509,"[0, 97, 97]","[19, 156, 156]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1007.nii.gz,ae76e15af29327ab6551ef39f328ecfdc9aa3fd2421561d2481f4f17daebaaa3
Case1008,"[20, 256, 256]","[5.0, 1.3672000169754028, 1.3672000169754028]",35393,5498,5314,0,5314,"[0, 96, 101]","[19, 152, 157]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1008.nii.gz,203579dc737129f6f95a9af5896e251ffe92a95cd204dc05b327b238ab74eef5
Case1009,"[16, 256, 256]","[5.0, 1.3672000169754028, 1.3672000169754028]",31303,3751,4090,0,4090,"[0, 90, 102]","[15, 144, 157]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1009.nii.gz,38964d2954a14b99e7d818360a7e678998cb65be59b78b28f5b673f7b33c7068
Case1010,"[12, 256, 256]","[9.0, 1.3672000169754028, 1.3672000169754028]",18840,3944,2012,0,2012,"[1, 93, 96]","[10, 154, 153]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1010.nii.gz,64d0d2255723e96a099dee6c004303a84573ef4b370a1df065026afeacc5b137
Case1011,"[9, 256, 256]","[10.5, 1.3672000169754028, 1.3672000169754028]",23945,5675,338,0,338,"[0, 99, 98]","[8, 171, 167]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1011.nii.gz,6ad6ecc64b5f91581261882358982433b31b470b56cb3315ccda9e8e0b1678d6
Case1012,"[9, 256, 256]","[11.0, 1.3672000169754028, 1.3672000169754028]",25611,8593,388,0,388,"[0, 87, 99]","[8, 159, 167]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1012.nii.gz,70ad6d2df94a99c5d19516790cdb00543a9f78a62237a4bd640ef85ffec3b8e7
Case1013,"[20, 256, 256]","[5.0, 1.3672000169754028, 1.3672000169754028]",43126,13101,3410,0,3410,"[0, 94, 102]","[17, 161, 165]",data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1013.nii.gz,eee86818738796dbed8c404194929d6ade48ee5aedb6c33ca82f6f296a2af901
