component_id,branch,role,current_status,evidence_status,target_status,source_file,symbol,entrypoint,grep_key,config_keys,inputs,outputs,losses,final_output_effect,runtime_evidence,code_fingerprint_member,last_verified_milestone,review_token,notes
availability-no-t2,MyoPS,可用性与 no-T2 安全,partial,unverified,implemented,wiki/history/M09/components/availability-no-t2.md,可用性与 no-T2 安全,历史分析,可用性,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M09/components/availability-no-t2.md,51ea0fdc39d3,M09,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
retrieval-dictionary,MyoPS,检索字典与表示槽,partial,unverified,implemented,wiki/history/M09/components/retrieval-dictionary.md,检索字典与表示槽,历史分析,检索字典,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M09/components/retrieval-dictionary.md,51ea0fdc39d3,M09,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
prototype-memory,MyoPS,原型与负样本记忆,partial,unverified,implemented,wiki/history/M09/components/prototype-memory.md,原型与负样本记忆,历史分析,原型,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M09/components/prototype-memory.md,51ea0fdc39d3,M09,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
anatomy-prior,MyoPS,解剖先验,partial,unverified,implemented,wiki/history/M09/components/anatomy-prior.md,解剖先验,历史分析,解剖先验,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M09/components/anatomy-prior.md,51ea0fdc39d3,M09,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
proposal,MyoPS,病灶 proposal,partial,unverified,implemented,wiki/history/M09/components/proposal.md,病灶 proposal,历史分析,病灶 proposal,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M09/components/proposal.md,51ea0fdc39d3,M09,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
refiner,MyoPS,soft-ROI refiner,partial,unverified,implemented,wiki/history/M09/components/refiner.md,soft-ROI refiner,历史分析,soft-ROI refiner,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M09/components/refiner.md,51ea0fdc39d3,M09,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
arbitration,MyoPS,分支仲裁与最终输出,partial,unverified,implemented,wiki/history/M09/components/arbitration.md,分支仲裁与最终输出,历史分析,分支仲裁,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M09/components/arbitration.md,51ea0fdc39d3,M09,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
losses,MyoPS,loss 与优化目标,partial,unverified,implemented,wiki/history/M09/components/losses.md,loss 与优化目标,历史分析,loss ,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M09/components/losses.md,51ea0fdc39d3,M09,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
checkpoint-selection,MyoPS,checkpoint 选择,partial,unverified,implemented,wiki/history/M09/components/checkpoint-selection.md,checkpoint 选择,历史分析,checkpoint 选择,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M09/components/checkpoint-selection.md,51ea0fdc39d3,M09,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
training-evidence,MyoPS,训练证据与指标,partial,unverified,implemented,wiki/history/M09/components/training-evidence.md,训练证据与指标,历史分析,训练证据,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M09/components/training-evidence.md,51ea0fdc39d3,M09,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
cine-temporal,Cine,Cine temporal 分支,partial,unverified,implemented,wiki/history/M09/components/cine-temporal.md,Cine temporal 分支,历史分析,Cine temporal 分支,,历史分析,组件判断,,历史判断，不作为当前 runtime 证据,wiki/history/M09/components/cine-temporal.md,51ea0fdc39d3,M09,M9_FOLLOWUP_AUDITED_READY_NO_PROMOTION_DIAGNOSTIC_ONLY,历史快照；后续纠错只能追加 ERRATA 或 later_status_update。
