fold,checkpoint_step,population,metric_source,status,case_count,dice_mean,dice_median,sensitivity_mean,precision_mean,hd95_mean_mm,empty_count,empty_fraction,volume_ratio_mean,component_count_mean,source_detail
2,2000,inner_partial_no_t2,FORMAL_INNER_GPU_SELECTED_WORST_CASE_CHECK,COMPLETE_GPU_SELECTED_CASES,3,0.8302646208,0.8460355195,0.7859573066,0.8802609718,1.529904246,0,0,0.8941907842,2.333333333,GPU-selected cases; not full actual-train population.
2,4000,actual-train_complete_control,ACTUAL_TRAIN_DIAGNOSTIC_GPU_SELECTED,COMPLETE_GPU_SELECTED_CASES,1,0.938620315,0.938620315,0.9191489362,0.9589345172,1.328125,0,0,0.9585106383,2,GPU-selected cases; not full actual-train population.
2,4000,actual-train_partial_no_t2,ACTUAL_TRAIN_DIAGNOSTIC_GPU_SELECTED,COMPLETE_GPU_SELECTED_CASES,3,0.833013107,0.807004151,0.7961384524,0.8832870762,2.011704286,0,0,0.9046174047,1.333333333,GPU-selected cases; not full actual-train population.
2,4000,inner_partial_no_t2,FORMAL_INNER_GPU_SELECTED_WORST_CASE_CHECK,COMPLETE_GPU_SELECTED_CASES,3,0.6328954933,0.6350404313,0.5089746068,0.8525536964,5.103674544,0,0,0.6034196252,8.666666667,GPU-selected cases; not full actual-train population.
2,6000,actual-train_complete_control,ACTUAL_TRAIN_DIAGNOSTIC_GPU_SELECTED,COMPLETE_GPU_SELECTED_CASES,1,0.9376344086,0.9376344086,0.9276595745,0.947826087,1.328125,0,0,0.9787234043,2,GPU-selected cases; not full actual-train population.
2,6000,actual-train_partial_no_t2,ACTUAL_TRAIN_DIAGNOSTIC_GPU_SELECTED,COMPLETE_GPU_SELECTED_CASES,3,0.683856834,0.6170509052,0.568504567,0.8814404165,3.70076002,0,0,0.6433875299,3,GPU-selected cases; not full actual-train population.
2,6000,inner_partial_no_t2,FORMAL_INNER_GPU_SELECTED_WORST_CASE_CHECK,COMPLETE_GPU_SELECTED_CASES,3,0.3122905209,0.3371960176,0.1940723004,0.8566473913,11.83076094,0,0,0.2303122294,14.33333333,GPU-selected cases; not full actual-train population.
3,2000,actual-train_complete_control,ACTUAL_TRAIN_DIAGNOSTIC_GPU_SELECTED,COMPLETE_GPU_SELECTED_CASES,1,0.9608305805,0.9608305805,0.9522918616,0.9695238095,1.328125,0,0,0.9822263798,1,GPU-selected cases; not full actual-train population.
3,2000,actual-train_partial_no_t2,ACTUAL_TRAIN_DIAGNOSTIC_GPU_SELECTED,COMPLETE_GPU_SELECTED_CASES,3,0.9060252652,0.8994117647,0.859670699,0.9578337321,1.367200017,0,0,0.8976367345,1.333333333,GPU-selected cases; not full actual-train population.
3,2000,inner_partial_no_t2,FORMAL_INNER_GPU_SELECTED_WORST_CASE_CHECK,COMPLETE_GPU_SELECTED_CASES,3,0.8487056878,0.8391954152,0.7862336722,0.9226850342,1.354166667,0,0,0.8519389716,1.333333333,GPU-selected cases; not full actual-train population.
3,4000,actual-train_complete_control,ACTUAL_TRAIN_DIAGNOSTIC_GPU_SELECTED,COMPLETE_GPU_SELECTED_CASES,1,0.937986324,0.937986324,0.9303086997,0.9457917261,1.328125,0,0,0.9836295603,1,GPU-selected cases; not full actual-train population.
3,4000,actual-train_partial_no_t2,ACTUAL_TRAIN_DIAGNOSTIC_GPU_SELECTED,COMPLETE_GPU_SELECTED_CASES,3,0.8126723525,0.8324558687,0.7331432067,0.9146705274,1.555970947,0,0,0.8018918814,1.666666667,GPU-selected cases; not full actual-train population.
3,4000,inner_partial_no_t2,FORMAL_INNER_GPU_SELECTED_WORST_CASE_CHECK,COMPLETE_GPU_SELECTED_CASES,3,0.6464948776,0.6386654751,0.5246846932,0.8615854023,3.330457688,0,0,0.6120752697,3.666666667,GPU-selected cases; not full actual-train population.
3,6000,actual-train_complete_control,ACTUAL_TRAIN_DIAGNOSTIC_GPU_SELECTED,COMPLETE_GPU_SELECTED_CASES,1,0.9401873649,0.9401873649,0.9153414406,0.9664197531,1.328125,0,0,0.9471468662,1,GPU-selected cases; not full actual-train population.
3,6000,actual-train_partial_no_t2,ACTUAL_TRAIN_DIAGNOSTIC_GPU_SELECTED,COMPLETE_GPU_SELECTED_CASES,3,0,0,0,,1000000,3,1,0,0,GPU-selected cases; not full actual-train population.
3,6000,inner_partial_no_t2,FORMAL_INNER_GPU_SELECTED_WORST_CASE_CHECK,COMPLETE_GPU_SELECTED_CASES,3,0,0,0,,1000000,3,1,0,0,GPU-selected cases; not full actual-train population.
