pathology,polarity,category,vector_count,source_case_ids,source_case_count,valid_mask,full_tensor_sha256
scar,negative,normal_myocardium,1752,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016;Case1017;Case1018;Case1019;Case1020;Case1022;Case1024;Case1025;Case1026;Case1027;Case1028;Case1030;Case1031;Case1032;Case1034;Case1035;Case1036;Case1037;Case1038;Case1039;Case1041;Case1043;Case1044;Case1046;Case1048;Case1049;Case1050;Case1051;Case1052;Case1054;Case1055;Case1056;Case1057;Case1058;Case1059;Case1060;Case1061;Case1063;Case1064;Case1065;Case1066;Case1067;Case1068;Case1069;Case1071;Case1072;Case1074;Case1075;Case1076;Case1077;Case1078;Case1079;Case1081;Case2001;Case2003;Case2004;Case2005;Case2006;Case2009;Case2010;Case2011;Case2012;Case2013;Case2014;Case2015;Case2016;Case2018;Case2019;Case2021;Case2022;Case2023;Case2024;Case2025;Case2026;Case2027;Case2028;Case2029;Case2030;Case2032;Case2034;Case2035;Case3001;Case3002;Case3003;Case3005;Case3006;Case3007;Case3008;Case3009;Case3010;Case3013;Case3014;Case3015;Case3016;Case3017;Case3018;Case3019;Case3020;Case3021;Case3022;Case3024;Case3025;Case3027;Case3028;Case3029;Case3030;Case3031;Case3032;Case3033;Case3035;Case3036;Case3037;Case3039;Case3041;Case3042;Case3043;Case3045;Case5002;Case5003;Case5006;Case5007;Case5010;Case6002;Case6003;Case6004;Case6005;Case6006;Case6008;Case6009;Case7001;Case7002;Case7004;Case7006;Case7008;Case7009,146,True,e8fb34877cb3d76e46d5ac68658c443b090f839e4acf284c0a1be0f68c25fb1d
scar,negative,blood_pool,1752,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016;Case1017;Case1018;Case1019;Case1020;Case1022;Case1024;Case1025;Case1026;Case1027;Case1028;Case1030;Case1031;Case1032;Case1034;Case1035;Case1036;Case1037;Case1038;Case1039;Case1041;Case1043;Case1044;Case1046;Case1048;Case1049;Case1050;Case1051;Case1052;Case1054;Case1055;Case1056;Case1057;Case1058;Case1059;Case1060;Case1061;Case1063;Case1064;Case1065;Case1066;Case1067;Case1068;Case1069;Case1071;Case1072;Case1074;Case1075;Case1076;Case1077;Case1078;Case1079;Case1081;Case2001;Case2003;Case2004;Case2005;Case2006;Case2009;Case2010;Case2011;Case2012;Case2013;Case2014;Case2015;Case2016;Case2018;Case2019;Case2021;Case2022;Case2023;Case2024;Case2025;Case2026;Case2027;Case2028;Case2029;Case2030;Case2032;Case2034;Case2035;Case3001;Case3002;Case3003;Case3005;Case3006;Case3007;Case3008;Case3009;Case3010;Case3013;Case3014;Case3015;Case3016;Case3017;Case3018;Case3019;Case3020;Case3021;Case3022;Case3024;Case3025;Case3027;Case3028;Case3029;Case3030;Case3031;Case3032;Case3033;Case3035;Case3036;Case3037;Case3039;Case3041;Case3042;Case3043;Case3045;Case5002;Case5003;Case5006;Case5007;Case5010;Case6002;Case6003;Case6004;Case6005;Case6006;Case6008;Case6009;Case7001;Case7002;Case7004;Case7006;Case7008;Case7009,146,True,1c5ea4a55b7330000169c8a9eefefb77e7f7ea054af70480a1ea664c71855f2a
scar,negative,outside_myocardium,2112,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016;Case1017;Case1018;Case1019;Case1020;Case1022;Case1024;Case1025;Case1026;Case1027;Case1028;Case1030;Case1031;Case1032;Case1034;Case1035;Case1036;Case1037;Case1038;Case1039;Case1041;Case1043;Case1044;Case1046;Case1048;Case1049;Case1050;Case1051;Case1052;Case1054;Case1055;Case1056;Case1057;Case1058;Case1059;Case1060;Case1061;Case1063;Case1064;Case1065;Case1066;Case1067;Case1068;Case1069;Case1071;Case1072;Case1074;Case1075;Case1076;Case1077;Case1078;Case1079;Case1081;Case2001;Case2003;Case2004;Case2005;Case2006;Case2009;Case2010;Case2011;Case2012;Case2013;Case2014;Case2015;Case2016;Case2018;Case2019;Case2021;Case2022;Case2023;Case2024;Case2025;Case2026;Case2027;Case2028;Case2029;Case2030;Case2032;Case2034;Case2035;Case3001;Case3002;Case3003;Case3005;Case3006;Case3007;Case3008;Case3009;Case3010;Case3013;Case3014;Case3015;Case3016;Case3017;Case3018;Case3019;Case3020;Case3021;Case3022;Case3024;Case3025;Case3027;Case3028;Case3029;Case3030;Case3031;Case3032;Case3033;Case3035;Case3036;Case3037;Case3039;Case3041;Case3042;Case3043;Case3045;Case5001;Case5002;Case5003;Case5006;Case5007;Case5010;Case6002;Case6003;Case6004;Case6005;Case6006;Case6008;Case6009;Case7001;Case7002;Case7004;Case7006;Case7008;Case7009;Case7010;Case8001;Case8002;Case8004;Case8005;Case8006;Case8007;Case8008;Case8009;Case8010;Case8012;Case8013;Case8014;Case8016;Case8017;Case8018;Case8020;Case8024;Case8025;Case8026;Case8027;Case8028;Case8029;Case8030;Case8031;Case8032;Case8033;Case8034;Case8035,176,True,2c746024687636614aa968ace1c978340ce2edcdc5bf0b8a40eabd02a1a06654
scar,negative,lge_bright_non_scar,1721,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1012;Case1013;Case1014;Case1015;Case1016;Case1017;Case1018;Case1019;Case1020;Case1022;Case1024;Case1025;Case1026;Case1027;Case1028;Case1030;Case1031;Case1032;Case1034;Case1035;Case1036;Case1037;Case1038;Case1039;Case1041;Case1043;Case1044;Case1046;Case1048;Case1049;Case1050;Case1051;Case1052;Case1054;Case1055;Case1056;Case1057;Case1058;Case1059;Case1060;Case1061;Case1063;Case1064;Case1065;Case1066;Case1067;Case1068;Case1069;Case1071;Case1072;Case1074;Case1075;Case1076;Case1077;Case1078;Case1079;Case1081;Case2001;Case2003;Case2004;Case2005;Case2006;Case2009;Case2010;Case2011;Case2013;Case2014;Case2015;Case2016;Case2018;Case2019;Case2021;Case2022;Case2023;Case2024;Case2025;Case2026;Case2027;Case2028;Case2029;Case2030;Case2032;Case2034;Case2035;Case3001;Case3002;Case3003;Case3005;Case3006;Case3007;Case3008;Case3009;Case3010;Case3013;Case3014;Case3015;Case3016;Case3017;Case3018;Case3019;Case3020;Case3021;Case3022;Case3024;Case3025;Case3027;Case3028;Case3029;Case3030;Case3031;Case3032;Case3033;Case3035;Case3036;Case3037;Case3039;Case3041;Case3042;Case3043;Case3045;Case5002;Case5003;Case5006;Case5007;Case5010;Case6002;Case6003;Case6004;Case6005;Case6006;Case6008;Case6009;Case7001;Case7002;Case7004;Case7006;Case7008;Case7009,145,True,762089d3c2ed3e797e8a42176a8f49a23dee067eb3ac6e4bf5c9b5c0a7cc182d
scar,negative,anchor_remote_false_positive,1172,Case1001;Case1003;Case1004;Case1005;Case1006;Case1008;Case1011;Case1013;Case1014;Case1015;Case1016;Case1017;Case1018;Case1020;Case1022;Case1024;Case1025;Case1026;Case1027;Case1028;Case1031;Case1034;Case1035;Case1036;Case1037;Case1038;Case1039;Case1041;Case1043;Case1044;Case1046;Case1049;Case1050;Case1051;Case1052;Case1054;Case1055;Case1056;Case1057;Case1058;Case1059;Case1060;Case1061;Case1063;Case1064;Case1065;Case1066;Case1067;Case1068;Case1069;Case1071;Case1072;Case1074;Case1075;Case1076;Case1077;Case1079;Case2012;Case2016;Case2018;Case2023;Case2024;Case2025;Case2029;Case2034;Case3009;Case3010;Case3013;Case3019;Case3021;Case3022;Case3029;Case3030;Case3031;Case3033;Case3036;Case3045;Case5006;Case6002;Case6003;Case6006;Case6008;Case7004;Case7008;Case7009;Case8001;Case8002;Case8004;Case8005;Case8006;Case8007;Case8008;Case8009;Case8010;Case8012;Case8013;Case8014;Case8016;Case8017;Case8018;Case8020;Case8024;Case8025;Case8026;Case8027;Case8029;Case8030;Case8031;Case8032;Case8033;Case8035,111,True,3e5bb4a571d89f0dd3948d4de5bfe2e3b3b5cd96502431e96f37ee5086bf9705
edema,negative,normal_myocardium,768,Case2001;Case2003;Case2004;Case2005;Case2006;Case2009;Case2010;Case2011;Case2012;Case2013;Case2014;Case2015;Case2016;Case2018;Case2019;Case2021;Case2022;Case2023;Case2024;Case2025;Case2026;Case2027;Case2028;Case2029;Case2030;Case2032;Case2034;Case2035;Case3001;Case3002;Case3003;Case3005;Case3006;Case3007;Case3008;Case3009;Case3010;Case3013;Case3014;Case3015;Case3016;Case3017;Case3018;Case3019;Case3020;Case3021;Case3022;Case3024;Case3025;Case3027;Case3028;Case3029;Case3030;Case3031;Case3032;Case3033;Case3035;Case3036;Case3037;Case3039;Case3041;Case3042;Case3043;Case3045,64,True,225d5b1c9b7aba47ce29d10c3320e876748b1f9050b65341e0b419f0b8bbe831
edema,negative,blood_pool,768,Case2001;Case2003;Case2004;Case2005;Case2006;Case2009;Case2010;Case2011;Case2012;Case2013;Case2014;Case2015;Case2016;Case2018;Case2019;Case2021;Case2022;Case2023;Case2024;Case2025;Case2026;Case2027;Case2028;Case2029;Case2030;Case2032;Case2034;Case2035;Case3001;Case3002;Case3003;Case3005;Case3006;Case3007;Case3008;Case3009;Case3010;Case3013;Case3014;Case3015;Case3016;Case3017;Case3018;Case3019;Case3020;Case3021;Case3022;Case3024;Case3025;Case3027;Case3028;Case3029;Case3030;Case3031;Case3032;Case3033;Case3035;Case3036;Case3037;Case3039;Case3041;Case3042;Case3043;Case3045,64,True,9c828f0d073a5fee926f695fce13a38c80d214a15fcde4909f94fcbcfbf211bd
edema,negative,outside_myocardium,768,Case2001;Case2003;Case2004;Case2005;Case2006;Case2009;Case2010;Case2011;Case2012;Case2013;Case2014;Case2015;Case2016;Case2018;Case2019;Case2021;Case2022;Case2023;Case2024;Case2025;Case2026;Case2027;Case2028;Case2029;Case2030;Case2032;Case2034;Case2035;Case3001;Case3002;Case3003;Case3005;Case3006;Case3007;Case3008;Case3009;Case3010;Case3013;Case3014;Case3015;Case3016;Case3017;Case3018;Case3019;Case3020;Case3021;Case3022;Case3024;Case3025;Case3027;Case3028;Case3029;Case3030;Case3031;Case3032;Case3033;Case3035;Case3036;Case3037;Case3039;Case3041;Case3042;Case3043;Case3045,64,True,1d2c6c9eaa8371ac8b4e74adadf03725ee267be6e3141ea8f2bf58281629b0d9
edema,negative,t2_high_non_edema,727,Case2001;Case2003;Case2004;Case2005;Case2006;Case2009;Case2010;Case2011;Case2013;Case2014;Case2016;Case2018;Case2019;Case2021;Case2022;Case2023;Case2024;Case2025;Case2026;Case2027;Case2028;Case2029;Case2030;Case2032;Case2034;Case2035;Case3001;Case3002;Case3003;Case3005;Case3006;Case3007;Case3008;Case3009;Case3010;Case3013;Case3014;Case3015;Case3016;Case3017;Case3018;Case3019;Case3020;Case3021;Case3022;Case3024;Case3025;Case3027;Case3028;Case3029;Case3030;Case3031;Case3032;Case3033;Case3035;Case3036;Case3037;Case3039;Case3041;Case3042;Case3043;Case3045,62,True,9e8051bdcbbd3f32ddf93f087c0e127b7e67fae719e71ea3371e3a34c6ea8dd7
edema,negative,anchor_remote_false_positive,353,Case2001;Case2003;Case2004;Case2005;Case2009;Case2010;Case2011;Case2013;Case2014;Case2015;Case2016;Case2018;Case2021;Case2022;Case2023;Case2024;Case2025;Case2026;Case2027;Case2028;Case2029;Case2030;Case2032;Case2034;Case2035;Case3006;Case3007;Case3010;Case3016;Case3021;Case3022;Case3028;Case3029;Case3030;Case3031;Case3033;Case3039,37,True,cb7f2910c6ba13560a79ecb912cb08b372ba1d6a028285973a37fafd9670172f
