pathology,polarity,category,vector_count,full_tensor_sha256
scar,negative,normal_myocardium,1752,e8fb34877cb3d76e46d5ac68658c443b090f839e4acf284c0a1be0f68c25fb1d
scar,negative,blood_pool,1752,1c5ea4a55b7330000169c8a9eefefb77e7f7ea054af70480a1ea664c71855f2a
scar,negative,outside_myocardium,2112,2c746024687636614aa968ace1c978340ce2edcdc5bf0b8a40eabd02a1a06654
scar,negative,lge_bright_non_scar,1721,762089d3c2ed3e797e8a42176a8f49a23dee067eb3ac6e4bf5c9b5c0a7cc182d
scar,negative,anchor_remote_false_positive,1172,3e5bb4a571d89f0dd3948d4de5bfe2e3b3b5cd96502431e96f37ee5086bf9705
edema,negative,normal_myocardium,768,225d5b1c9b7aba47ce29d10c3320e876748b1f9050b65341e0b419f0b8bbe831
edema,negative,blood_pool,768,9c828f0d073a5fee926f695fce13a38c80d214a15fcde4909f94fcbcfbf211bd
edema,negative,outside_myocardium,768,1d2c6c9eaa8371ac8b4e74adadf03725ee267be6e3141ea8f2bf58281629b0d9
edema,negative,t2_high_non_edema,727,9e8051bdcbbd3f32ddf93f087c0e127b7e67fae719e71ea3371e3a34c6ea8dd7
edema,negative,anchor_remote_false_positive,353,cb7f2910c6ba13560a79ecb912cb08b372ba1d6a028285973a37fafd9670172f
scar,positive,scar_positive,2016,bcb2810498f666b1f5a24726ce775435bf58e34d8ae8daca1f92933c059c2c18
edema,positive,edema_positive,768,1a9d61fcc4014b3ce3d1462c7536402ac55fcdd10f168f4f5f7b8c19fafeb77e
