diagram_block,current_code_path,status,evidence,impact_on_metric,required_fix,priority
inputs_and_availability,src/care_myocardium/models/srr_propref.py:196-200,PARTIAL,Availability tensor is used but channel order is LGE_T2_C0 and no-T2 inference is not gated,Missing modality handling is incomplete for edema,Align channel contract and enforce availability at inference,P1
multi_scale_encoder,src/care_myocardium/models/srr_propref.py:148-156,NAME_ONLY,Three scales at base_2x_4x with formal base_channels_10 not 32_64_128_256,Weak representation cannot approach nnU-Net,Use strong nnU-Net-equivalent backbone or anchor on nnU-Net features,P0
retrieval_bank,src/care_myocardium/models/srr_v2_unet.py:58-120,NAME_ONLY,ConvBlock experts plus routers substitute for dictionary retrieval bank,Mechanism does not perform segmentation-native retrieval,Implement real per-scale dictionary/prototype memory or stop claiming v2.5 retrieval,P0
pathology_prototypes,src/care_myocardium/models/srr_propref.py:34-47,NAME_ONLY,Positive_negative prototypes are random trainable parameters not data-derived groups,Uncalibrated proposal logits and FP flooding,Build data-derived scar_pos scar_neg edema_pos edema_safe_neg banks with coverage/diversity checks,P0
routed_task_features,src/care_myocardium/models/srr_propref.py:181-194,PARTIAL,Separate routed anatomy scar edema features exist,Useful wiring but not enough without real retrieval,Keep only after replacing retrieval backbone,P2
anatomy_outputs,src/care_myocardium/models/pathology_heads.py:15-30,PARTIAL,Anatomy head outputs 4 logits but downstream uses only union_prior_logits,LV_RV_geometry is not used for lesion gating,Expose P_union P_LV P_RV and use distance maps,P0
distance_soft_gate,src/care_myocardium/models/srr_propref.py:99-120,MISSING,Soft ROI uses sigmoid proposal and avg pooled union prior only,Remote FP remains high,Add distance-to-myocardium and uncertainty soft gate,P0
scar_proposal,src/care_myocardium/models/srr_propref.py:56-79,NAME_ONLY,Scar proposal is conv plus prototype similarity plus evidence/prior bias,Proposal precision around 0.08_0.10 at threshold 0.5,Use LGE-dominant candidate decoder or nnU-Net scar component refiner,P0
edema_proposal,scripts/training/run_srr_propref_myops_fold0.py:146-154,PARTIAL,Edema proposal loss is T2-masked but inference is not T2-safe,No-T2 edema leakage and poor edema Dice,Gate edema proposal/output by T2 availability,P0
soft_roi_refiner,src/care_myocardium/models/srr_propref.py:82-120,NAME_ONLY,Full-volume residual Conv3d over features/logits/proposal/roi not original image crop,Does not deliver high-res local lesion correction,Implement crop/refiner using original LGE for scar and T2 for edema,P1
training_objectives,scripts/training/run_srr_propref_myops_fold0.py:105-206,PARTIAL,Some losses exist but no HD surrogate true dictionary diversity or alignment objective,Losses cannot enforce diagram mechanism,Add mechanism-specific losses only after architecture repair,P2
nnunet_anchor,scripts/training/run_srr_propref_myops_fold0.py:769-770,MISSING,Runner constructs SRRProposeRefineMyoPS from scratch with no nnU-Net input,Model discards strong baseline representation,Use nnU-Net probabilities logits components or checkpoint initialization,P0
no_t2_edema_inference,scripts/training/run_srr_propref_myops_fold0.py:259-275,MISSING,Pathology-aware decode thresholds edema_prob without availability mask,Large no-T2 edema voxel counts appear in prediction sanity,Set edema logits to background or block class_4 when T2 absent,P0
formal_result,results/20260703_srr_formal_training/metrics_summary.md,NOT_COMPLIANT,Best scar Dice 0.1665 and edema GT-positive Dice 0.0868 far below nnU-Net,Current run is not proof SRR-v2.5 idea failed,Do not continue same PropRef as primary fix,P0
