phase,run_label,checkpoint_name,checkpoint_path,checkpoint_sha256,bytes,route_C_generated
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_best.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_best.pt,8bddcbbd760babe5c3241915ca925cf47cc36bf27128eb682ed3ea043a4d1ae4,370017933,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_final.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_final.pt,386d06fc4b72a4bc7c023c107a6a674c91e28d8671099fb57eabc9cf5b17ded6,370018618,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_11662.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_11662.pt,a93d986e2fa13bbc4542edc34cb83d4cd519b4964fefbeee2edf7a79bfbe8571,370031818,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_13328.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_13328.pt,1112147d9db547481327ea13ae14a208552afb87fcfb0ec81c1a3416ae0c744e,370031818,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_14994.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_14994.pt,313c344600b26ca67406946e472bc99226681ff8e0824fd3144fe6944b026bd3,370031818,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_15000.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_15000.pt,b3c18ddea4ee87cdcbe2aca825fb402d33d1edaee300c0c7be1dc6a2cc910818,370031818,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_1666.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_1666.pt,33a64cd26e9a3041105d0bee1a71155b09c4f77ff61556acd5a0cf1e021d53ba,370031005,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_16660.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_16660.pt,331e4fff6d4dcc711f0abd0eb4199ed571646312404e4323fe1d9b8e9f3c8ff1,370031818,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_18326.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_18326.pt,c0c85709786a9499c769234de4d3170e4d4f55fe6fec487b5ee0fd8e0ff78a7a,370031818,false_read_only_input
d2_hierarchical_psip,m10_d2_hierarchical_psip_formal,checkpoint_validation_step_19992.pt,/users/a/e/aereinh/CARE/results/20260711_srr_v3_m10_complete_mechanism_repair/runtime/m10_myops_training_executor/partition_race_retry11/htzhulab/variants/m10_d2_hierarchical_psip_formal/checkpoints/fold_0/propref_config/checkpoint_validation_step_19992.pt,78e3fcbace5738249e3ae0beb99093a1cf6e3f319f9391786d92ba70a8e66378,370031818,false_read_only_input
