observation_set,representer,required_modalities,availability_mask
lge_only,shared_anatomy,LGE,1
lge_only,lge_private,LGE,1
lge_only,c0_private,C0,0
lge_only,t2_private,T2,0
lge_only,interaction_lge_c0,"LGE,C0",0
lge_only,interaction_lge_t2,"LGE,T2",0
lge_only,interaction_t2_c0,"T2,C0",0
lge_c0,shared_anatomy,LGE,1
lge_c0,lge_private,LGE,1
lge_c0,c0_private,C0,1
lge_c0,t2_private,T2,0
lge_c0,interaction_lge_c0,"LGE,C0",1
lge_c0,interaction_lge_t2,"LGE,T2",0
lge_c0,interaction_t2_c0,"T2,C0",0
lge_t2_c0,shared_anatomy,LGE,1
lge_t2_c0,lge_private,LGE,1
lge_t2_c0,c0_private,C0,1
lge_t2_c0,t2_private,T2,1
lge_t2_c0,interaction_lge_c0,"LGE,C0",1
lge_t2_c0,interaction_lge_t2,"LGE,T2",1
lge_t2_c0,interaction_t2_c0,"T2,C0",1
