source_file,source_heading,destination_file,destination_anchor,migration_status,content_note
TODO.md,# SRR-v3 / M8 实现审阅 TODO,wiki/history/M08/components/availability-no-t2.md,availability-no-t2,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,## 1. 按模块逐项审计：哪些做到了，哪些没做到位,wiki/history/M08/components/availability-no-t2.md,availability-no-t2,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,### 1.1 Availability / no-T2 safety：基本落实，但只解决了安全，不解决性能,wiki/history/M08/components/availability-no-t2.md,availability-no-t2,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,### 1.2 Modality encoder + retrieval dictionary：有实现，但不等于完整 SRR 语义检索系统,wiki/history/M08/components/retrieval-dictionary.md,retrieval-dictionary,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,### 1.3 Prototype / negative memory：有真实 train/OOF fitting，但不是我们想象中的强 memory bank,wiki/history/M08/components/proposal.md,proposal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,### 1.4 Anatomy prior：有实现，但仍然依赖内部 anatomy head 和 anchor context，没有被证明是强解剖定位器,wiki/history/M08/components/availability-no-t2.md,availability-no-t2,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,### 1.5 Proposal：有公式、有 logits、有 prototype similarity，但可能被 anchor/context 和保守 gate 稀释,wiki/history/M08/components/proposal.md,proposal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,### 1.6 Soft ROI refiner：有实现，但实际是小 crop residual，不是完整 lesion formation engine,wiki/history/M08/components/refiner.md,refiner,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,### 1.7 Branch arbitration / final output：这是当前最接近“nnU-Net 做主角”的地方,wiki/history/M08/components/arbitration.md,arbitration,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,### 1.8 Loss：有很多 loss，但 M8 变体 loss weight 可能严重 miswired,wiki/history/M08/components/losses.md,losses,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,### 1.9 Checkpoint selection：实现与配置声明不一致,wiki/history/M08/components/availability-no-t2.md,availability-no-t2,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,### 1.10 Training budget：不是 smoke，但仍不等于完整路线验证,wiki/history/M08/components/losses.md,losses,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,### 1.11 CineMA / Cine registration：只是诊断性 proxy，不是完整 Cine route,wiki/history/M08/components/cine-temporal.md,cine-temporal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,## 2. 我对 Codex 当前实现的信任结论,wiki/history/M08/components/availability-no-t2.md,availability-no-t2,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,## 3. 为什么“按照挑战赛难点设计”仍然可能没涨分,wiki/history/M08/components/losses.md,losses,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
TODO.md,## 4. 下一步应该做什么,wiki/history/M08/components/losses.md,losses,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,# TODO M10：M9 follow-up 期间的路线级代码审计与下一轮规划,wiki/history/M09/components/cine-temporal.md,cine-temporal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,## 0. 当前总判断,wiki/history/M09/components/proposal.md,proposal,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,## 1. 协议和证据层问题,wiki/history/M09/components/training-evidence.md,training-evidence,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 1.1 M9 packet ready 状态与证据文件冲突,wiki/history/M09/components/retrieval-dictionary.md,retrieval-dictionary,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,### 1.2 Validator 不是 fail-closed,wiki/history/M09/components/training-evidence.md,training-evidence,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
todo-m10.md,## 2. nnU-Net 角色问题,wiki/history/M09/components/losses.md,losses,migrated,保留 ORIGINAL_ANALYSIS 原文段落；按组件归档
