path,line,detector,classification,action,fingerprint
controller_notifications/README.md,11,smtp_password_name,FALSE_POSITIVE_IDENTIFIER_OR_FORBIDDEN_FIELD_NAME,retained; no secret value present,ef448cbe4b161113
controller_notifications/notify_goal_watcher.py,538,smtp_password_name,FALSE_POSITIVE_IDENTIFIER_OR_FORBIDDEN_FIELD_NAME,retained; no secret value present,ef448cbe4b161113
controller_notifications/notify_goal_watcher.py,552,smtp_password_name,FALSE_POSITIVE_IDENTIFIER_OR_FORBIDDEN_FIELD_NAME,retained; no secret value present,ef448cbe4b161113
controller_notifications/notify_goal_watcher.py,1309,smtp_password_name,FALSE_POSITIVE_IDENTIFIER_OR_FORBIDDEN_FIELD_NAME,retained; no secret value present,ef448cbe4b161113
controller_notifications/notify_goal_watcher.py,1311,smtp_password_name,FALSE_POSITIVE_IDENTIFIER_OR_FORBIDDEN_FIELD_NAME,retained; no secret value present,ef448cbe4b161113
controller_notifications/notify_goal_watcher.py,1373,smtp_password_name,FALSE_POSITIVE_IDENTIFIER_OR_FORBIDDEN_FIELD_NAME,retained; no secret value present,ef448cbe4b161113
scripts/validation/validate_care_test_docker_server_final_submission_readiness_confirm.py,56,rclone_token,FALSE_POSITIVE_IDENTIFIER_OR_FORBIDDEN_FIELD_NAME,retained; no secret value present,6c8a7d4aa21708a4
scripts/validation/validate_care_test_docker_server_final_submission_readiness_confirm.py,56,rclone_token,FALSE_POSITIVE_IDENTIFIER_OR_FORBIDDEN_FIELD_NAME,retained; no secret value present,83d151a98eac0d0c
tests/ops/test_controller_notifications.py,380,smtp_password_name,FALSE_POSITIVE_TEST_FIXTURE,retained with example.org test identities,ef448cbe4b161113
tests/ops/test_controller_notifications.py,450,smtp_password_name,FALSE_POSITIVE_TEST_FIXTURE,retained with example.org test identities,ef448cbe4b161113
tests/ops/test_controller_notifications.py,548,smtp_password_name,FALSE_POSITIVE_TEST_FIXTURE,retained with example.org test identities,ef448cbe4b161113
tests/ops/test_controller_notifications.py,569,smtp_password_name,FALSE_POSITIVE_TEST_FIXTURE,retained with example.org test identities,ef448cbe4b161113
tests/ops/test_controller_notifications.py,584,smtp_password_name,FALSE_POSITIVE_TEST_FIXTURE,retained with example.org test identities,ef448cbe4b161113
