object,size,path
a889cd7a4a837207e0a50d557cf58e5450834178,53036654,results/20260730_care_failure_forensics_deep_research_packet/v4_atlas_pages_a3_landscape.pdf
8bbae8369d333b5f12bc33c24735b0122d01dc3e,36616880,results/20260730_care_failure_forensics_deep_research_packet/CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v3.pdf
29b38a4477be2038c416c1d185daa33b6b82e416,27623191,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_batch_composition.csv
b651851a997c2f8625ff9e2912bded519a810156,23386228,results/20260629_srr_v2_unet_core/capacity_targeted_extras/retrieval_usage.csv
f1c092f1a8fe165525b2752c50fb1c895688e131,20820965,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_batch_composition.csv
e5dcd52d7163c572649ecaf38bcc0312f9ee167b,20751981,results/20260629_srr_v2_unet_core/light_refine_extras/retrieval_usage.csv
6d13ad32469a246747e6da9c496d3c577e47189e,20065094,results/20260629_srr_v2_unet_core/capacity_extras/retrieval_usage.csv
202acbc831cbc1bd87504011ec198a727d186633,14019834,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_batch_composition.csv
d844b81b91044b10fa095f77c13dfb05213038fb,13491902,results/20260629_srr_v2_unet_core/balanced_targeted_extras/retrieval_usage.csv
a72ef72b91632fb8cdda6aaa3a50363fa357e8f6,13490640,results/20260629_srr_v2_unet_core/capacity_targeted_extras/variants/srr_v2_capacity12_edema_t2_focus/retrieval_usage.csv
1efe7e594219d1b086b516f34171e54f5c832de3,12170128,results/20260629_srr_v2_unet_core/targeted_extras/retrieval_usage.csv
0dc677c57d7d35df8b271b049453bb1dab3239e7,10502920,results/20260629_srr_v2_unet_core/combined_sources/retrieval_usage.csv
e9f164eda6dcc5109091e226ec37a467d262e2dd,10425674,results/20260629_srr_v2_unet_core/light_refine_extras/variants/srr_v2_light_refine_hardneg/retrieval_usage.csv
32ac15438365fec25d1467ab3f5eda82079b39d1,10326363,results/20260629_srr_v2_unet_core/light_refine_extras/variants/srr_v2_light_refine_lowmix/retrieval_usage.csv
1e743a1bcea696d0b326d3df4aa744303722acec,10210793,results/20260629_srr_v2_unet_core/capacity_extras/variants/srr_v2_capacity12_proposal/retrieval_usage.csv
a3e6aefb349dc4dbda961d87e87b0b606fa2ed40,9895644,results/20260629_srr_v2_unet_core/capacity_targeted_extras/variants/srr_v2_capacity12_scar_precision_nointeract/retrieval_usage.csv
2d16655234f55640326230d9b01a7703a652a457,9854357,results/20260629_srr_v2_unet_core/capacity_extras/variants/srr_v2_capacity12_hardneg/retrieval_usage.csv
1ca3f5c0e7a88d35bbc5abe164f9d771b45a5913,9593996,results/20260626_lesion_compact/dictionary_usage.csv
e9ce6da6a7eee8a065adb852a382e126cefd86c6,8900301,results/route_C/round03/R1/checkpoint_raw_output_manifest.csv
01a7f46568d43194164d5930142eb9189b58858b,8607581,results/20260626_dict_bank/dictionary_usage.csv
07cab742af9f1d4ee817586ce85b11b996f83edb,7106738,results/20260626_dict_bank/dictionary_usage.csv
4a115f6c31ff50530f303a8049bf3677f7739761,7037972,docs/literature/domain_adaptation/Unpaired Volumetric Harmonization of Brain MRI with Conditional Latent Diffusion - Wu.pdf
d2da81a5191c64941bb1d6d4081d550086655833,6910001,results/20260629_srr_v2_unet_core/balanced_targeted_extras/variants/srr_v2_capacity12_scar_precision_interact/retrieval_usage.csv
47be70406ae918095e30c14486c9b6374cf7d6a0,6635468,results/20260628_myops_proposal/retrieval_usage.csv
49729abfc276e166fb283510c81b550ccebf2e6e,6592817,results/20260629_srr_v2_unet_core/targeted_extras/variants/srr_v2_scar_precision_nointeract/retrieval_usage.csv
004d891211a98963c47961b00b21c6ca16ac7e70,6581957,results/20260629_srr_v2_unet_core/balanced_targeted_extras/variants/srr_v2_capacity12_balanced_lowmix/retrieval_usage.csv
9e3dec6597df6f0cb02e37d01636200611613281,5915061,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_proposal_refiner_recall_precision.csv
b768e8da2ff8779207910e9e796d508ac56c1a09,5866351,results/20260626_dict_bank/dictionary_usage.csv
234094cbbdd7620d74da9f7c000d7c1e1f6ffb82,5577367,results/20260629_srr_v2_unet_core/targeted_extras/variants/srr_v2_edema_t2_focus/retrieval_usage.csv
4149f243900350444fc9e54eb605deae44405d56,5324764,results/20260629_srr_v2_unet_core_htzhulab_fallback/variants/srr_v2_proposal_uncertainty_hardneg/retrieval_usage.csv
244892e86e227ea82ac75921a1126686d6661a55,5178212,results/20260629_srr_v2_unet_core_htzhulab_fallback/variants/srr_v2_multiscale_private_proposal/retrieval_usage.csv
95c31bbbde4066c9a82ae3fdfe1b28986b0ee5b6,5161445,results/20260629_repaired_proposal_repeat/retrieval_usage.csv
8af39f9bc0bfc4d82546e4c2b967081f89ff5e10,4577034,results/20260730_care_failure_forensics_deep_research_packet/CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v2.pdf
3e6a4f823388539a9445acc1bdf35034b669e3a6,4552901,docs/literature/domain_adaptation/Semi-Supervised Unpaired Medical Image Segmentation Through Task-Affinity Consistency - Chen.pdf
5578a66ce44dc0d40f9bc4179b42cda9e963ad16,4043537,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_training_curves.csv
bfc2f4cce989206b589387511cea24b96b50eae2,3941890,results/20260730_care_failure_forensics_deep_research_packet/case_montages_v3/contact_sheet_40_cases.png
8241c32d2c99c06888ff4699940652644c4aba36,3636166,docs/literature/baseline/Ding 等 - 2023 - Aligning Multi-Sequence CMR Towards Fully Automated Myocardial Pathology Segmentation.pdf
12c9ffb4f3950812ddb15c42fe5896c05216c62e,3563071,results/20260803_care_ase_r2_last_hotfix_v9/hard_negative_manifest_fold4.json
6def40cf06a5d08c8f3a2c553fec0981416743c1,3556917,results/20260803_care_ase_r2_last_hotfix_v9/hard_negative_manifest_fold1.json
1b8898018dcec2287c2f6281d24f33c18fd32524,3420276,results/20260730_care_failure_forensics_deep_research_packet/CARE_Failure_Forensics_Deep_Research_Evidence_Packet_20260730_v4.pdf
03b72b6df6999b9b929e3630881f73a96069b769,3327170,docs/presentation/2026_08_01_care_group_meeting/CARE_hard_case_supplement_a3_landscape.pdf
5063daa6670e82ca1505570d7f3f83364a5e7b59,3303398,results/20260626_dict_bank/dictionary_usage.csv
4f2e18c79a3a6ecafd909bc4c6cc70d6d95317dd,3253531,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_loss_component_by_step.csv
bcd3ff0197e19553a53fd0ebcfe5667129672fc0,3177082,docs/literature/baseline/Ding 等 - 2025 - CineMyoPS Segmenting Myocardial Pathologies from Cine Cardiac MR.pdf
1ae734129fcba4f0d1c784336b298f899a65511d,3164897,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/gate_b_r1_old_run_diagnostic/old_checkpoint_candidate_rows.csv
71059c6ed23848f0a56b52704ce1fcb547891972,3149234,results/route_C/round03/R1/all_checkpoint_case_metrics.csv
7866d905162558fbfb4a25fa84a38647563c4799,2903153,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_proposal_refiner_recall_precision.csv
ec60e2a920e025fbcd5e87943b6352c906e91efa,2822439,results/20260705_srr_v3_m7_training_and_cine_utilization/loss_component_by_step.csv
90d6b9bd43be64b9a255c462769679f4ea930724,2725286,results/20260731_care_qif_v2_signal_audit/batch_descriptor_manifest_CB.jsonl
d0ed9e14861dc531fcfea6fbd5a01b053ec8ea65,2725188,results/20260731_care_qif_v2_signal_audit/batch_descriptor_manifest_BC.jsonl
8cf5cb407d80e8ea8c25cc52b39dd6872587a711,2678133,results/20260731_care_myowall_geometry_diagnostic_closure/geometry_diagnostic_atlas.pdf
d0396f101d763a1b4a317b45bcebcdcc7921a9cd,2634961,results/20260625_srr_recovery/retrieval_usage.csv
80c4f23f60b3baabf5d0a70d1d7db2f5cb50e1fa,2613976,docs/literature/baseline/Qiu 等 - 2023 - MyoPS-Net Myocardial pathology segmentation with flexible combination of multi-sequence CMR images.pdf
160cb44843cc5142b90879eb10af1e0abc9ac99b,2598420,results/20260625_srr_recovery/retrieval_usage.csv
82544258f35f01cafe52ed8ecd203456dd509451,2563008,results/20260626_dict_bank/variants/cross_modal_interaction_dictionary/retrieval_usage.csv
0a0c29bbcaf4735eeca5fefa4b2fd86a8b38d30d,2509980,docs/literature/domain_adaptation/DomainATM Domain adaptation toolbox for medical data analysis - Guan.pdf
f061585e066da0a0e896a78b980fac3736f33e14,2484151,results/20260626_lesion_compact/variants/component_compactness_loss/retrieval_usage.csv
f59c13ea8eb57b1ac69d057542c40a6df98f4b36,2456034,results/20260731_care_qif_v2_signal_audit/case_atlas_contact_sheet.png
76a78694ca90fedc14d782e24acc935925151298,2439734,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_loss_component_by_step.csv
abd4a241b24ff391028752da52b146739f43d72c,2439713,results/20260626_lesion_compact/variants/edema_t2_center_balance/retrieval_usage.csv
89ec1cc8de4918f618af10fcd86678d01d72899d,2421643,results/20260626_lesion_compact/variants/soft_anatomy_containment/retrieval_usage.csv
5d1f11a073cd192003c195a88933c191374fc7e3,2419658,results/20260704_myops_anchor_srr_fold0_formal/proposal_pr_sweep.csv
e583576b7c235f05024d8c39e1fa58c3ed2b66c6,2348769,results/20260626_dict_bank/variants/multiscale_dictionary/retrieval_usage.csv
9ed2615d22d9ad7d203c039f046004e32dcf03db,2248654,results/20260626_lesion_compact/variants/scar_lge_fallback_boost/retrieval_usage.csv
7e8b085607ffded1565e43c98160ab3308b46dd4,2170787,results/20260803_care_ase_r2_full_fidelity_execution/hard_negative_manifest_fold4.json
2f3e119d40081692e380962eeea210a65d6d6bee,2068363,results/20260803_care_ase_r2_full_fidelity_execution/hard_negative_manifest_fold1.json
77536e8cc6cfe99fdefa9c23332e40310ed18cfc,2036156,docs/literature/domain_adaptation/Source-free unsupervised domain adaptation A survey - Fang.pdf
97991f1390b819049edbcb5ad96d252a3a210301,1976877,docs/literature/domain_adaptation/Approximation and sampling of multivariate probability distributions in the tensor train decomposition - Dolgov.pdf
3a60d4c05dd135921f6e02026981aab8860f9e4f,1939234,images/SRR-v2.5.png
4044008460c342f7e1c30e4882adb0554a56fd3f,1935591,results/20260708_srr_v3_m9_dictionary_fidelity_repair_training/m9_proposal_refiner_recall_precision.csv
d8ab863fd1625c9166e359591f9bfa717f9e2794,1930919,images/SRR-v3.png
cc05f03e9594544123923ccd0e8923bd5f5697df,1887656,results/20260703_srr_formal_training/proposal_pr_sweep.csv
89df8806eb3c90932fadb1963420912d707b6305,1812103,results/20260629_repaired_proposal_repeat/variants/repaired_joint_calibrated_proposal/retrieval_usage.csv
bcec3cea4d79b67ec0fe929b8c7475604459ad4e,1778522,results/20260731_care_myowall_geometry_diagnostic_closure/geometry_diagnostic_contact_sheet.png
d8f88cd5e462fd28e4446c65a0b0f3088644bdd8,1758100,images/SRR-v2.png
2351829007a0c4b8da77ed13e4cf66ff3ebcbdb1,1679163,results/20260629_repaired_proposal_repeat/variants/repaired_uncertainty_hardneg/retrieval_usage.csv
fd01b5b90c065a2c966d3aa6aa2f8d6550046a0f,1670291,results/20260629_repaired_proposal_repeat/variants/repaired_posneg_scar_hardneg/retrieval_usage.csv
a2db75c1d75d5296913fc27e41692b4d3ddc065b,1640565,results/20260731_care_myopath_a0_a3_full_volume_closure/full_volume_case_contact_sheet.png
9bf54d80eee701d457d53c8a8031c7d4d15b0880,1630994,results/20260707_srr_v3_m8_editor_grade_leaderboard_sprint/m8_loss_component_by_step.csv
a102b89bf958e71a7b2c2ced596298f2148436b6,1624904,images/SRR-v1.5.png
