file,description,size_bytes,sha256,width,height,source_zip_backup,source_zip_sha256
docs/architecture/figures/SRR-v2.png,SRR v2 architecture reference.,1758100,2c77d92eb652e88fdf69d40ee13eeb7a66d37755041bfff2a0c1756f1fa1ac8a,1448,1086,/users/a/e/aereinh/.public-repo-cleanup/20260805_CARE/architecture_zip_original/CARE_architecture_figures.zip,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
docs/architecture/figures/SRR-v2.5.png,SRR v2.5 architecture reference.,1939234,674453e11a8d1466038ac4a22ae68332aabf9482f23d3f90e559649def6606f9,1536,1024,/users/a/e/aereinh/.public-repo-cleanup/20260805_CARE/architecture_zip_original/CARE_architecture_figures.zip,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
docs/architecture/figures/SRR-v3.png,SRR v3 architecture reference.,1930919,50478ee7c07cedb6a921902aa5daa8f6ecf3b34aa2fc5e97905d60c585ea72b5,1491,1055,/users/a/e/aereinh/.public-repo-cleanup/20260805_CARE/architecture_zip_original/CARE_architecture_figures.zip,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
docs/architecture/figures/CARE-MMRD.png,CARE-MMRD architecture reference.,1713337,c90bf7582ff139fe1b785e4dac51c55b4ec0c8f676654dd03c9b17e551489859,1672,941,/users/a/e/aereinh/.public-repo-cleanup/20260805_CARE/architecture_zip_original/CARE_architecture_figures.zip,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
docs/architecture/figures/CARE-SRR-Cascade.png,CARE-SRR-Cascade architecture reference.,2066218,3596356c52a01de5cf29bdae6591ce733bc209403f3f6e8429f8a1374e66ef50,1672,941,/users/a/e/aereinh/.public-repo-cleanup/20260805_CARE/architecture_zip_original/CARE_architecture_figures.zip,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
docs/architecture/figures/MoSAIC.png,MoSAIC architecture reference.,1764507,d2ea85c5ba40521dc65a56d85124ecfc9a2e40ac5eff206c10cff8fbf04e09fb,1536,1024,/users/a/e/aereinh/.public-repo-cleanup/20260805_CARE/architecture_zip_original/CARE_architecture_figures.zip,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
docs/architecture/figures/CARE-DG.png,CARE-DG architecture reference.,1966045,6be1b2cae31d3c4f77576f8fe8eb1df39c6623adf86729910cbd31bcfe12ad00,1774,887,/users/a/e/aereinh/.public-repo-cleanup/20260805_CARE/architecture_zip_original/CARE_architecture_figures.zip,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
docs/architecture/figures/CARE-ARC.png,CARE-ARC architecture reference.,1807839,387f77d42dc9c4f802fda1bdee0eb67fec46dabe921dbf971f7cde5bbcf845b8,1774,887,/users/a/e/aereinh/.public-repo-cleanup/20260805_CARE/architecture_zip_original/CARE_architecture_figures.zip,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
docs/architecture/figures/CARE-PRISM.png,CARE-PRISM architecture reference.,1643820,31bb8138bc6291d6e116fc605d7a2060a15ce7c3eca25d5da59e419fc2698135,1536,1024,/users/a/e/aereinh/.public-repo-cleanup/20260805_CARE/architecture_zip_original/CARE_architecture_figures.zip,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
docs/architecture/figures/CARE-MyoWall-IF.png,CARE-MyoWall-IF architecture reference.,1625411,1dc3ecf58f1fffdeb7c36de948f99743a61e39861c08b57378da8c84d536e914,1672,941,/users/a/e/aereinh/.public-repo-cleanup/20260805_CARE/architecture_zip_original/CARE_architecture_figures.zip,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
docs/architecture/figures/CARE-ASE.png,CARE-ASE architecture reference.,1795901,af8f47713961c3b6b03dd24283b8f18d51fb5043ab1699997db2713e525710b2,1774,887,/users/a/e/aereinh/.public-repo-cleanup/20260805_CARE/architecture_zip_original/CARE_architecture_figures.zip,46e9d10269b960a40862950c7b4699e94c4d5242a05923f5052e046a76e15f37
