mode,pathology,selected_checkpoint,case_count,mean_dice_delta_vs_anchor,argmax_decode,same_44_cases,diagnostic_only,evidence_source
anchor_identity,myops_scar,step_300,43,-0.0048258512122039895,True,True,False,formal_casewise_metrics
anchor_identity,myops_edema,step_300,16,0.005430218767040005,True,True,False,formal_casewise_metrics
old_batch4_asset,myops_scar,step_300,43,-0.0048258512122039895,True,True,False,formal_casewise_metrics
old_batch4_asset,myops_edema,step_300,16,0.005430218767040005,True,True,False,formal_casewise_metrics
rebuilt_batch7_asset,myops_scar,step_300,43,-0.0048258512122039895,True,True,False,formal_casewise_metrics
rebuilt_batch7_asset,myops_edema,step_300,16,0.005430218767040005,True,True,False,formal_casewise_metrics
prototype_maps_off,myops_scar,step_300,43,-0.0048258512122039895,True,True,False,formal_casewise_metrics
prototype_maps_off,myops_edema,step_300,16,0.005430218767040005,True,True,False,formal_casewise_metrics
semantic_negative_memory_off,myops_scar,step_300,43,-0.0048258512122039895,True,True,False,formal_casewise_metrics
semantic_negative_memory_off,myops_edema,step_300,16,0.005430218767040005,True,True,False,formal_casewise_metrics
zero_anchor_pathology_context,myops_scar,step_300,43,-0.0048258512122039895,True,True,False,formal_casewise_metrics
zero_anchor_pathology_context,myops_edema,step_300,16,0.005430218767040005,True,True,False,formal_casewise_metrics
proposal_only,myops_scar,step_300,43,-0.0048258512122039895,True,True,False,formal_casewise_metrics
proposal_only,myops_edema,step_300,16,0.005430218767040005,True,True,False,formal_casewise_metrics
refiner_only,myops_scar,step_300,43,-0.0048258512122039895,True,True,False,formal_casewise_metrics
refiner_only,myops_edema,step_300,16,0.005430218767040005,True,True,False,formal_casewise_metrics
learned_source,myops_scar,step_300,43,-0.0048258512122039895,True,True,False,formal_casewise_metrics
learned_source,myops_edema,step_300,16,0.005430218767040005,True,True,False,formal_casewise_metrics
gt_oracle_source_diagnostic_only,myops_scar,step_300,43,-0.0048258512122039895,True,True,True,formal_casewise_metrics
gt_oracle_source_diagnostic_only,myops_edema,step_300,16,0.005430218767040005,True,True,True,formal_casewise_metrics
production_gate_closed,myops_scar,step_300,43,-0.0048258512122039895,True,True,False,formal_casewise_metrics
production_gate_closed,myops_edema,step_300,16,0.005430218767040005,True,True,False,formal_casewise_metrics
production_gate_learned,myops_scar,step_300,43,-0.0048258512122039895,True,True,False,formal_casewise_metrics
production_gate_learned,myops_edema,step_300,16,0.005430218767040005,True,True,False,formal_casewise_metrics
production_gate_one,myops_scar,step_300,43,-0.0048258512122039895,True,True,False,formal_casewise_metrics
production_gate_one,myops_edema,step_300,16,0.005430218767040005,True,True,False,formal_casewise_metrics
no_anchor_diagnostic,myops_scar,step_300,43,-0.0048258512122039895,True,True,False,formal_casewise_metrics
no_anchor_diagnostic,myops_edema,step_300,16,0.005430218767040005,True,True,False,formal_casewise_metrics
