path,legacy_status,formal_entrypoint_policy,synthetic_or_proxy_evidence,checkpoint_continuity,metric_source,batch0_action
scripts/training/route_B_round04/myops/B3/run_B3_representation.py,legacy_round04_synthetic,forbidden_formal_entrypoint,torch.randn x and anchor plus handcrafted target,no parent model load; writes own synthetic checkpoint,self-reported adequacy and synthetic loss,listed in configs/srr_production/entrypoints.yaml forbidden_formal_entrypoints
scripts/training/route_B_round04/myops/B4/run_B4_proposal.py,legacy_round04_synthetic,forbidden_formal_entrypoint,torch.randn x and anchor plus handcrafted proposal targets,checks B3 token/reload receipt then reinitializes model,hard-coded proposal_auc_proxy plus synthetic coverage,listed in configs/srr_production/entrypoints.yaml forbidden_formal_entrypoints
scripts/training/route_B_round04/myops/B5/run_B5_refiner.py,legacy_round04_synthetic,forbidden_formal_entrypoint,torch.randn x and anchor plus handcrafted scar/edema target,checks B4 token/proposal CSV then reinitializes model,hard-coded dice_proxy plus synthetic effect metrics,listed in configs/srr_production/entrypoints.yaml forbidden_formal_entrypoints
scripts/training/route_B_round04/myops/B6/run_B6_joint.py,legacy_round04_synthetic,forbidden_formal_entrypoint,train_joint uses torch.randn x and random anchor plus handcrafted target,checks B5 token and B0 receipt then reinitializes model,fixed formula casewise local proxy dice,listed in configs/srr_production/entrypoints.yaml forbidden_formal_entrypoints
scripts/training/route_B_round04/cine/B7/run_B7_cinema_control.py,legacy_round04_synthetic_cine,forbidden_formal_entrypoint,torch.randn frame and zeros target; official CineMA only isolated probe,no downstream parent model load,adapter training adequacy on synthetic feature target,listed in configs/srr_production/entrypoints.yaml forbidden_formal_entrypoints
scripts/training/route_B_round04/cine/B8/run_B8_registration.py,legacy_round04_synthetic_cine,forbidden_formal_entrypoint,make_pair uses random fixed/moving and torch.roll; real manifest only supplies case IDs,checks B7 token/file existence only,registration receipts from synthetic pair; SyN executable missing rows recorded,listed in configs/srr_production/entrypoints.yaml forbidden_formal_entrypoints
jobs/route_B_round04/run_B3_representation.sh,legacy_round04_wrapper,forbidden_formal_entrypoint,calls B3 synthetic script with --formal,delegates to B3,delegates to B3,listed in configs/srr_production/entrypoints.yaml forbidden_formal_entrypoints
jobs/route_B_round04/run_B4_proposal.sh,legacy_round04_wrapper,forbidden_formal_entrypoint,calls B4 synthetic script with --formal,delegates to B4,delegates to B4,listed in configs/srr_production/entrypoints.yaml forbidden_formal_entrypoints
jobs/route_B_round04/run_B5_refiner.sh,legacy_round04_wrapper,forbidden_formal_entrypoint,calls B5 synthetic script with --formal,delegates to B5,delegates to B5,listed in configs/srr_production/entrypoints.yaml forbidden_formal_entrypoints
jobs/route_B_round04/run_B6_joint.sh,legacy_round04_wrapper,forbidden_formal_entrypoint,calls B6 synthetic script with --formal,delegates to B6,delegates to B6,listed in configs/srr_production/entrypoints.yaml forbidden_formal_entrypoints
jobs/route_B_round04/run_B7_cinema_control.sh,legacy_round04_wrapper,forbidden_formal_entrypoint,calls B7 synthetic script with --formal,delegates to B7,delegates to B7,listed in configs/srr_production/entrypoints.yaml forbidden_formal_entrypoints
jobs/route_B_round04/run_B8_registration.sh,legacy_round04_wrapper,forbidden_formal_entrypoint,calls B8 synthetic script with --formal,delegates to B8,delegates to B8,listed in configs/srr_production/entrypoints.yaml forbidden_formal_entrypoints
scripts/training/run_srr_propref_myops_fold0.py,current_srr_candidate,not_formal_yet,uses real Dataset501 cases and cached nnU-Net anchors; random is used for sampling/seeded augmentation not science data generation in normal runner,single-run checkpoints saved/reloaded; optimizer/prototype continuity not formalized,prediction/GT recomputed local metrics,candidate only; formal_training_status remains BLOCKED_PENDING_BATCH1_REPAIR
scripts/evaluation/evaluate_predictions.py,current_evaluator_candidate,not_training_formal,none; reads prediction/GT NIfTI,not applicable,prediction/GT recomputed Dice and optional HD/HD95,candidate evaluator only until formal config binds empty-GT and fold semantics
src/care_myocardium/models/srr_propref.py,current_model_source,model_selected_not_training_entrypoint,deterministic_axis_prototypes default inside ProposalDictionary until real bank loaded,model class only not checkpoint manager,not a metric source,selected_model in authority config; Batch1 must repair prototype/memory authority
src/care_myocardium/models/srr_dictionary_memory.py,current_memory_helper,not_formal_alone,no random tensors; deterministic shard assignment by case id,not checkpoint manager,not metric source,declared helper; not connected to SRRProposeRefineMyoPS proposal path
