variant,encoder_profile,dictionary_config,spatial_dictionary_enabled,pattern_sip_enabled,memory_enabled,anchor_source,anchor_role,final_logits_formula,formal_entrypoints,training_entrypoints,inference_entrypoints,scientific_status
srr_propref_shared_dual_dict,tiny_3scale default unless CLI overrides,legacy_interaction_slots,false,false,false,call-time anchor_features; run_srr_propref can load nnU-Net fold validation npz and prediction components,ANCHOR_RESIDUAL_CONTROL_OR_LEGACY_CONTEXT,final_logits=BaselinePreservingResidualGate(anchor_logits + gated bounded_delta from srr_logits); missing anchor passes through srr_logits,none,scripts/training/run_srr_propref_myops_fold0.py candidate,runner evaluate() writes NIfTI predictions from checkpoint_best/final,legacy baseline residual; real but incomplete
srr_propref_scar_precision,tiny_3scale default unless CLI overrides,legacy_interaction_slots,false,false,false,call-time anchor_features; run_srr_propref can load nnU-Net fold validation npz and prediction components,ANCHOR_RESIDUAL_CONTROL_OR_LEGACY_CONTEXT,final_logits=BaselinePreservingResidualGate(anchor_logits + gated bounded_delta from srr_logits); missing anchor passes through srr_logits,none,scripts/training/run_srr_propref_myops_fold0.py candidate,runner evaluate() writes NIfTI predictions from checkpoint_best/final,legacy baseline residual; real but incomplete
srr_propref_no_proto_cascade,tiny_3scale default unless CLI overrides,legacy_interaction_slots,false,false,false,call-time anchor_features; run_srr_propref can load nnU-Net fold validation npz and prediction components,ANCHOR_RESIDUAL_CONTROL_OR_LEGACY_CONTEXT,final_logits=BaselinePreservingResidualGate over no-prototype proposal/refiner logits; proposal uses conv/evidence/anchor/anatomy without prototype similarity,none,scripts/training/run_srr_propref_myops_fold0.py candidate,runner evaluate() writes NIfTI predictions from checkpoint_best/final,legacy baseline residual no-prototype control; real but incomplete
m6_full_srr_context_arbitration,balanced_4scale,dict_full_interaction,false,false,false,call-time anchor_features; run_srr_propref can load nnU-Net fold validation npz and prediction components,ANCHOR_RESIDUAL_CONTROL_OR_LEGACY_CONTEXT,final_logits=BranchArbitrationGate(anchor_logits + branch_delta from SRR/proposal/refiner deltas),none,scripts/training/run_srr_propref_myops_fold0.py candidate via direct variant or M7/M8 alias,runner evaluate() writes NIfTI predictions from checkpoint_best/final,M6 branch arbitration; real but incomplete
m6_conservative_component_arbitration,safe_4scale,dict_conservative_private_shared,false,false,false,call-time anchor_features; run_srr_propref can load nnU-Net fold validation npz and prediction components,ANCHOR_RESIDUAL_CONTROL_OR_LEGACY_CONTEXT,final_logits=BranchArbitrationGate(anchor_logits + branch_delta from SRR/proposal/refiner deltas),none,scripts/training/run_srr_propref_myops_fold0.py candidate via direct variant or M7 alias,runner evaluate() writes NIfTI predictions from checkpoint_best/final,M6 branch arbitration; real but incomplete
m6_scar_precision_edema_safe,balanced_4scale,dict_scar_precision_edema_safe,false,false,false,call-time anchor_features; run_srr_propref can load nnU-Net fold validation npz and prediction components,ANCHOR_RESIDUAL_CONTROL_OR_LEGACY_CONTEXT,final_logits=BranchArbitrationGate(anchor_logits + branch_delta from SRR/proposal/refiner deltas),none,scripts/training/run_srr_propref_myops_fold0.py candidate via direct variant or M7/M8 alias,runner evaluate() writes NIfTI predictions from checkpoint_best/final,M6 branch arbitration; real but incomplete
m9_srr_main_true_br2_pattern_sip,balanced_4scale,dict_full_interaction,false,false,false,call-time anchor_features; run_srr_propref can load nnU-Net fold validation npz and prediction components,CONTEXT_TEACHER_SAFETY_CONTROL_ONLY,final_logits=srr_logits from anatomy evidence + edema refiner + scar refiner; anchor is context/control only,none,scripts/training/run_srr_propref_myops_fold0.py candidate,runner evaluate() writes NIfTI predictions from checkpoint_best/final,M9 pure SRR-main; real but incomplete
m9_srr_main_lesion_proposal_memory,balanced_4scale,dict_scar_precision_edema_safe,false,false,false,call-time anchor_features; run_srr_propref can load nnU-Net fold validation npz and prediction components,CONTEXT_TEACHER_SAFETY_CONTROL_ONLY,final_logits=srr_logits from anatomy evidence + edema refiner + scar refiner; anchor is context/control only,none,scripts/training/run_srr_propref_myops_fold0.py candidate,runner evaluate() writes NIfTI predictions from checkpoint_best/final,M9 pure SRR-main; memory name not wired to SafePrototypeMemoryBank in this model path
m9_srr_main_t2_edema_recall_focus,balanced_4scale,dict_full_interaction,false,false,false,call-time anchor_features; run_srr_propref can load nnU-Net fold validation npz and prediction components,CONTEXT_TEACHER_SAFETY_CONTROL_ONLY,final_logits=srr_logits from anatomy evidence + edema refiner + scar refiner; anchor is context/control only,none,scripts/training/run_srr_propref_myops_fold0.py candidate,runner evaluate() writes NIfTI predictions from checkpoint_best/final,M9 pure SRR-main; real but incomplete
m10_d0_static_matched_propref,full_4scale,srr_v3_m10_16slot,false,false,false,call-time anchor_features accepted by model but M10 final ignores anchor as final base,CONTEXT_TEACHER_SAFETY_CONTROL_ONLY,final_logits=srr_logits; m10_final_probabilities are diagnostic probabilities not assigned to outputs['logits'],none,model instantiable; not exposed in current run_srr_propref CLI,manual model forward only,M10 pure proposal-refinement; real but incomplete
m10_d1_spatial_br2_propref,full_4scale,srr_v3_m10_16slot,true,false,false,call-time anchor_features accepted by model but M10 final ignores anchor as final base,CONTEXT_TEACHER_SAFETY_CONTROL_ONLY,final_logits=srr_logits after M10TwoPassSpatialDictionary modifies scar/edema features,none,model instantiable; not exposed in current run_srr_propref CLI,manual model forward only,M10 pure proposal-refinement; real but incomplete
m10_d2_hierarchical_psip_propref,full_4scale,srr_v3_m10_16slot,true,true,false,call-time anchor_features accepted by model but M10 final ignores anchor as final base,CONTEXT_TEACHER_SAFETY_CONTROL_ONLY,final_logits=srr_logits after M10 spatial dictionary; Pattern-SIP status enabled and loss function exists,none,model instantiable; not exposed in current run_srr_propref CLI,manual model forward only,M10 pure proposal-refinement; real but incomplete
m10_d3_hierarchical_memory_propref,full_4scale,srr_v3_m10_16slot,true,true,true_flag_only,call-time anchor_features accepted by model but M10 final ignores anchor as final base,CONTEXT_TEACHER_SAFETY_CONTROL_ONLY,final_logits=srr_logits after M10 spatial dictionary; memory status says enabled but M10CrossFittedPrototypeMemory is not queried in forward,none,model instantiable; not exposed in current run_srr_propref CLI,manual model forward only,M10 pure proposal-refinement; declared memory disconnected pending Batch 1
