checkpoint_step,checkpoint,case_id,candidate_index,pathology,candidate_type,utility_score,utility_regression,accept_target,utility_target,target_reason,candidate_level_refiner_dice,roi_voxels,gt_voxels_in_candidate_roi,refined_voxels_in_candidate_roi,source
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,0,edema_zone,ADD_FN,0.01319148831794451,-0.9999729990959167,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,847,0,845,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,1,edema_zone,ADD_FN,0.009259676294049888,-0.9999939203262329,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,1800,0,1799,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,2,edema_zone,ADD_FN,0.5470614537138201,-0.6317254304885864,1,1.0,formula,0.962457337883959,188,141,152,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,3,edema_zone,ADD_FN,0.5074210938123194,-0.6242661476135254,1,1.0,formula,0.9534450651769087,392,263,274,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,4,edema_zone,ADD_FN,0.0011910706251762203,-1.0,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,516,0,516,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,5,edema_zone,ADD_FN,0.001121867163765533,-1.0,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,108,0,108,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,6,edema_zone,ADD_FN,0.12606292357090054,-0.979929506778717,0,-1.0,formula,0.0,454,0,4,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,7,edema_zone,ADD_FN,0.007415698466120424,-0.999997615814209,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,76,0,76,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,8,edema_zone,ADD_FN,0.0019129916919165396,-0.9999999403953552,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,44,0,44,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,9,edema_zone,ADD_FN,0.0017614705185288579,-0.9999999403953552,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,70,0,70,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,10,edema_zone,ADD_FN,0.0008061823563888814,-1.0,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,44,0,44,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,11,edema_zone,ADD_FN,0.0006855011504604561,-1.0,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,44,0,44,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,12,edema_zone,ADD_FN,0.014839558833638264,-0.9999709129333496,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,304,0,304,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,13,edema_zone,ADD_FN,0.00112845676023877,-1.0,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,424,0,424,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,14,edema_zone,ADD_FN,0.007016827034987246,-0.9999977946281433,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,90,0,90,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,15,edema_zone,ADD_FN,0.00114055858566625,-1.0,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,124,0,124,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,16,edema_zone,ADD_FN,0.000989028822497993,-1.0,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,145,0,145,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,17,edema_zone,ADD_FN,0.0009041395947254972,-1.0,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,309,0,309,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,18,edema_zone,ADD_FN,0.0009538097873639447,-1.0,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,57,0,57,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,19,edema_zone,ADD_FN,0.000920737247082132,-1.0,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,141,0,141,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,20,edema_zone,ADD_FN,0.0005906490599856431,-1.0,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,125,0,125,old_formal_inner12_exact_two_pass_full_volume_candidate
500,results/20260728_care_dpr_fold0_global_redesign/runtime/formal_fold0/checkpoints/checkpoint_step00500.pt,Case2003,21,edema_zone,ADD_FN,0.0006789933700807991,-1.0,0,-1.0,forced_reject_remote_gt_distance_gt_20mm,0.0,6323,0,6315,old_formal_inner12_exact_two_pass_full_volume_candidate
