checkpoint_step,pathology,threshold,accepted,rejected,positive_accepted_utility,negative_accepted_utility,signed_net_utility,harmful_accepted_candidate_count
500,scar,0.3,607,37,28.41453923200901,-319.4024294873869,-290.98789025537786,517
500,scar,0.4,237,407,6.902929768632385,-136.20241732202567,-129.2994875533933,208
500,scar,0.5,6,638,0.6508917297979798,-1.3484848484848486,-0.6975931186868687,2
500,scar,0.6,0,644,0.0,0.0,0.0,0
500,scar,0.7,0,644,0.0,0.0,0.0,0
500,edema_zone,0.3,467,693,294.76750183864823,-66.79993701808294,227.96756482056531,103
500,edema_zone,0.4,424,736,280.1224591793498,-52.54174563611706,227.58071354323272,83
500,edema_zone,0.5,229,931,161.71603356993623,-31.560690678624223,130.155342891312,44
500,edema_zone,0.6,1,1159,1.0,0.0,1.0,0
500,edema_zone,0.7,0,1160,0.0,0.0,0.0,0
1000,scar,0.3,118,586,4.762303591550008,-66.97071746122296,-62.20841386967297,105
1000,scar,0.4,13,691,1.3162667057656232,-6.1409271437391135,-4.82466043797349,10
1000,scar,0.5,0,704,0.0,0.0,0.0,0
1000,scar,0.6,0,704,0.0,0.0,0.0,0
1000,scar,0.7,0,704,0.0,0.0,0.0,0
1000,edema_zone,0.3,728,302,480.30406962558317,-82.34055748609612,397.963512139487,140
1000,edema_zone,0.4,288,742,195.69879566348732,-37.18353521894058,158.51526044454675,59
1000,edema_zone,0.5,8,1022,6.994791666666666,-1.0,5.994791666666666,1
1000,edema_zone,0.6,0,1030,0.0,0.0,0.0,0
1000,edema_zone,0.7,0,1030,0.0,0.0,0.0,0
1500,scar,0.3,28,545,1.7990129226769835,-13.53098633428002,-11.731973411603034,23
1500,scar,0.4,0,573,0.0,0.0,0.0,0
1500,scar,0.5,0,573,0.0,0.0,0.0,0
1500,scar,0.6,0,573,0.0,0.0,0.0,0
1500,scar,0.7,0,573,0.0,0.0,0.0,0
1500,edema_zone,0.3,494,453,313.44872828116513,-61.04925004355092,252.39947823761423,107
1500,edema_zone,0.4,76,871,58.748312334148565,-6.1636313877693185,52.58468094637925,9
1500,edema_zone,0.5,0,947,0.0,0.0,0.0,0
1500,edema_zone,0.6,0,947,0.0,0.0,0.0,0
1500,edema_zone,0.7,0,947,0.0,0.0,0.0,0
2000,scar,0.3,4,545,0.11637931034482758,-0.6509488211615871,-0.5345695108167595,3
2000,scar,0.4,0,549,0.0,0.0,0.0,0
2000,scar,0.5,0,549,0.0,0.0,0.0,0
2000,scar,0.6,0,549,0.0,0.0,0.0,0
2000,scar,0.7,0,549,0.0,0.0,0.0,0
2000,edema_zone,0.3,88,716,66.46927769392745,-5.279270937474744,61.190006756452696,11
2000,edema_zone,0.4,5,799,4.0,0.0,4.0,0
2000,edema_zone,0.5,0,804,0.0,0.0,0.0,0
2000,edema_zone,0.6,0,804,0.0,0.0,0.0,0
2000,edema_zone,0.7,0,804,0.0,0.0,0.0,0
2500,scar,0.3,4,518,0.14434865900383143,-0.2096774193548387,-0.06532876035100726,2
2500,scar,0.4,0,522,0.0,0.0,0.0,0
2500,scar,0.5,0,522,0.0,0.0,0.0,0
2500,scar,0.6,0,522,0.0,0.0,0.0,0
2500,scar,0.7,0,522,0.0,0.0,0.0,0
2500,edema_zone,0.3,18,713,11.598966610444778,-3.0,8.598966610444778,3
2500,edema_zone,0.4,1,730,0.0,0.0,0.0,0
2500,edema_zone,0.5,0,731,0.0,0.0,0.0,0
2500,edema_zone,0.6,0,731,0.0,0.0,0.0,0
2500,edema_zone,0.7,0,731,0.0,0.0,0.0,0
3000,scar,0.3,2,440,0.0,-1.1150568181818183,-1.1150568181818183,2
3000,scar,0.4,0,442,0.0,0.0,0.0,0
3000,scar,0.5,0,442,0.0,0.0,0.0,0
3000,scar,0.6,0,442,0.0,0.0,0.0,0
3000,scar,0.7,0,442,0.0,0.0,0.0,0
3000,edema_zone,0.3,3,730,3.0,0.0,3.0,0
3000,edema_zone,0.4,0,733,0.0,0.0,0.0,0
3000,edema_zone,0.5,0,733,0.0,0.0,0.0,0
3000,edema_zone,0.6,0,733,0.0,0.0,0.0,0
3000,edema_zone,0.7,0,733,0.0,0.0,0.0,0
3500,scar,0.3,1,455,0.0,-0.5241935483870968,-0.5241935483870968,1
3500,scar,0.4,0,456,0.0,0.0,0.0,0
3500,scar,0.5,0,456,0.0,0.0,0.0,0
3500,scar,0.6,0,456,0.0,0.0,0.0,0
3500,scar,0.7,0,456,0.0,0.0,0.0,0
3500,edema_zone,0.3,0,742,0.0,0.0,0.0,0
3500,edema_zone,0.4,0,742,0.0,0.0,0.0,0
3500,edema_zone,0.5,0,742,0.0,0.0,0.0,0
3500,edema_zone,0.6,0,742,0.0,0.0,0.0,0
3500,edema_zone,0.7,0,742,0.0,0.0,0.0,0
4000,scar,0.3,0,447,0.0,0.0,0.0,0
4000,scar,0.4,0,447,0.0,0.0,0.0,0
4000,scar,0.5,0,447,0.0,0.0,0.0,0
4000,scar,0.6,0,447,0.0,0.0,0.0,0
4000,scar,0.7,0,447,0.0,0.0,0.0,0
4000,edema_zone,0.3,0,716,0.0,0.0,0.0,0
4000,edema_zone,0.4,0,716,0.0,0.0,0.0,0
4000,edema_zone,0.5,0,716,0.0,0.0,0.0,0
4000,edema_zone,0.6,0,716,0.0,0.0,0.0,0
4000,edema_zone,0.7,0,716,0.0,0.0,0.0,0
