case_id,center,oof_fold,feature_cache_path,feature_cache_sha256,checkpoint_path,checkpoint_sha256,case_membership_status,f0_shape,f1_shape,soft_context_shape,status
Case2002,CenterB,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2002.npz,301baef83d966f529e6e6417b6bb89fca602b533647a7171c663e28842bab9c7,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x12x244x255,64x12x128x128,12x244x255,PASS
Case2007,CenterB,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2007.npz,cefbba88f6a28d04038c4003251c451140e5b9bf5ef5dc6341e3bdf27b663c5d,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x12x214x207,64x12x128x128,12x214x207,PASS
Case2008,CenterB,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2008.npz,9e2c8b2fbbc273dd444dc20ce16e8d1ab84edd6bbe82f2f9ed0191867199b643,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x10x249x219,64x12x128x128,10x249x219,PASS
Case2017,CenterB,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2017.npz,605b7fa5f5fd27332411085979975c0f88fa1a63a0c9ae184843d80d16adfbe1,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x10x333x321,64x12x192x192,10x333x321,PASS
Case2020,CenterB,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2020.npz,75613e23d932dfbb2d8e5dc567210fd38934e1e3ebff6ac787148ba85e09cb94,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x12x207x207,64x12x128x128,12x207x207,PASS
Case2031,CenterB,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2031.npz,7ff9942125f68658cf3d084ac69ce8f28d450fb2a661b7fba917ab4dbcb3e1a1,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x6x330x320,64x8x192x160,6x330x320,PASS
Case2033,CenterB,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case2033.npz,30428ab40f284b16cb495c38a64b7b99bc8280eac126e2b7711d253ff3c09009,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x14x240x219,64x16x128x128,14x240x219,PASS
Case3004,CenterC,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3004.npz,fd21572754a0c04066c2bfe47f13260c109e3313b09ee4fe7bfbeb33af6f9fc4,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x14x255x252,64x16x128x128,14x255x252,PASS
Case3011,CenterC,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3011.npz,660417f73a8289dca531a7145511ef9e407f7023db7f6a2c13d86e8c81c5e1cc,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x9x263x258,64x12x160x160,9x263x258,PASS
Case3012,CenterC,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3012.npz,9dfc97336010318b98ad69c96a77801faca1676629ff2681707d6e371aec88ad,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x14x254x251,64x16x128x128,14x254x251,PASS
Case3023,CenterC,0,/users/a/e/aereinh/.tmp/codex-CARE/20260731_care_qif_v2_signal_audit/features/Case3023.npz,d1ff02c90d69cecf5a73b11a331a1cd71b97e29e9102889de28093aca5313a53,data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/checkpoint_final.pth,8bceb20cae8920e87d43b14665a0db9dfd4f1204533d25a3cd6e40ad9de74111,PASS,32x14x254x255,64x16x128x128,14x254x255,PASS
