timestamp_utc,event,executor,stage,partition,job_id,state,exit_code,output_root,credit,lineage_note
2026-07-18T09:30:00Z,slurm_submitted,B3,evidence_warmup,htzhulab,59451083,SUBMITTED,,results/route_B/runtime/round03/B3/attempt_htzhulab_1,pending,primary htzhulab attempt
2026-07-18T09:30:00Z,slurm_submitted,B3,evidence_warmup,a100-gpu,59451089,SUBMITTED,,results/route_B/runtime/round03/B3/attempt_a100_1,pending,identical a100 mirror attempt
2026-07-18T09:34:00Z,monitor_snapshot,B3,evidence_warmup,htzhulab,59451083,PENDING(Resources),0:0,results/route_B/runtime/round03/B3/attempt_htzhulab_1,pending,sacct elapsed 00:00:00 start Unknown
2026-07-18T09:34:00Z,monitor_snapshot,B3,evidence_warmup,a100-gpu,59451089,PENDING(Priority),0:0,results/route_B/runtime/round03/B3/attempt_a100_1,pending,sacct elapsed 00:00:00 start Unknown
2026-07-18T09:41:00Z,slurm_submitted,B3,evidence_warmup,volta-gpu,59451468,SUBMITTED,,results/route_B/runtime/round03/B3/attempt_volta_1,pending,user-authorized exact-config V100 third race attempt
2026-07-18T09:50:00Z,terminal_accounting,B3,evidence_warmup,volta-gpu,59451468,FAILED,2:0,results/route_B/runtime/round03/B3/attempt_volta_1,zero,allocated g0316 then failed after 00:00:05 before route-local log or receipt appeared
2026-07-18T09:58:00Z,monitor_snapshot,B3,evidence_warmup,htzhulab,59451083,PENDING(Resources),0:0,results/route_B/runtime/round03/B3/attempt_htzhulab_1,pending,sacct elapsed 00:00:00 start Unknown
2026-07-18T09:58:00Z,monitor_snapshot,B3,evidence_warmup,a100-gpu,59451089,PENDING(Priority),0:0,results/route_B/runtime/round03/B3/attempt_a100_1,pending,sacct elapsed 00:00:00 start Unknown
2026-07-18T10:06:00Z,operational_retry_submitted,B3,evidence_warmup,volta-gpu,59451848,SUBMITTED,,results/route_B/runtime/round03/B3/attempt_volta_2,pending,retry after 59451468 failed before route-local log or receipt
2026-07-18T10:12:00Z,terminal_accounting,B3,evidence_warmup,volta-gpu,59451848,FAILED,2:0,results/route_B/runtime/round03/B3/attempt_volta_2,zero,repaired wrapper still failed before route-local log or receipt; V100 retries stopped
2026-07-18T10:16:00Z,slurm_submitted,B3,evidence_warmup,l40-gpu,59451918,SUBMITTED,,results/route_B/runtime/round03/B3/attempt_l40_1,pending,non-default exact-config fallback after default long pending and V100 early startup failures
