timestamp,phase,git_head,job_ids,decision,next_action
2026-07-25T14:12:36.507787+00:00,slurm_submitted_pending,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR,poll at 2h interval or when job starts
2026-07-25T14:17:22.441716+00:00,monitor_pending_round2,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_A100_NOT_EARLIER,poll at 2h interval or when coarse starts
2026-07-25T14:20:13.479874+00:00,monitor_pending_round3,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_A100_NOT_EARLIER,poll at 2h interval or when coarse starts
2026-07-25T14:25:55.204730+00:00,monitor_pending_round4,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_A100_NOT_EARLIER,poll at 2h interval or when coarse starts
2026-07-25T14:29:54.755756+00:00,monitor_pending_round5,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_A100_NOT_EARLIER_TESTS_PASS,poll at 2h interval or when coarse starts
2026-07-25T14:34:04.946704+00:00,monitor_pending_round6_entrypoint_checked,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_A100_NOT_EARLIER_ENTRYPOINT_PASS,poll at 2h interval or when coarse starts
2026-07-25T14:41:15.360605+00:00,monitor_pending_round7_wrapper_fallback_repaired,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_A100_NOT_EARLIER_WRAPPER_FALLBACK_PASS,poll at 2h interval or when coarse starts
2026-07-25T14:45:31.582539+00:00,monitor_pending_round8_tests_pass,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_A100_NOT_EARLIER_TESTS_PASS,poll at 2h interval or when coarse starts
2026-07-25T14:50:38.639787+00:00,monitor_pending_round9_spooled_script_audited,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_KEEP_CURRENT_CHAIN_RETRY_IF_STARTUP_FAILS,poll at 2h interval or when coarse starts
2026-07-25T14:57:50.395663+00:00,monitor_pending_round10_notifier_schema_repaired,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_NOTIFIER_SCHEMA_PASS,poll at 2h interval or when coarse starts
2026-07-25T15:05:49.232755+00:00,monitor_pending_round11_live_state_refreshed,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_A100_NOT_EARLIER,poll at 2h interval or when coarse starts
2026-07-25T15:13:08.769750+00:00,offline_repair_round12_finalizer_terminal_gate,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_CONTRACT_HARDENED_TESTS_PASS,wait for Slurm monitor interval or coarse start
2026-07-25T15:18:01.339164+00:00,offline_repair_round13_failed_report_wording,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_REPORT_GUARD_TESTS_PASS,wait for Slurm monitor interval or coarse start
2026-07-25T15:24:01.769025+00:00,offline_repair_round14_first_run_output_order,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_FINALIZER_READY_PREDICATE_TESTS_PASS,wait for Slurm monitor interval or coarse start
2026-07-25T15:28:14.367237+00:00,offline_repair_round15_pairwise_disagreement_fields,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_PAIRWISE_DISAGREEMENT_TESTS_PASS,wait for Slurm monitor interval or coarse start
2026-07-25T15:34:44.679424+00:00,offline_repair_round16_historical_canonical_recompute,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_HISTORICAL_RECOMPUTE_TESTS_PASS,wait for Slurm monitor interval or coarse start
2026-07-25T15:39:50.929032+00:00,offline_repair_round17_runtime_adapter_gate,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_RUNTIME_ADAPTER_GATE_TESTS_PASS,wait for Slurm monitor interval or coarse start
2026-07-25T15:49:03.809353+00:00,offline_repair_round18_subgroup_casewise_validator_gate,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_SUBGROUP_CASEWISE_GATE_TESTS_PASS,wait for Slurm monitor interval or coarse start
2026-07-25T15:52:27.592371+00:00,offline_repair_round19_pairwise_row_count_gate,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_PAIRWISE_ROW_COUNT_GATE_TESTS_PASS,wait for Slurm monitor interval or coarse start
2026-07-25T16:02:32.336820+00:00,offline_repair_round20_single_finalizer_secondary_integration,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_SINGLE_FINALIZER_SECONDARY_CANONICAL_TESTS_PASS,wait for Slurm monitor interval or coarse start
2026-07-25T16:16:10.528144+00:00,offline_repair_round21_fair_comparison_audit_gate,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_FAIR_COMPARISON_AUDIT_TESTS_PASS,wait for Slurm monitor interval or coarse start
2026-07-25T16:23:43.934435+00:00,offline_repair_round22_source_bound_fair_audit,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_SOURCE_BOUND_FAIR_AUDIT_TESTS_PASS,wait for Slurm monitor interval or coarse start
2026-07-25T16:27:15.334726+00:00,offline_validation_round23_fair_audit_known_bad_direct_check,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_FALSE_COMPARISON_GUARDS_DIRECTLY_VALIDATED,wait for Slurm monitor interval or coarse start
2026-07-25T16:41:09.219267+00:00,offline_repair_round24_false_comparison_hardening,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_FALSE_COMPARISON_GUARDS_HARDENED_AND_TESTED,wait for Slurm monitor interval or coarse start; finalizer strict validator must pass after terminal aggregation
2026-07-25T16:53:12.266743+00:00,runtime_monitor_round25_coarse_complete_scar_edema_running,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_COARSE_COMPLETED_SCAR_EDEMA_RUNNING,continue short-cycle monitoring; finalizer afterany must aggregate and strict validator must pass
2026-07-25T17:08:06.949048+00:00,runtime_monitor_round26_edema_complete_scar_running,1b1b1bcba998ae8b3b918493a486cebc252441bf,60589655:60589656:60589657:60589658,NEEDS_MONITOR_EDEMA_COMPLETED_SCAR_RUNNING,continue monitoring scar; finalizer afterany will run after scar terminal
