case_id,fold,geometry_status,prediction_path,reference_path,size_xyz,space,spacing_xyz
Case1002,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1002.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1002.nii.gz,,official,
Case1002,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1002.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1002.nii.gz,,compact,
Case1007,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1007.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1007.nii.gz,,official,
Case1007,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1007.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1007.nii.gz,,compact,
Case1009,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1009.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1009.nii.gz,,official,
Case1009,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1009.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1009.nii.gz,,compact,
Case1010,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1010.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1010.nii.gz,,official,
Case1010,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1010.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1010.nii.gz,,compact,
Case1021,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1021.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1021.nii.gz,,official,
Case1021,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1021.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1021.nii.gz,,compact,
Case1023,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1023.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1023.nii.gz,,official,
Case1023,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1023.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1023.nii.gz,,compact,
Case1029,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1029.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1029.nii.gz,,official,
Case1029,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1029.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1029.nii.gz,,compact,
Case1033,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1033.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1033.nii.gz,,official,
Case1033,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1033.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1033.nii.gz,,compact,
Case1040,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1040.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1040.nii.gz,,official,
Case1040,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1040.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1040.nii.gz,,compact,
Case1042,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1042.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1042.nii.gz,,official,
Case1042,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1042.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1042.nii.gz,,compact,
Case1045,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1045.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1045.nii.gz,,official,
Case1045,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1045.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1045.nii.gz,,compact,
Case1047,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1047.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1047.nii.gz,,official,
Case1047,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1047.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1047.nii.gz,,compact,
Case1053,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1053.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1053.nii.gz,,official,
Case1053,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1053.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1053.nii.gz,,compact,
Case1062,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1062.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1062.nii.gz,,official,
Case1062,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/compact/Case1062.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1062.nii.gz,,compact,
Case1070,0,PASS,results/20260726_mosaic_fold0_fairness_reaudit/predictions/clean_pathology_checkpoint/official/Case1070.nii.gz,data/nnUNet/nnUNet_raw/Dataset501_CAREMyoPS/labelsTr/Case1070.nii.gz,,official,
