checkpoint_path,fold,receipt_status,sha256,stage
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/coarse/best.pt,0,PREEXISTING_FOLD0_FAIR_REPRODUCTION,3274fdd238e86046dcd3d7d755e8a340785be4dcd9961d6d67a01bd55a939e39,coarse
results/20260725_care_myops_mosaic_fold0_reproduction/runtime/fold0/fine_scar/best_scar.pt,0,PREEXISTING_FOLD0_FAIR_REPRODUCTION,457d8ff93b9113656995e76eb3efb75f881a445f369ed1885e12b0a46cf1d5c5,scar
results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/coarse/best.pt,1,COMPLETE_FULL_BUDGET,066ab874b1d54bee6fa1e1de60f9cda236596e0a3009ba260d4eb3449bfb0cfe,coarse
results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold1/fine_scar/best_scar.pt,1,COMPLETE_FULL_BUDGET,c4f7247842d72c44230524ea50a15d478045f45abbafd92f5149db8f61c4b9c0,scar
results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold2/coarse/best.pt,2,COMPLETE_FULL_BUDGET,c8e24bbd2732446e4fa0bc3603d7e2db3defaefb5451cebe08c26ae6e289b497,coarse
results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold2/fine_scar/best_scar.pt,2,COMPLETE_FULL_BUDGET,b12c9953db9c98705e007afded076e95f89f4569eec7c69aa0e0033f25496849,scar
results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold3/coarse/best.pt,3,COMPLETE_FULL_BUDGET,28b8ebe17e005d40f817486773c9d912ff03883d9d9e335ba3f677cc3a0c1694,coarse
results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold3/fine_scar/best_scar.pt,3,COMPLETE_FULL_BUDGET,c1e0a2fa64ba61fced52c1f3989e3314d4af81defbf177564a3a22bf8a774452,scar
results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold4/coarse/best.pt,4,COMPLETE_FULL_BUDGET,8b450c4bc6c6bf87a8c7c2a45e8ae0388b854a6956316f2ff4e9f19ce8781835,coarse
results/20260726_care_fullinfo_nnunet_and_care_scf/care_scf_v1/mosaic_oof/fold4/fine_scar/best_scar.pt,4,COMPLETE_FULL_BUDGET,e61fc44f8fef58b4246e6fc6de2edf9a5dabf8fea9a19b46c11b6c08895e50d8,scar
