case,old_shape,old_spacing,new_spacing,new_shape,min_dim,all_positive
Z1_SP1,"(1, 256, 256)","(1, 1, 1)","(10, 1, 1)","(1, 256, 256)",1,True
Z1_SP4,"(1, 256, 256)","(4, 1, 1)","(10, 1, 1)","(1, 256, 256)",1,True
Z1_SP5,"(1, 256, 256)","(5, 1, 1)","(10, 1, 1)","(1, 256, 256)",1,True
Z1_SP9P9,"(1, 256, 256)","(9.9, 1, 1)","(10, 1, 1)","(1, 256, 256)",1,True
Z1_SP10,"(1, 256, 256)","(10, 1, 1)","(10, 1, 1)","(1, 256, 256)",1,True
Z1_SP20,"(1, 256, 256)","(20, 1, 1)","(10, 1, 1)","(2, 256, 256)",2,True
Z1_SP50,"(1, 256, 256)","(50, 1, 1)","(10, 1, 1)","(5, 256, 256)",5,True
Z2_SP1,"(2, 256, 256)","(1, 1, 1)","(10, 1, 1)","(1, 256, 256)",1,True
Z2_SP4,"(2, 256, 256)","(4, 1, 1)","(10, 1, 1)","(1, 256, 256)",1,True
Z2_SP5,"(2, 256, 256)","(5, 1, 1)","(10, 1, 1)","(1, 256, 256)",1,True
Z2_SP10,"(2, 256, 256)","(10, 1, 1)","(10, 1, 1)","(2, 256, 256)",2,True
Z2_SP20,"(2, 256, 256)","(20, 1, 1)","(10, 1, 1)","(4, 256, 256)",4,True
TINY_Z1,"(1, 1, 1)","(1, 1, 1)","(10, 10, 10)","(1, 1, 1)",1,True
SINGLETON_AXIS0,"(1, 256, 256)","(1, 1, 1)","(10, 1, 1)","(1, 256, 256)",1,True
SINGLETON_AXIS1,"(256, 1, 256)","(1, 1, 1)","(1, 10, 1)","(256, 1, 256)",1,True
SINGLETON_AXIS2,"(256, 256, 1)","(1, 1, 1)","(1, 1, 10)","(256, 256, 1)",1,True
