phase,checkpoint_name,assigned_partition,job_id,attempt_partition,attempt_id,winner_lock_path,canonical_runtime_root,state,exit_code,attempt_credit
alignment_control,checkpoint_validation_step_5000,htzhulab,59491655,htzhulab,htzhulab__assign_htzhulab__job_59491655__task_0__pid_1334386,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/04f14bef1b17e0eb06d4d734a88b0a84908ef0dc0f2fcd40955c17d437b8a2e8_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/alignment_control/checkpoint_validation_step_5000,COMPLETED,0,full
d3_full_propref,checkpoint_validation_step_20450,a100-gpu,59497886,htzhulab,htzhulab__assign_a100-gpu__job_59497886__task_0__pid_1372021,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/04fda61fb8f174c0aa957b61c7862bd70c74fe1827a911c8911c7caee96bcbce_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d3_full_propref/checkpoint_validation_step_20450,COMPLETED,0,full
d1_spatial_br2,checkpoint_validation_step_18326,htzhulab,59493977,htzhulab,htzhulab__assign_htzhulab__job_59493977__task_2__pid_1335592,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/050358ac7700b262b02f6697f0a7877734ecfe221bf5363f7de40fa29f569056_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d1_spatial_br2/checkpoint_validation_step_18326,COMPLETED,0,full
d1_spatial_br2,checkpoint_validation_step_3332,a100-gpu,59497887,htzhulab,htzhulab__assign_a100-gpu__job_59497887__task_1__pid_1372022,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/0699e064bca80063e851e6818c4d699fd95b4980dc9b50a8653e12f1f5ee0e60_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d1_spatial_br2/checkpoint_validation_step_3332,COMPLETED,0,full
hard_negative_refresh,checkpoint_validation_step_10000,htzhulab,59495631,htzhulab,htzhulab__assign_htzhulab__job_59495631__task_4__pid_1336388,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/07803ae4f6ca968e96f265196a382d13028f9c9b9176cfe9fa39f9539de6d83f_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/hard_negative_refresh/checkpoint_validation_step_10000,COMPLETED,0,full
hard_negative_refresh,checkpoint_validation_step_2000,a100-gpu,59497909,htzhulab,htzhulab__assign_a100-gpu__job_59497909__task_2__pid_1374238,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/0902231bb5f546610f2e159b722fa58b11d8469d60dbe13bb1855d1b860d324c_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/hard_negative_refresh/checkpoint_validation_step_2000,COMPLETED,0,full
d3_full_propref,checkpoint_validation_step_27000,htzhulab,59496592,htzhulab,htzhulab__assign_htzhulab__job_59496592__task_6__pid_1337225,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/09693b8d397188a45ba433073cb46b36dceb732c5376d6455c05bcb46df86e05_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d3_full_propref/checkpoint_validation_step_27000,COMPLETED,0,full
d2_hierarchical_psip,checkpoint_validation_step_23324,a100-gpu,59497917,htzhulab,htzhulab__assign_a100-gpu__job_59497917__task_3__pid_1374522,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/0d336d2f4848e793c030327783b131d19275210a25f62a8beda15b6e6b941e67_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d2_hierarchical_psip/checkpoint_validation_step_23324,COMPLETED,0,full
d1_spatial_br2,checkpoint_final,htzhulab,59496628,htzhulab,htzhulab__assign_htzhulab__job_59496628__task_8__pid_1338220,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/htzhulab/0f8eac74ad891aa56c660d2fed7ffe3b6775ab94c5ea9822c61b46fe30550586_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/htzhulab/d1_spatial_br2/checkpoint_final,COMPLETED,0,full
d2_hierarchical_psip,checkpoint_validation_step_13328,a100-gpu,59497932,htzhulab,htzhulab__assign_a100-gpu__job_59497932__task_4__pid_1374870,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/race/a100-gpu/1112147d9db547481327ea13ae14a208552afb87fcfb0ec81c1a3416ae0c744e_winner.lock,/users/a/e/aereinh/CARE_worktrees/route_C/results/route_C/runtime/round03/R1/shards/a100-gpu/d2_hierarchical_psip/checkpoint_validation_step_13328,COMPLETED,0,full
