phase,case_id,checkpoint_sha256,input_sha256,proposal_sha256,refiner_sha256,final_logits_sha256,final_labels_sha256,baseline_id,deterministic_match
d2_hierarchical_psip,Case1002,a1951e40522eae03fd103938e3fff827a127d29f01ab1ad66619d3376aac7bb0,d3aa91fc60b86bfa842416056ca28c27b4b3f54bd181f3b379b1f5815a702019,afb7118002328c737312ed1662a8a6ce71e2e72692fa5ddf69c13a7cc6e401f6,8bb68d3c315370c15c11b08d164560f5fa235a0c1a74323cf1a43e528e226b22,8bb68d3c315370c15c11b08d164560f5fa235a0c1a74323cf1a43e528e226b22,30454388c47d1183cec35b4f280bb51055c092eed9ee9be469ce66e2bdd85c74,clean_baseline_A,true
d2_hierarchical_psip,Case1002,a1951e40522eae03fd103938e3fff827a127d29f01ab1ad66619d3376aac7bb0,d3aa91fc60b86bfa842416056ca28c27b4b3f54bd181f3b379b1f5815a702019,afb7118002328c737312ed1662a8a6ce71e2e72692fa5ddf69c13a7cc6e401f6,8bb68d3c315370c15c11b08d164560f5fa235a0c1a74323cf1a43e528e226b22,8bb68d3c315370c15c11b08d164560f5fa235a0c1a74323cf1a43e528e226b22,30454388c47d1183cec35b4f280bb51055c092eed9ee9be469ce66e2bdd85c74,clean_baseline_B,true
d2_hierarchical_psip,Case1007,a1951e40522eae03fd103938e3fff827a127d29f01ab1ad66619d3376aac7bb0,95217056c4f7f66bc006ff44645f816b2e30dd652f8446c06ecff5f7f1dc3b04,f1d9b6b70e8c7b4cabd1a800aadedc384b61c82657a2ea72a7111fed9b4a1480,9a50ae446fb595436d82d028d6c6f3f5d8d2f660822f05e7f25223d3da1d3373,9a50ae446fb595436d82d028d6c6f3f5d8d2f660822f05e7f25223d3da1d3373,3702a29411642bb18c2465d330c3ff1753c4585660efe31a6fe249d954063df2,clean_baseline_A,true
d2_hierarchical_psip,Case1007,a1951e40522eae03fd103938e3fff827a127d29f01ab1ad66619d3376aac7bb0,95217056c4f7f66bc006ff44645f816b2e30dd652f8446c06ecff5f7f1dc3b04,f1d9b6b70e8c7b4cabd1a800aadedc384b61c82657a2ea72a7111fed9b4a1480,9a50ae446fb595436d82d028d6c6f3f5d8d2f660822f05e7f25223d3da1d3373,9a50ae446fb595436d82d028d6c6f3f5d8d2f660822f05e7f25223d3da1d3373,3702a29411642bb18c2465d330c3ff1753c4585660efe31a6fe249d954063df2,clean_baseline_B,true
d2_hierarchical_psip,Case1009,a1951e40522eae03fd103938e3fff827a127d29f01ab1ad66619d3376aac7bb0,773e6ae774893b5fc79f7cd008f6024decff1e1fd45530db95913c22f8f8b650,47b89ac2bc4cb3a90325ba1d7c49afd4b49fd1979f9d175c06d980a7bbde1da4,b18b2a947b1dfd995c9bcbeeab82c6423538d2cf247a6aadee9cf275fa8d2d5f,b18b2a947b1dfd995c9bcbeeab82c6423538d2cf247a6aadee9cf275fa8d2d5f,cf419f13b569d89ce290ae83eeeb44c4c2617a905c8d2b1ae1dc73aa6bb1ab04,clean_baseline_A,true
d2_hierarchical_psip,Case1009,a1951e40522eae03fd103938e3fff827a127d29f01ab1ad66619d3376aac7bb0,773e6ae774893b5fc79f7cd008f6024decff1e1fd45530db95913c22f8f8b650,47b89ac2bc4cb3a90325ba1d7c49afd4b49fd1979f9d175c06d980a7bbde1da4,b18b2a947b1dfd995c9bcbeeab82c6423538d2cf247a6aadee9cf275fa8d2d5f,b18b2a947b1dfd995c9bcbeeab82c6423538d2cf247a6aadee9cf275fa8d2d5f,cf419f13b569d89ce290ae83eeeb44c4c2617a905c8d2b1ae1dc73aa6bb1ab04,clean_baseline_B,true
d2_hierarchical_psip,Case1010,a1951e40522eae03fd103938e3fff827a127d29f01ab1ad66619d3376aac7bb0,c5584befcf0cf53469c08975de98047bb9d886834064b5afc789a8baa58f2570,3b978427dbc7ba101b979f51c1b651dbdc74c195f815b41c5f1bd3619cc03327,8481a3621afdf8879e80712d39b6a49e6b1e4b2d8c888f63b3efc45ac00be5db,8481a3621afdf8879e80712d39b6a49e6b1e4b2d8c888f63b3efc45ac00be5db,aa16e92eefcaa220778085db611856606d1efb2080fd32f8a5e5c093854fbfe9,clean_baseline_A,true
d2_hierarchical_psip,Case1010,a1951e40522eae03fd103938e3fff827a127d29f01ab1ad66619d3376aac7bb0,c5584befcf0cf53469c08975de98047bb9d886834064b5afc789a8baa58f2570,3b978427dbc7ba101b979f51c1b651dbdc74c195f815b41c5f1bd3619cc03327,8481a3621afdf8879e80712d39b6a49e6b1e4b2d8c888f63b3efc45ac00be5db,8481a3621afdf8879e80712d39b6a49e6b1e4b2d8c888f63b3efc45ac00be5db,aa16e92eefcaa220778085db611856606d1efb2080fd32f8a5e5c093854fbfe9,clean_baseline_B,true
d2_hierarchical_psip,Case1021,a1951e40522eae03fd103938e3fff827a127d29f01ab1ad66619d3376aac7bb0,86f98f30bf941683ca61987194cd1b2b0cad5ca831c573bdeb2591a478e927fd,7889ff499ee89c8317fb3b5efc76da48b817cab730d5f0bcf77c4e9f01bd124a,26457b33202a6834e3667a3298b90889f49fc2b97b99e444780990b3bf523e71,26457b33202a6834e3667a3298b90889f49fc2b97b99e444780990b3bf523e71,6119e6b637b17ecb097af36668580d420f4062e17789e96aee5cf4c6c30c29ab,clean_baseline_A,true
d2_hierarchical_psip,Case1021,a1951e40522eae03fd103938e3fff827a127d29f01ab1ad66619d3376aac7bb0,86f98f30bf941683ca61987194cd1b2b0cad5ca831c573bdeb2591a478e927fd,7889ff499ee89c8317fb3b5efc76da48b817cab730d5f0bcf77c4e9f01bd124a,26457b33202a6834e3667a3298b90889f49fc2b97b99e444780990b3bf523e71,26457b33202a6834e3667a3298b90889f49fc2b97b99e444780990b3bf523e71,6119e6b637b17ecb097af36668580d420f4062e17789e96aee5cf4c6c30c29ab,clean_baseline_B,true
